wc_row_number,wc_id,wc_type,wc_sku,wc_mpn,wc_name,wc_short_description,wc_description,wc_categories,reference_match_status,drywall_scope,reference_model,reference_section,reference_catalog_page,reference_page_title,reference_page_name,reference_enrichment_name,reference_enrichment_short_description,reference_enrichment_description,reference_mapping_category,reference_mapping_subcategory,reference_mapping_product,proposed_name,proposed_short_description,proposed_description,proposed_categories,can_update_name,can_update_short_description,can_update_description,can_update_categories,name_match_quality,notes
560,,simple,12622,03TT,TapeTech EasyClean Automatic Mini Taper,,TapeTech EasyClean Automatic Mini Taper 03TT,Drywall Finishing Tools > TapeTech > Automatic Tapers,matched_by_mpn,1,03TT,Automatic Tapers,15,Automatic Tapers,TapeTech EasyClean Automatic Mini Taper,TapeTech EasyClean Automatic Mini Taper,TapeTech EasyClean Automatic Mini Taper 03TT,TapeTech EasyClean Automatic Mini Taper 03TT,Automatic Taping & Finishing Tools,Automatic Tapers,EasyClean Automatic Mini-Taper,TapeTech EasyClean Automatic Mini Taper,TapeTech EasyClean Automatic Mini Taper 03TT,TapeTech EasyClean Automatic Mini Taper 03TT,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Automatic Tapers > EasyClean Automatic Mini-Taper,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
578,,simple,12896,056133,TapeTech Stainless Steel Pyramid Blades 10 pack,,,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,matched_by_mpn,1,056133,Automatic Tapers,15,Automatic Tapers,TapeTech Stainless Steel Pyramid Blades 10 pack,TapeTech Stainless Steel Pyramid Blades 10 pack,,,,,,TapeTech Stainless Steel Pyramid Blades 10 pack,TapeTech Stainless Steel Pyramid Blades 10 pack,,,0,1,0,0,equivalent,short description can be populated from reference
603,,simple,13661,8000TT,TapeTech Wizard Compact Flat Box Handle,,TapeTech Wizard Compact Flat Box Handle 8000TT,Drywall Finishing Tools > TapeTech > Finishing Boxes,matched_by_mpn,1,8000TT,The Wizard Compact Finishing Box Handle,35,The Wizard Compact Finishing Box Handle,TapeTech Wizard Compact Flat Box Handle,TapeTech Wizard Compact Flat Box Handle,TapeTech Wizard Compact Flat Box Handle 8000TT,TapeTech Wizard Compact Flat Box Handle 8000TT,Automatic Taping & Finishing Tools,Box Handles,Wizard Compact Finishing Box Handle,TapeTech Wizard Compact Flat Box Handle,TapeTech Wizard Compact Flat Box Handle 8000TT,TapeTech Wizard Compact Flat Box Handle 8000TT,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > Wizard Compact Finishing Box Handle,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
613,,simple,13686,8000TT-PA,TapeTech Wizard Compact Flat Box Handle,,TapeTech Wizard Compact Flat Box Handle 8000TT-PA for Power Assist Boxes,Drywall Finishing Tools > TapeTech > Finishing Boxes,matched_by_mpn,1,8000TT-PA,The Wizard Compact Finishing Box Handle,35,The Wizard Compact Finishing Box Handle,TapeTech Wizard Compact Flat Box Handle,TapeTech Wizard Compact Flat Box Handle,TapeTech Wizard Compact Flat Box Handle 8000TT-PA for Power Assist Boxes,TapeTech Wizard Compact Flat Box Handle 8000TT-PA for Power Assist Boxes,Automatic Taping & Finishing Tools,Box Handles,Wizard Compact Finishing Box Handle,TapeTech Wizard Compact Flat Box Handle,TapeTech Wizard Compact Flat Box Handle 8000TT-PA for Power Assist Boxes,TapeTech Wizard Compact Flat Box Handle 8000TT-PA for Power Assist Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > Wizard Compact Finishing Box Handle,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
614,,simple,13759,CF25TT,TapeTech Direct Flusher,,"TapeTech 2.5"" Direct Flusher CF25TT",Drywall Finishing Tools > TapeTech > Corner & Angle Tools,matched_by_mpn,1,CF25TT,Semi-Automatic Taping Tools,58,Semi-Automatic Taping Tools,TapeTech Direct Flusher,TapeTech Direct Flusher,"TapeTech 2.5"" Direct Flusher CF25TT","TapeTech 2.5"" Direct Flusher CF25TT",Semi-Automatic Tools,Corner Flushers,Corner Flusher,TapeTech Direct Flusher,"TapeTech 2.5"" Direct Flusher CF25TT","TapeTech 2.5"" Direct Flusher CF25TT",Drywall Finishing Tools > TapeTech > Semi-Automatic Tools > Corner Flushers > Corner Flusher,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
615,,simple,13760,CF30TT,"TapeTech 3"" Direct Flusher",,"TapeTech 3"" Direct Flusher CF30TT",Drywall Finishing Tools > TapeTech > Corner & Angle Tools,matched_by_mpn,1,CF30TT,Semi-Automatic Taping Tools,58,Semi-Automatic Taping Tools,"TapeTech 3"" Direct Flusher","TapeTech 3"" Direct Flusher","TapeTech 3"" Direct Flusher CF30TT","TapeTech 3"" Direct Flusher CF30TT",Semi-Automatic Tools,Corner Flushers,Corner Flusher,"TapeTech 3"" Direct Flusher","TapeTech 3"" Direct Flusher CF30TT","TapeTech 3"" Direct Flusher CF30TT",Drywall Finishing Tools > TapeTech > Semi-Automatic Tools > Corner Flushers > Corner Flusher,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
616,,simple,13761,CF35TT,TapeTech Direct Flusher,,"TapeTech 3.5"" Direct Flusher CF35TT",Drywall Finishing Tools > TapeTech > Corner & Angle Tools,matched_by_mpn,1,CF35TT,Semi-Automatic Taping Tools,58,Semi-Automatic Taping Tools,TapeTech Direct Flusher,TapeTech Direct Flusher,"TapeTech 3.5"" Direct Flusher CF35TT","TapeTech 3.5"" Direct Flusher CF35TT",Semi-Automatic Tools,Corner Flushers,Corner Flusher,TapeTech Direct Flusher,"TapeTech 3.5"" Direct Flusher CF35TT","TapeTech 3.5"" Direct Flusher CF35TT",Drywall Finishing Tools > TapeTech > Semi-Automatic Tools > Corner Flushers > Corner Flusher,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
617,,simple,13762,CF40TT,"TapeTech 4"" Direct Flusher",,"TapeTech 4"" Direct Flusher CF40TT",Drywall Finishing Tools > TapeTech > Corner & Angle Tools,matched_by_mpn,1,CF40TT,Semi-Automatic Taping Tools,58,Semi-Automatic Taping Tools,"TapeTech 4"" Direct Flusher","TapeTech 4"" Direct Flusher","TapeTech 4"" Direct Flusher CF40TT","TapeTech 4"" Direct Flusher CF40TT",Semi-Automatic Tools,Corner Flushers,Corner Flusher,"TapeTech 4"" Direct Flusher","TapeTech 4"" Direct Flusher CF40TT","TapeTech 4"" Direct Flusher CF40TT",Drywall Finishing Tools > TapeTech > Semi-Automatic Tools > Corner Flushers > Corner Flusher,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
618,,simple,13763,CT24TT,TapeTech Compound Tube,,"TapeTech 24"" Compound Tube CT24TT",Drywall Finishing Tools > TapeTech > Corner & Angle Tools,matched_by_mpn,1,CT24TT,Compound Tubes & Tool Caddy,59,Compound Tubes & Tool Caddy,TapeTech Compound Tube,TapeTech Compound Tube,"TapeTech 24"" Compound Tube CT24TT","TapeTech 24"" Compound Tube CT24TT",Semi-Automatic Tools,Compound Tubes,Compound Tube,TapeTech Compound Tube,"TapeTech 24"" Compound Tube CT24TT","TapeTech 24"" Compound Tube CT24TT",Drywall Finishing Tools > TapeTech > Semi-Automatic Tools > Compound Tubes > Compound Tube,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
619,,simple,13764,CT36TT,TapeTech Compound Tube,,"TapeTech 36"" Compound Tube CT36TT",Drywall Finishing Tools > TapeTech > Corner & Angle Tools,matched_by_mpn,1,CT36TT,Compound Tubes & Tool Caddy,59,Compound Tubes & Tool Caddy,TapeTech Compound Tube,TapeTech Compound Tube,"TapeTech 36"" Compound Tube CT36TT","TapeTech 36"" Compound Tube CT36TT",Semi-Automatic Tools,Compound Tubes,Compound Tube,TapeTech Compound Tube,"TapeTech 36"" Compound Tube CT36TT","TapeTech 36"" Compound Tube CT36TT",Drywall Finishing Tools > TapeTech > Semi-Automatic Tools > Compound Tubes > Compound Tube,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
620,,simple,13765,CT42TT,TapeTech Compound Tube,,"TapeTech 42"" Compound Tube CT42TT",Drywall Finishing Tools > TapeTech > Corner & Angle Tools,matched_by_mpn,1,CT42TT,Compound Tubes & Tool Caddy,59,Compound Tubes & Tool Caddy,TapeTech Compound Tube,TapeTech Compound Tube,"TapeTech 42"" Compound Tube CT42TT","TapeTech 42"" Compound Tube CT42TT",Semi-Automatic Tools,Compound Tubes,Compound Tube,TapeTech Compound Tube,"TapeTech 42"" Compound Tube CT42TT","TapeTech 42"" Compound Tube CT42TT",Drywall Finishing Tools > TapeTech > Semi-Automatic Tools > Compound Tubes > Compound Tube,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
621,,simple,13766,CFK01TT,TapeTech Roller Wheel Kit for Corner Flushers,,TapeTech Roller Wheel Kit for Corner Flushers CFK01TT,Drywall Finishing Tools > TapeTech > Replacement Parts,matched_by_mpn,1,CFK01TT,Semi-Automatic Taping Tools,58,Semi-Automatic Taping Tools,TapeTech Roller Wheel Kit for Corner Flushers,TapeTech Roller Wheel Kit for Corner Flushers,TapeTech Roller Wheel Kit for Corner Flushers CFK01TT,TapeTech Roller Wheel Kit for Corner Flushers CFK01TT,,,,TapeTech Roller Wheel Kit for Corner Flushers,TapeTech Roller Wheel Kit for Corner Flushers CFK01TT,TapeTech Roller Wheel Kit for Corner Flushers CFK01TT,,0,1,0,0,equivalent,short description can be populated from reference
622,,simple,13767,CFK02TT,TapeTech Creaser Wheel Kit for Corner Flushers,,TapeTech Creaser Wheel Kit for Corner Flushers CFK02TT,Drywall Finishing Tools > TapeTech > Corner & Angle Tools,matched_by_mpn,1,CFK02TT,Semi-Automatic Taping Tools,58,Semi-Automatic Taping Tools,TapeTech Creaser Wheel Kit for Corner Flushers,TapeTech Creaser Wheel Kit for Corner Flushers,TapeTech Creaser Wheel Kit for Corner Flushers CFK02TT,TapeTech Creaser Wheel Kit for Corner Flushers CFK02TT,,,,TapeTech Creaser Wheel Kit for Corner Flushers,TapeTech Creaser Wheel Kit for Corner Flushers CFK02TT,TapeTech Creaser Wheel Kit for Corner Flushers CFK02TT,,0,1,0,0,equivalent,short description can be populated from reference
626,,simple,13865,42TT,"TapeTech 2.5"" Angle Head",,"TapeTech 2.5"" Angle Head 42TT",Drywall Finishing Tools > TapeTech > Replacement Parts,matched_by_mpn,1,42TT,Corner Finishers,22,Corner Finishers,"TapeTech 2.5"" Angle Head","TapeTech 2.5"" Angle Head","TapeTech 2.5"" Angle Head 42TT","TapeTech 2.5"" Angle Head 42TT",Automatic Taping & Finishing Tools,Corner Finishers,Corner Finisher,"TapeTech 2.5"" Angle Head","TapeTech 2.5"" Angle Head 42TT","TapeTech 2.5"" Angle Head 42TT",Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Corner Finishers > Corner Finisher,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
627,,simple,13866,PAHC07,TapeTech PowerAssist MaxxBox,,"TapeTech 7"" PowerAssist MaxxBox PAHC07",Drywall Finishing Tools > TapeTech > Finishing Boxes,matched_by_mpn,1,PAHC07,Power Assist MaxxBoxes,29,Power Assist MaxxBoxes,TapeTech PowerAssist MaxxBox,TapeTech PowerAssist MaxxBox,"TapeTech 7"" PowerAssist MaxxBox PAHC07","TapeTech 7"" PowerAssist MaxxBox PAHC07",Automatic Taping & Finishing Tools,Power Assist Boxes,Power Assist MaxxBox,TapeTech PowerAssist MaxxBox,"TapeTech 7"" PowerAssist MaxxBox PAHC07","TapeTech 7"" PowerAssist MaxxBox PAHC07",Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Power Assist Boxes > Power Assist MaxxBox,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
628,,simple,13867,PAHC10,TapeTech PowerAssist MaxxBox,,"TapeTech 10"" PowerAssist MaxxBox PAHC10",Drywall Finishing Tools > TapeTech > Finishing Boxes,matched_by_mpn,1,PAHC10,Power Assist MaxxBoxes,29,Power Assist MaxxBoxes,TapeTech PowerAssist MaxxBox,TapeTech PowerAssist MaxxBox,"TapeTech 10"" PowerAssist MaxxBox PAHC10","TapeTech 10"" PowerAssist MaxxBox PAHC10",Automatic Taping & Finishing Tools,Power Assist Boxes,Power Assist MaxxBox,TapeTech PowerAssist MaxxBox,"TapeTech 10"" PowerAssist MaxxBox PAHC10","TapeTech 10"" PowerAssist MaxxBox PAHC10",Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Power Assist Boxes > Power Assist MaxxBox,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
629,,simple,13868,PAHC12,TapeTech PowerAssist MaxxBox,,"TapeTech 12"" PowerAssist MaxxBox PAHC12",Drywall Finishing Tools > TapeTech > Finishing Boxes,matched_by_mpn,1,PAHC12,Power Assist MaxxBoxes,29,Power Assist MaxxBoxes,TapeTech PowerAssist MaxxBox,TapeTech PowerAssist MaxxBox,"TapeTech 12"" PowerAssist MaxxBox PAHC12","TapeTech 12"" PowerAssist MaxxBox PAHC12",Automatic Taping & Finishing Tools,Power Assist Boxes,Power Assist MaxxBox,TapeTech PowerAssist MaxxBox,"TapeTech 12"" PowerAssist MaxxBox PAHC12","TapeTech 12"" PowerAssist MaxxBox PAHC12",Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Power Assist Boxes > Power Assist MaxxBox,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
643,,simple,13898,420009,"TapeTech Blade, Carbide, 2.5"" CF",,,Drywall Finishing Tools > TapeTech > Replacement Parts,matched_by_mpn,1,420009,Corner Finishers,22,Corner Finishers,"TapeTech Blade, Carbide, 2.5"" CF","TapeTech Blade, Carbide, 2.5"" CF",,,,,,"TapeTech Blade, Carbide, 2.5"" CF","TapeTech Blade, Carbide, 2.5"" CF",,,0,1,0,0,equivalent,short description can be populated from reference
651,,simple,14131,QB06-QSX,TapeTech QuickBox QSX 6.5 in Finishing Box,,TapeTech QuickBox QSX 6.5in Finishing Box,Drywall Finishing Tools > TapeTech > Finishing Boxes,matched_by_mpn,1,QB06-QSX,QuickBox QSX,30,QuickBox QSX,TapeTech QuickBox QSX 6.5 in Finishing Box,TapeTech QuickBox QSX 6.5 in Finishing Box,TapeTech QuickBox QSX 6.5in Finishing Box,TapeTech QuickBox QSX 6.5in Finishing Box,Automatic Taping & Finishing Tools,QuickBox QSX,QuickBox Finishing Box,TapeTech QuickBox QSX 6.5 in Finishing Box,TapeTech QuickBox QSX 6.5in Finishing Box,TapeTech QuickBox QSX 6.5in Finishing Box,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > QuickBox QSX > QuickBox Finishing Box,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
652,,simple,14133,QB6023-5,"TapeTech 6.5"" QSX Crown Finishing Blade",,"TapeTech 6.5"" QSX Crown Finishing Blade",Drywall Finishing Tools > TapeTech > Finishing Boxes,matched_by_mpn,1,QB6023-5,QuickBox QSX,30,QuickBox QSX,"TapeTech 6.5"" QSX Crown Finishing Blade","TapeTech 6.5"" QSX Crown Finishing Blade","TapeTech 6.5"" QSX Crown Finishing Blade","TapeTech 6.5"" QSX Crown Finishing Blade",,,,"TapeTech 6.5"" QSX Crown Finishing Blade","TapeTech 6.5"" QSX Crown Finishing Blade","TapeTech 6.5"" QSX Crown Finishing Blade",,0,1,0,0,equivalent,short description can be populated from reference
653,,simple,14134,QB6033-5,"TapeTech 6.5"" QSX Exterior Seaming Blade",,"TapeTech 6.5"" QSX Exterior Seaming Blade",Drywall Finishing Tools > TapeTech > Finishing Boxes,matched_by_mpn,1,QB6033-5,QuickBox QSX,30,QuickBox QSX,"TapeTech 6.5"" QSX Exterior Seaming Blade","TapeTech 6.5"" QSX Exterior Seaming Blade","TapeTech 6.5"" QSX Exterior Seaming Blade","TapeTech 6.5"" QSX Exterior Seaming Blade",,,,"TapeTech 6.5"" QSX Exterior Seaming Blade","TapeTech 6.5"" QSX Exterior Seaming Blade","TapeTech 6.5"" QSX Exterior Seaming Blade",,0,1,0,0,equivalent,short description can be populated from reference
654,,simple,14148,EZ07TT,TapeTech EasyClean™ Flat Box,,"TapeTech 7"" EasyClean™ Flat Box EZ07TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,matched_by_mpn,1,EZ07TT,MaxxBoxes,27,MaxxBoxes,TapeTech EasyCleanTM Flat Box,TapeTech EasyCleanTM Flat Box,"TapeTech 7"" EasyCleanTM Flat Box EZ07TT","TapeTech 7"" EasyCleanTM Flat Box EZ07TT",Automatic Taping & Finishing Tools,Finishing Boxes,EasyClean Finishing Box,TapeTech EasyCleanTM Flat Box,"TapeTech 7"" EasyCleanTM Flat Box EZ07TT","TapeTech 7"" EasyCleanTM Flat Box EZ07TT",Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Finishing Boxes > EasyClean Finishing Box,1,1,0,1,different,name differs from reference; short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
655,,simple,14149,EZ10TT,TapeTech EasyClean™ Flat Box,,"TapeTech 10"" EasyClean™ Flat Box EZ10TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,matched_by_mpn,1,EZ10TT,MaxxBoxes,27,MaxxBoxes,TapeTech EasyCleanTM Flat Box,TapeTech EasyCleanTM Flat Box,"TapeTech 10"" EasyCleanTM Flat Box EZ10TT","TapeTech 10"" EasyCleanTM Flat Box EZ10TT",Automatic Taping & Finishing Tools,Finishing Boxes,EasyClean Finishing Box,TapeTech EasyCleanTM Flat Box,"TapeTech 10"" EasyCleanTM Flat Box EZ10TT","TapeTech 10"" EasyCleanTM Flat Box EZ10TT",Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Finishing Boxes > EasyClean Finishing Box,1,1,0,1,different,name differs from reference; short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
656,,simple,14150,EZ12TT,TapeTech EasyClean™ Flat Box,,"TapeTech 12"" EasyClean™ Flat Box EZ12TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,matched_by_mpn,1,EZ12TT,MaxxBoxes,27,MaxxBoxes,TapeTech EasyCleanTM Flat Box,TapeTech EasyCleanTM Flat Box,"TapeTech 12"" EasyCleanTM Flat Box EZ12TT","TapeTech 12"" EasyCleanTM Flat Box EZ12TT",Automatic Taping & Finishing Tools,Finishing Boxes,EasyClean Finishing Box,TapeTech EasyCleanTM Flat Box,"TapeTech 12"" EasyCleanTM Flat Box EZ12TT","TapeTech 12"" EasyCleanTM Flat Box EZ12TT",Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Finishing Boxes > EasyClean Finishing Box,1,1,0,1,different,name differs from reference; short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
