Model,Catalog Name,Report Description,Reference,Reference Description,Disposition,Differences,Notes
48TT,"TapeTech Corner Finisher - 3"" EasyRoll® Adjustable","3"" Easy Roll Adjustable Corner Finisher",WORKBOOK,"3"" Easy Roll Adjustable Corner Finisher",READY_WORKBOOK,,Exact SKU and product identity passed.
15TTE,TapeTech Corner Roller - Inside Corner,Inside Corner Roller,WORKBOOK,Inside Corner Roller,READY_WORKBOOK,,Exact SKU and product identity passed.
17TT,TapeTech Corner Roller - Outside Corner,Outside Corner Roller,WORKBOOK,Outside Corner Roller,READY_WORKBOOK,,Exact SKU and product identity passed.
17TTE,TapeTech Corner Roller - Flex Tape Outside Corner,Outside Corner Roller (for Flex Tape),WORKBOOK,Outside Corner Roller (for Flex Tape),READY_WORKBOOK,,Exact SKU and product identity passed.
03TT,"TapeTech EasyClean® Automatic Taper - Mini-Taper 40.5""",Filler Adapter,FALLBACK_CSV,Filler Adapter,REJECTED_IDENTITY_CONFLICT,,Reference description is incompatible with the current catalog product name.
07TT,TapeTech EasyClean® Automatic Taper - Standard,EasyClean Automatic Taper,WORKBOOK,EasyClean Automatic Taper,READY_WORKBOOK,,Exact SKU and product identity passed.
EZ07TT,"TapeTech EasyClean® Finishing Box - 7""","7"" EasyClean® Finishing Box with EasyRoll™ Wheels",WORKBOOK,"7"" EasyClean® Finishing Box with EasyRoll™ Wheels",READY_WORKBOOK,,Exact SKU and product identity passed.
EZ10TT,"TapeTech EasyClean® Finishing Box - 10""","10"" EasyClean® Finishing Box with EasyRoll™ Wheels",WORKBOOK,"10"" EasyClean® Finishing Box with EasyRoll™ Wheels",READY_WORKBOOK,,Exact SKU and product identity passed.
EZ12TT,"TapeTech EasyClean® Finishing Box - 12""","12"" EasyClean® Finishing Box with EasyRoll™ Wheels",WORKBOOK,"12"" EasyClean® Finishing Box with EasyRoll™ Wheels",READY_WORKBOOK,,Exact SKU and product identity passed.
76TT,TapeTech EasyClean® Pump - Standard,Corner Finisher Handle - 48 in,WORKBOOK,EasyClean Loading Pump,READY_WORKBOOK,Ship Box Length (in): report=49 reference=23.5 | Ship Box Width (in): report=3 reference=7.5 | Ship Box Height (in): report=3 reference=6.5 | Ship Package Weight (lbs): report=2.15 reference=9.6 | Ship Box Length (cm): report=125 reference=60 | Ship Box Width (cm): report=8 reference=20 | Ship Box Height (cm): report=8 reference=17 | Ship Package Weight (kg): report=0.9752 reference=4.3544867519999997,Exact SKU and product identity passed. Reference values override the update report: Ship Box Length (in): report=49 reference=23.5 | Ship Box Width (in): report=3 reference=7.5 | Ship Box Height (in): report=3 reference=6.5 | Ship Package Weight (lbs): report=2.15 reference=9.6 | Ship Box Length (cm): report=125 reference=60 | Ship Box Width (cm): report=8 reference=20 | Ship Box Height (cm): report=8 reference=17 | Ship Package Weight (kg): report=0.9752 reference=4.3544867519999997
EHC07,"TapeTech MaxxBox® High Capacity Finishing Box - 7""","7"" MAXXBOX™ Extra High Capacity Finishing Box",WORKBOOK,"7"" MAXXBOX™ Extra High Capacity Finishing Box",READY_WORKBOOK,,Exact SKU and product identity passed.
EHC10,"TapeTech MaxxBox® High Capacity Finishing Box - 10""","10"" MAXXBOX™ Extra High Capacity Finishing Box",WORKBOOK,"10"" MAXXBOX™ Extra High Capacity Finishing Box",READY_WORKBOOK,,Exact SKU and product identity passed.
EHC12,"TapeTech MaxxBox® High Capacity Finishing Box - 12""","12"" MAXXBOX™ Extra High Capacity Finishing Box",WORKBOOK,"12"" MAXXBOX™ Extra High Capacity Finishing Box",READY_WORKBOOK,,Exact SKU and product identity passed.
PAHC07,"TapeTech Power Assist® MaxxBox® Finishing Box - 7""","7"" Power Assist MAXXBOX Extra High Capacity Finishing Box",WORKBOOK,"7"" Power Assist MAXXBOX Extra High Capacity Finishing Box",READY_WORKBOOK,,Exact SKU and product identity passed.
PAHC10,"TapeTech Power Assist® MaxxBox® Finishing Box - 10""","10"" Power Assist MAXXBOX Extra High Capacity Finishing Box",WORKBOOK,"10"" Power Assist MAXXBOX Extra High Capacity Finishing Box",READY_WORKBOOK,,Exact SKU and product identity passed.
PAHC12,"TapeTech Power Assist® MaxxBox® Finishing Box - 12""","12"" Power Assist MAXXBOX Extra High Capacity Finishing Box",WORKBOOK,"12"" Power Assist MAXXBOX Extra High Capacity Finishing Box",READY_WORKBOOK,,Exact SKU and product identity passed.
FHTT,TapeTech Support Handle - Fiberglass,Fiberglass Handle,WORKBOOK,Interchangeable Fiberglass Support Handle,READY_WORKBOOK,Ship Box Length (in): report=54 reference=45.5 | Ship Box Width (in): report=3 reference=2.25 | Ship Box Height (in): report=3 reference=2.25 | Ship Package Weight (lbs): report=1.8 reference=3.3 | Ship Box Length (cm): report=138 reference=115.57000000000001 | Ship Box Width (cm): report=8 reference=5.7149999999999999 | Ship Box Height (cm): report=8 reference=5.7149999999999999 | Ship Package Weight (kg): report=0.8165 reference=1.4968548209999999,Exact SKU and product identity passed. Reference values override the update report: Ship Box Length (in): report=54 reference=45.5 | Ship Box Width (in): report=3 reference=2.25 | Ship Box Height (in): report=3 reference=2.25 | Ship Package Weight (lbs): report=1.8 reference=3.3 | Ship Box Length (cm): report=138 reference=115.57000000000001 | Ship Box Width (cm): report=8 reference=5.7149999999999999 | Ship Box Height (cm): report=8 reference=5.7149999999999999 | Ship Package Weight (kg): report=0.8165 reference=1.4968548209999999
14TT,TapeTech MudRunner® Compound Applicator - Standard,MudRunner,WORKBOOK,MudRunner,READY_WORKBOOK,,Exact SKU and product identity passed.
