bundle_sku,bundle_name,bundle_brand,bundle_type,bundle_kind,parent_sku,component_position,component_source_sku,component_veeqo_sku,component_name,quantity,component_status,notes
SACS,Columbia Commando Set,Columbia Tools,simple,toolset,,8,ICATW,ICATW,Two-Way Internal Applicator,1,ready,
SACS,Columbia Commando Set,Columbia Tools,simple,toolset,,9,CR,CR,Corner Roller Head,1,ready,
TWS,Columbia Warrior Set,Columbia Tools,simple,toolset,,0,TCS,TCS,Gun Case,1,ready,
TWS,Columbia Warrior Set,Columbia Tools,simple,toolset,,1,,,7 in. Tomahawk Smoothing Blade,1,missing_source_sku,Component has no SKU in Woo include metadata.
TWS,Columbia Warrior Set,Columbia Tools,simple,toolset,,2,,,12 in. Tomahawk Smoothing Blade,1,missing_source_sku,Component has no SKU in Woo include metadata.
TWS,Columbia Warrior Set,Columbia Tools,simple,toolset,,3,,,18 in. Tomahawk Smoothing Blade,1,missing_source_sku,Component has no SKU in Woo include metadata.
TWS,Columbia Warrior Set,Columbia Tools,simple,toolset,,4,,,32 in. Tomahawk Smoothing Blade,1,missing_source_sku,Component has no SKU in Woo include metadata.
TWS,Columbia Warrior Set,Columbia Tools,simple,toolset,,5,,,Tomalock Adapter,1,missing_source_sku,Component has no SKU in Woo include metadata.
TWS,Columbia Warrior Set,Columbia Tools,simple,toolset,,6,C1HEXT,C1HEXT,Columbia One EXT Handle,1,ready,
4-605,"LEVEL5 10""/12"" Box Set with Extendable Handle - Standard",LEVEL5,variation,kit,LV5-BOX-SET-10-12,0,4-771,4-771,Compound Pump,1,ready,
4-605,"LEVEL5 10""/12"" Box Set with Extendable Handle - Standard",LEVEL5,variation,kit,LV5-BOX-SET-10-12,1,4-765,4-765,10” Flat Box,1,ready,
4-605,"LEVEL5 10""/12"" Box Set with Extendable Handle - Standard",LEVEL5,variation,kit,LV5-BOX-SET-10-12,2,4-766,4-766,12” Flat Box,1,ready,
4-605,"LEVEL5 10""/12"" Box Set with Extendable Handle - Standard",LEVEL5,variation,kit,LV5-BOX-SET-10-12,3,4-780,4-780,40”- 62” Flat Box Handle,1,ready,
4-629,"LEVEL5 10""/12"" Box Set with Extendable Handle - Mega",LEVEL5,variation,kit,LV5-BOX-SET-10-12,0,4-771,4-771,Compound Pump,1,ready,
4-629,"LEVEL5 10""/12"" Box Set with Extendable Handle - Mega",LEVEL5,variation,kit,LV5-BOX-SET-10-12,1,4-768,4-768,10” Mega Flat Box,1,ready,
4-629,"LEVEL5 10""/12"" Box Set with Extendable Handle - Mega",LEVEL5,variation,kit,LV5-BOX-SET-10-12,2,4-769,4-769,12” Mega Flat Box,1,ready,
4-629,"LEVEL5 10""/12"" Box Set with Extendable Handle - Mega",LEVEL5,variation,kit,LV5-BOX-SET-10-12,3,4-780,4-780,40”- 62” Flat Box Handle,1,ready,
4-687P,LEVEL5 Finishing Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,0,4-771,4-771,Compound Pump,1,ready,
4-687P,LEVEL5 Finishing Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,1,4-768,4-768,10” Mega Flat Box,1,ready,
4-687P,LEVEL5 Finishing Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,2,4-769,4-769,12” Mega Flat Box,1,ready,
4-687P,LEVEL5 Finishing Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,3,4-780,4-780,40”- 62” Flat Box Handle,1,ready,
4-687P,LEVEL5 Finishing Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,4,4-733,4-733,3” Corner Finisher,1,ready,
4-687P,LEVEL5 Finishing Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,5,4-734,4-734,3.5” Corner Finisher,1,ready,
4-687P,LEVEL5 Finishing Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,6,4-795,4-795,31”- 50” Corner Finisher Handle,1,ready,
4-687P,LEVEL5 Finishing Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,7,4-772,4-772,MiniShot,1,ready,
4-687P,LEVEL5 Finishing Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,8,4-707,4-707,Corner Roller,1,ready,
4-687P,LEVEL5 Finishing Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,9,4-792,4-792,31”- 50” Corner Roller Handle,1,ready,
4-687P,LEVEL5 Finishing Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,10,5-623,5-623,Bonus Hand Tool Set (as printed: 4-623),1,missing_veeqo_sku,Component SKU was not found in Veeqo import.
4-600P,LEVEL5 Entry to Automatic Finishing Set - With Automatic Taper,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,0,4-760,4-760,Automatic Taper,1,ready,
4-600P,LEVEL5 Entry to Automatic Finishing Set - With Automatic Taper,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,1,4-714,4-714,Gooseneck Filler Tube,1,ready,
4-600P,LEVEL5 Entry to Automatic Finishing Set - With Automatic Taper,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,2,4-771,4-771,Compound Pump,1,ready,
4-600P,LEVEL5 Entry to Automatic Finishing Set - With Automatic Taper,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,3,4-765,4-765,10” Flat Box,1,ready,
4-600P,LEVEL5 Entry to Automatic Finishing Set - With Automatic Taper,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,4,4-766,4-766,12” Flat Box,1,ready,
4-600P,LEVEL5 Entry to Automatic Finishing Set - With Automatic Taper,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,5,4-712,4-712,42” Flat Box Handle,1,ready,
4-600P,LEVEL5 Entry to Automatic Finishing Set - With Automatic Taper,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,6,4-733,4-733,3” Corner Finisher,1,ready,
4-600P,LEVEL5 Entry to Automatic Finishing Set - With Automatic Taper,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,7,4-779,4-779,54” Corner Finisher Handle,1,ready,
4-600P,LEVEL5 Entry to Automatic Finishing Set - With Automatic Taper,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,8,4-701,4-701,7” Corner Applicator,1,ready,
4-600P,LEVEL5 Entry to Automatic Finishing Set - With Automatic Taper,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,9,4-778,4-778,54” Corner Applicator Handle,1,ready,
4-600P,LEVEL5 Entry to Automatic Finishing Set - With Automatic Taper,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,10,4-707,4-707,Corner Roller,1,ready,
4-600P,LEVEL5 Entry to Automatic Finishing Set - With Automatic Taper,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,11,5-777,5-777,50” Corner Roller Handle (as printed: 5-777),1,ready,
4-600P,LEVEL5 Entry to Automatic Finishing Set - With Automatic Taper,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,12,5-623,5-623,Bonus Hand Tool Set,1,missing_veeqo_sku,Component SKU was not found in Veeqo import.
4-602,LEVEL5 Entry to Automatic Finishing Set - Tools Only,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,0,4-771,4-771,Compound Pump,1,ready,
4-602,LEVEL5 Entry to Automatic Finishing Set - Tools Only,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,1,4-765,4-765,10” Flat Box,1,ready,
4-602,LEVEL5 Entry to Automatic Finishing Set - Tools Only,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,2,4-766,4-766,12” Flat Box,1,ready,
4-602,LEVEL5 Entry to Automatic Finishing Set - Tools Only,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,3,4-712,4-712,42” Flat Box Handle,1,ready,
4-602,LEVEL5 Entry to Automatic Finishing Set - Tools Only,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,4,4-733,4-733,3” Corner Finisher,1,ready,
4-602,LEVEL5 Entry to Automatic Finishing Set - Tools Only,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,5,4-779,4-779,54” Corner Finisher Handle,1,ready,
4-602,LEVEL5 Entry to Automatic Finishing Set - Tools Only,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,6,4-701,4-701,7” Corner Applicator Box,1,ready,
4-602,LEVEL5 Entry to Automatic Finishing Set - Tools Only,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,7,4-778,4-778,50” Corner Applicator Handle,1,ready,
4-602,LEVEL5 Entry to Automatic Finishing Set - Tools Only,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,8,4-707,4-707,Corner Roller,1,ready,
4-602,LEVEL5 Entry to Automatic Finishing Set - Tools Only,LEVEL5,variation,kit,LV5-ENTRY-FINISHING-SET,9,4-777,4-777,54” Corner Roller Handle,1,ready,
4-661P,LEVEL5 The Full Taping Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,0,4-760,4-760,Automatic Taper,1,ready,
4-661P,LEVEL5 The Full Taping Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,1,4-714,4-714,Gooseneck Filler Tube,1,ready,
4-661P,LEVEL5 The Full Taping Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,2,4-771,4-771,Compound Pump,1,ready,
4-661P,LEVEL5 The Full Taping Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,3,4-765,4-765,10” Flat Box,1,ready,
4-661P,LEVEL5 The Full Taping Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,4,4-766,4-766,12” Flat Box,1,ready,
4-661P,LEVEL5 The Full Taping Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,5,4-780,4-780,40”- 62” Flat Box Handle,1,ready,
4-661P,LEVEL5 The Full Taping Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,6,4-733,4-733,3” Corner Finisher,1,ready,
4-661P,LEVEL5 The Full Taping Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,7,4-795,4-795,31”- 50” Corner Finisher Handle,1,ready,
4-661P,LEVEL5 The Full Taping Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,8,4-772,4-772,MiniShot,1,ready,
4-661P,LEVEL5 The Full Taping Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,9,4-707,4-707,Corner Roller,1,ready,
4-661P,LEVEL5 The Full Taping Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,10,4-792,4-792,31”- 50” Corner Roller Handle,1,ready,
4-661P,LEVEL5 The Full Taping Set w/ Ext. Handles & MiniShot,LEVEL5,simple,kit,,11,5-623,5-623,Bonus Hand Tool Set,1,missing_veeqo_sku,Component SKU was not found in Veeqo import.
4-630,LEVEL5 The Starter Taping Set,LEVEL5,simple,kit,,0,4-760,4-760,Automatic Taper,1,ready,
4-630,LEVEL5 The Starter Taping Set,LEVEL5,simple,kit,,1,4-714,4-714,Gooseneck Filler Tube,1,ready,
4-630,LEVEL5 The Starter Taping Set,LEVEL5,simple,kit,,2,4-771,4-771,Compound Pump,1,ready,
4-630,LEVEL5 The Starter Taping Set,LEVEL5,simple,kit,,3,4-707,4-707,Corner Roller,1,ready,
4-630,LEVEL5 The Starter Taping Set,LEVEL5,simple,kit,,4,4-777,4-777,50” Corner Roller Handle,1,ready,
4-677P,LEVEL5 The Ultimate Taping & Finishing Set,LEVEL5,simple,kit,,0,4-760,4-760,Automatic Taper,1,ready,
4-677P,LEVEL5 The Ultimate Taping & Finishing Set,LEVEL5,simple,kit,,1,4-714,4-714,Gooseneck Filler Tube,1,ready,
4-677P,LEVEL5 The Ultimate Taping & Finishing Set,LEVEL5,simple,kit,,2,4-771,4-771,Compound Pump,2,ready,
4-677P,LEVEL5 The Ultimate Taping & Finishing Set,LEVEL5,simple,kit,,3,4-764,4-764,7” Flat Box,1,ready,
4-677P,LEVEL5 The Ultimate Taping & Finishing Set,LEVEL5,simple,kit,,4,4-765,4-765,10” Flat Box,1,ready,
4-677P,LEVEL5 The Ultimate Taping & Finishing Set,LEVEL5,simple,kit,,5,4-766,4-766,12” Flat Box,1,ready,
4-677P,LEVEL5 The Ultimate Taping & Finishing Set,LEVEL5,simple,kit,,6,4-712,4-712,42” Flat Box Handle,1,ready,
4-677P,LEVEL5 The Ultimate Taping & Finishing Set,LEVEL5,simple,kit,,7,4-733,4-733,3” Corner Finisher,1,ready,
4-677P,LEVEL5 The Ultimate Taping & Finishing Set,LEVEL5,simple,kit,,8,4-734,4-734,3.5” Corner Finisher,1,ready,
4-677P,LEVEL5 The Ultimate Taping & Finishing Set,LEVEL5,simple,kit,,9,4-795,4-795,31”- 50” Corner Finisher Handle,1,ready,
4-677P,LEVEL5 The Ultimate Taping & Finishing Set,LEVEL5,simple,kit,,10,4-772,4-772,MiniShot,1,ready,
4-677P,LEVEL5 The Ultimate Taping & Finishing Set,LEVEL5,simple,kit,,11,4-707,4-707,Corner Roller,1,ready,
4-677P,LEVEL5 The Ultimate Taping & Finishing Set,LEVEL5,simple,kit,,12,4-755,4-755,3” Nail Spotter,1,ready,
4-677P,LEVEL5 The Ultimate Taping & Finishing Set,LEVEL5,simple,kit,,13,4-792,4-792,31”- 50” Corner Roller/Nail Spotter Handle,2,ready,
4-677P,LEVEL5 The Ultimate Taping & Finishing Set,LEVEL5,simple,kit,,14,4-862,4-862,Outsider Wheel Kit,1,missing_veeqo_sku,Component SKU was not found in Veeqo import.
4-677P,LEVEL5 The Ultimate Taping & Finishing Set,LEVEL5,simple,kit,,15,5-623,5-623,Bonus Hand Tool Set,1,missing_veeqo_sku,Component SKU was not found in Veeqo import.
PT-FIN,Platinum Drywall Starter Finishing Set,Platinum Drywall Tools,simple,kit,,0,PT-10FB,PT-10FB,10 in. Flat Finishing Box,1,ready,
PT-FIN,Platinum Drywall Starter Finishing Set,Platinum Drywall Tools,simple,kit,,1,PT-12FB,PT-12FB,12 in. Flat Finishing Box,1,ready,
PT-FIN,Platinum Drywall Starter Finishing Set,Platinum Drywall Tools,simple,kit,,2,PT-CR,PT-CR,Inside Corner Roller,1,ready,
PT-FIN,Platinum Drywall Starter Finishing Set,Platinum Drywall Tools,simple,kit,,3,PT-CA8,PT-CA8,8 in. Corner Applicator / Angle Box,1,ready,
PT-FIN,Platinum Drywall Starter Finishing Set,Platinum Drywall Tools,simple,kit,,4,PT-3CF,PT-3CF,3 in. Angle Head Corner Finisher with Wheels,1,ready,
PT-FIN,Platinum Drywall Starter Finishing Set,Platinum Drywall Tools,simple,kit,,5,PT-CP,PT-CP,Drywall Pump with Filler,1,ready,
PT-FIN,Platinum Drywall Starter Finishing Set,Platinum Drywall Tools,simple,kit,,6,PT-BF,PT-BF,Box Filler Attachment,1,ready,
PT-FIN,Platinum Drywall Starter Finishing Set,Platinum Drywall Tools,simple,kit,,7,PT-BH,PT-BH42,Flat Box Handle,1,mapped_alias,Source SKU PT-BH mapped to Veeqo SKU PT-BH42.
PT-FIN,Platinum Drywall Starter Finishing Set,Platinum Drywall Tools,simple,kit,,8,PT-CRH50,PT-CRH50,50 in. Corner Roller Handle,1,ready,
PT-FIN,Platinum Drywall Starter Finishing Set,Platinum Drywall Tools,simple,kit,,9,PT-CAH50,PT-CAH50,50 in. Corner Box Handle,1,ready,
PT-FIN,Platinum Drywall Starter Finishing Set,Platinum Drywall Tools,simple,kit,,10,PT-CFH50,PT-CFH50,50 in. Angle Head Handle,1,ready,
TTSFS,TapeTech Standard Full Set - Standard,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,0,07TT,07TT,EasyClean Automatic Taper,1,ready,
TTSFS,TapeTech Standard Full Set - Standard,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,1,EZ10TT,EZ10TT,10 in. EasyClean Flat Box,1,ready,
TTSFS,TapeTech Standard Full Set - Standard,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,2,EZ12TT,EZ12TT,12 in. EasyClean Flat Box,1,ready,
TTSFS,TapeTech Standard Full Set - Standard,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,3,15TTE,15TTE,Corner Roller,1,ready,
TTSFS,TapeTech Standard Full Set - Standard,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,4,42TT,42TT,2.5 in. Corner Finisher,1,ready,
TTSFS,TapeTech Standard Full Set - Standard,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,5,48TT,48TT,3 in. EasyRoll Adjustable Corner Finisher,1,ready,
TTSFS,TapeTech Standard Full Set - Standard,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,6,CA08TT,CA08TT,8 in. Corner Applicator,1,ready,
TTSFS,TapeTech Standard Full Set - Standard,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,7,76TT,76TT,Loading Pump,1,ready,
TTSFS,TapeTech Standard Full Set - Standard,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,8,85TT,85T,Gooseneck,1,mapped_alias,Source SKU 85TT mapped to Veeqo SKU 85T.
TTSFS,TapeTech Standard Full Set - Standard,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,9,90TT,90T,Flat Box Filler,1,mapped_alias,Source SKU 90TT mapped to Veeqo SKU 90T.
TTSFS,TapeTech Standard Full Set - Standard,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,10,CFA-TT,CFA-TT,Corner Finisher Adapter,1,ready,
TTSFS,TapeTech Standard Full Set - Standard,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,11,8042TT,8042TT,42 in. Flat Box Handle,1,ready,
TTSFS,TapeTech Standard Full Set - Standard,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,12,XHTT,XHTT,Extendable Handles,2,ready,
TTSFS-2,TapeTech Standard Full Set - With 2 Pumps,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,0,07TT,07TT,EasyClean Automatic Taper,1,ready,
TTSFS-2,TapeTech Standard Full Set - With 2 Pumps,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,1,EZ10TT,EZ10TT,10 in. EasyClean Flat Box,1,ready,
TTSFS-2,TapeTech Standard Full Set - With 2 Pumps,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,2,EZ12TT,EZ12TT,12 in. EasyClean Flat Box,1,ready,
TTSFS-2,TapeTech Standard Full Set - With 2 Pumps,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,3,15TTE,15TTE,Corner Roller,1,ready,
TTSFS-2,TapeTech Standard Full Set - With 2 Pumps,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,4,42TT,42TT,2.5 in. Corner Finisher,1,ready,
TTSFS-2,TapeTech Standard Full Set - With 2 Pumps,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,5,48TT,48TT,3 in. EasyRoll Adjustable Corner Finisher,1,ready,
TTSFS-2,TapeTech Standard Full Set - With 2 Pumps,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,6,CA08TT,CA08TT,8 in. Corner Applicator,1,ready,
TTSFS-2,TapeTech Standard Full Set - With 2 Pumps,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,7,76TT,76TT,Loading Pumps,2,ready,
TTSFS-2,TapeTech Standard Full Set - With 2 Pumps,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,8,85TT,85T,Gooseneck,1,mapped_alias,Source SKU 85TT mapped to Veeqo SKU 85T.
TTSFS-2,TapeTech Standard Full Set - With 2 Pumps,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,9,90TT,90T,Flat Box Filler,1,mapped_alias,Source SKU 90TT mapped to Veeqo SKU 90T.
TTSFS-2,TapeTech Standard Full Set - With 2 Pumps,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,10,CFA-TT,CFA-TT,Corner Finisher Adapter,1,ready,
TTSFS-2,TapeTech Standard Full Set - With 2 Pumps,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,11,8042TT,8042TT,42 in. Flat Box Handle,1,ready,
TTSFS-2,TapeTech Standard Full Set - With 2 Pumps,TapeTech,simple,toolset,TT-STANDARD-FULL-SET,12,XHTT,XHTT,Extendable Handles,2,ready,
TTBBS,TapeTech Basic Box Set,TapeTech,simple,toolset,,0,EZ10TT,EZ10TT,10 in. EasyClean Flat Box,1,ready,
TTBBS,TapeTech Basic Box Set,TapeTech,simple,toolset,,1,EZ12TT,EZ12TT,12 in. EasyClean Flat Box,1,ready,
TTBBS,TapeTech Basic Box Set,TapeTech,simple,toolset,,2,76TT,76TT,Loading Pump,1,ready,
TTBBS,TapeTech Basic Box Set,TapeTech,simple,toolset,,3,90TT,90T,Flat Box Filler,1,mapped_alias,Source SKU 90TT mapped to Veeqo SKU 90T.
TTBBS,TapeTech Basic Box Set,TapeTech,simple,toolset,,4,88TTE,88TTE,Flat Box XTender Handle,1,ready,
TTBTS,TapeTech Basic Taping Set,TapeTech,simple,toolset,,0,07TT,07TT,EasyClean Automatic Taper,1,ready,
TTBTS,TapeTech Basic Taping Set,TapeTech,simple,toolset,,1,15TTE,15TTE,Corner Roller,1,ready,
TTBTS,TapeTech Basic Taping Set,TapeTech,simple,toolset,,2,48TT,48TT,3 in. EasyRoll Adjustable Corner Finisher,1,ready,
TTBTS,TapeTech Basic Taping Set,TapeTech,simple,toolset,,3,76TT,76TT,Loading Pump,1,ready,
TTBTS,TapeTech Basic Taping Set,TapeTech,simple,toolset,,4,85TT,85T,Gooseneck,1,mapped_alias,Source SKU 85TT mapped to Veeqo SKU 85T.
