"Type","SKU","Name","Short description","Categories","Description"
"simple","PT-FB12","12"" Flat Finishing Box","Automatically dispenses and feathers joint compound for a smooth finish 12"" width ideal for flat and butt joints Adjustable crown dial for precise compound control Pivoting axle compensates for uneven drywall surfaces Removable door plate (no hinge) for easy cleaning and maintenance Interchangeable wear parts with major brands at lower prices Built for professional drywall finishers","Flat Boxes","Platinum 12"" Flat Finishing Box The Platinum 12"" Flat Finishing Box delivers smooth, consistent drywall finishes quickly and precisely. Designed for professionals, this tool automatically dispenses the perfect amount of joint compound while feathering the edges of flat and butt joints — all in a single pass. Featuring an adjustable crown dial, you can easily control the compound applied for each coat, making transitions from first to final coats precise and straightforward. The pivoting axle helps compensate for uneven drywall surfaces, ensuring a flawless finish every time. This second-generation design includes a removable door plate, eliminating the old-style hinge found on earlier models like the Level5. This makes cleaning and maintenance faster and easier. All wear parts are compatible with most major brands, giving you premium performance at a lower cost."
"simple","PT-8FB","8"" Flat Finishing Box","Adjustable stainless steel blade Fits all major brands of drywall flat box handles Easy-open thumb latches allow for easy cleanup of the inside of the flat box Precision machined axle and wheels ride very smooth on all Sheetrock® surfaces","Flat Boxes","Platinum Drywall Tools 8"" Flat Box The Platinum Drywall Tools 8"" Flat Finishing Box is designed to apply just the perfect amount of joint compound to drywall flat seams and butt joints. The highly durable anodized aluminum body is built tough to withstand everyday use. With the adjustable blade dial, it will allow you to get the exact finish desired. Primarily that 8"" size is used on the fill coat. Keep your tools clean and lubricated for optimal performance."
"simple","PT-CAH50","50"" Corner Box Handle","Applies compound evenly in cornersHelps speed up corner finishingContractor-grade construction","Corner Applicators","This Platinum Drywall Tools Corner Box Handle is a heavy-duty anodized aluminum handle. It is 50"" long. Features a very comfortable rubber grip at the end and an adjustable ball grip for greater control. These handles are definitely built to last."
"simple","PT-CRH50","50"" Corner Roller Handle","Helps embed tape in cornersSmooth rolling actionBuilt for reliable daily use","Corner Rollers","This Platinum Drywall Tools Corner Roller Handle is a heavy-duty anodized aluminum handle. It is 50"" long. Features a very comfortable rubber grip at the end and an adjustable ball grip for greater control. These handles are definitely built to last."
"simple","PT-2.5CF","Corner Flusher 2.5""","Feathers the first or second coat of mud with one pass Stainless Steel construction Superior retainer clip keeps this flusher on handles Fits any angle head handle","Corner Flusher","Platinum Drywall Tools 2.5"" Corner Flusher is the perfect choice for your base coat or finish coat. The Platinum Flusher is constructed from surgical stainless spring steel, due to this it holds its form very well. Will fit all major brands of angle head or flusher handles."
"simple","PT-CP","Drywall Pump w/Filler","Easy clean-up pump tube Fits all major brands of Goosenecks Built to last","Compound Pump","Platinum Drywall Tools Drywall Loading Pump The Platinum Drywall Tools Drywall Loading Pump is precision machined out of the highest quality materials because we wanted this pump to last. We manufactured this tool out of high-grade anodized aluminum that resists corrosion and extends the pump's service life. Unlike many other competitive brands, the pump comes with a free box filler attachment. You can fill all major brands of Flat Boxes, Corner Boxes, and Nail spotters The Gooseneck is sold separately. Clean-up is effortless because the main cylinder of the pump can be removed easily with two buckle . Remove the cylinder, hose it out, and spray it down with a little silicone lubricant; it is good to go for your next job. (Do not use WD-40)"
"simple","PT-3.5CF","Platinum 3.5 Corner Flusher","Cleans and finishes taped cornersConsistent wipe-down performanceDurable contractor-grade construction","Corner Flusher","Platinum Drywall Tools 3.5 Inch Corner Flusher Platinum Drywall Tools 3.5"" Corner Flusher is the perfect choice for your base coat or finish coat. Made from surgical stainless spring steel that holds its form, this flusher was built to last! Will fit all major brands of angle head or flusher handles."
"simple","PT-BF","Box Filler Attachment","Platinum Box Fillers will fit all major brands of compound pumps","Box Filler","Platinum Drywall Tools Flat Box Filler The Platinum Drywall Tools Box Filler attaches to all major brands of drywall compound pumps. It is used to fill flat boxes, corner applicators, and nail spotters. These handcrafted box fillers are very durable and built to last. They will bolt onto all major brands of drywall loading pumps and fill all brands of drywall tools."
"simple","PT-EXT3IN1-1","Extendable Angle Head Handle","Contractor-grade angle headSmooth corner finishing controlBuilt for daily jobsite use","Angle Heads","Platinum Drywall Tools Extendable Angle Head Handle 45-70"" With the Platinum Drywall Tools Angle Head Extendable Handle, you can easily reach high work and tight spaces. Constructed of high-grade, lightweight aluminum with comfortable grips. The handle extends from 45-70"" and is built to last."
"simple","PT-FIN","Platinum Drywall Starter Finishing Set","This is a great set for finishing corners and flats.","Tool Sets, Uncategorized","Professional Quality Finishing Set for finishing drywall flats and corners 2 Flat Boxes,Corner Roller, Angle Box, Angle Head, Pump, Box Filler Valve and Handles"
"simple","PT-EBH","Extendable Flat Box Handle 40"" - 64""","Adjustable length: 40"" to 64"" Constructed from durable anodized aluminum Lightweight and balanced for reduced fatigue Quick-lock adjustment for easy length changes Fits all major brand flat boxes Designed for professional drywall finishing","Flat Box Handle","Platinum Extendable Flat Box Handle 40""–64"" The Platinum Extendable Flat Box Handle is tough for professional drywall finishers demanding durability and precision. Crafted from lightweight anodized aluminum, this handle delivers superior strength without adding unnecessary weight. With its adjustable length from 40"" to 64"", you can easily reach high walls and ceilings while maintaining complete control of your flat box. The secure locking mechanism ensures stability at any length, giving you a smooth, consistent finish every time. This handle is compatible with all major brands of flat boxes and is a reliable and versatile addition to any drywall finisher's toolkit."
"simple","PT-3NS","3"" Nail Spotter","Wheels located on a fixed axle for smooth operation The threaded adapter will fit on any standard corner roller handle Increases production over using traditional hand tools","Nail Spotter","[contact-form][contact-field label=""Name"" type=""name"" required=""true"" /][contact-field label=""Email"" type=""email"" required=""true"" /][contact-field label=""Website"" type=""url"" /][contact-field label=""Message"" type=""textarea"" /][/contact-form] The Platinum 3"" Nail Spotter features a high-grade anodized aluminum body, urethane door seal, smooth glide wheels, and carbide steel blade for long service life. Customers find this nail spotter very easy to run and clean. It acts like a mini flat box designed to coat nail and screw holes. The threaded end will fit on any standard corner roller handle."
"simple","PT-TP","Semi Automatic Drywall Taper","Anodized aluminum components, will not rust No additional equipment required other than a 5-gallon bucket Can be used with multiple people on the job site Perfect for small jobs to medium-sized jobs Easy cleanup","Automatic Tapers","The Platinum Drywall Tools Semi-Automatic Drywall Taper is an excellent solution for the professional or first-time taper that wants to speed up their taping process. Once you thread the tape through the Semi-Automatic taper, you attach it to a 5-Gallon bucket filled with thinned taping mud. As you pull the tape, it will apply an even amount of mud to one side of the tape. There is an adjustment wing nut to adjust the desired amount of mud to be applied. Taping with the Semi-Auto Taper is much faster than the traditional method of taping by hand."
"simple","PT-CF3.5","3.5"" Angle Head Corner Finisher with Wheels","Precision set blades Handmade from anodized aluminum and steel components Locking retaining clip Will fit on all major brands of angle head handles and corner boxes Removable wheels for smoother travel on the wall","Angle Heads","Platinum Tools Corner Finisher/Angle Heads have a classic, high-quality cast-aluminum design that evenly finishes both sides of inside corners in a single pass. Whether you are running behind the Corner Roller or skimming on a Corner Box these tools deliver great a nice, sharp corner. They run very smooth and leave a finish that is ready to paint after a light sanding."
"simple","PT-CF2.5","2.5"" Angle Head with Wheels","Precision set blades Handmade from anodized aluminum and steel components Locking retaining clip Will fit on all major brands of angle head handles and corner boxes Removable wheels for smoother travel on the wall","Angle Heads","Platinum Tools Corner Finisher/Angle Heads have a classic, high-quality cast-aluminum design that evenly finishes both sides of inside corners in a single pass. Whether running behind the Corner Roller or skimming on a Corner Box, these tools deliver a nice, sharp corner. They run smoothly and leave a finish ready to paint after a light sanding."
"simple","PT-ICA","Inside 90 Degree Applicator","Attaches to all brand of compound tubes and angle boxes Strong and smooth running plastic construction","Corner Applicators","Introducing the Platinum Drywall Tools Inside Applicator Head, a game-changer in the world of drywall finishing. Designed to deliver flawless results, this high-quality tool is crafted for the effortless application of joint compounds on interior corners. Crafted with precision and durability in mind, this applicator head ensures smooth and consistent coverage, allowing you to achieve professional-grade finishes. Its robust construction guarantees long-lasting performance. This applicator head seamlessly attaches to standard compound tubes or corner boxes, providing compatibility and flexibility for your convenience. Whether you're a seasoned professional or a DIY enthusiast, this tool is essential to your drywall toolkit. Take your drywall finishing to the next level with the Platinum Drywall Tools Inside Applicator Head."
"simple","PT-OCA","Outside 90 Degree Applicator","Attaches to all brand of compound tubes and angle boxes Strong and smooth running plastic construction","Uncategorized","The Platinum Drywall Tools Outside Applicator Head is designed to fit on all brands of compound tubes and corner boxes. They dispense ribbons of drywall joint compound to both sides of outside 90-degree angles. This is a great and extremely quick way to fit mud set corner beads."
"simple","PT-CT42","42"" Compound Tube","Fits all major brands of corner applicators Stainless steel ball end for extended service use","Uncategorized","The Platinum 42"" Compound Tube is used for applying joint compound to internal corners, external corners, and flats with the use of an applicator head. (sold separately) Compound tubes fill like a giant syringe. Place the tube's ball end into the joint compound bucket and pull the handle. The 42"" is an excellent choice for reaching higher areas. These tubes are very well built and ready to start making you much more productive with your next drywall finishing job."
"simple","PT-CT36","36"" Compound Tube","Fits all major brands of corner applicators Stainless steel ball end for extended service use","Uncategorized","The Platinum 36"" Compound Tube is used for applying joint compound to internal corners, external corners, and flats with the use of an applicator head. (sold separately) Compound tubes fill like a giant syringe. Simply place the ball end of the tube into the bucket of joint compound and pull the handle. The 36"" is an excellent choice for getting into tight areas. These tubes are very well built and ready to start making you much more productive with your next drywall finishing job."
"simple","PT-CT24","24"" Compound Tube","Fits all major brands of corner applicators Stainless steel ball end for extended service use","Uncategorized","The Platinum 24"" Compound Tube is used for applying joint compound to internal corners, external corners, and flats with the use of an applicator head. (sold separately) Compound tubes fill like a giant syringe. Simply place the ball end of the tube into the bucket of joint compound and pull the handle. The 24"" is an excellent choice for getting into tight areas and is the smallest size available. These tubes are well built and ready to start speeding you up with your next drywall finishing job."
"simple","PT-CRE","ECO Inside Corner Roller","Helps embed tape in cornersSmooth rolling actionBuilt for reliable daily use","Corner Rollers","Introducing the Platinum Drywall Tools ECO Inside Corner Roller, a product boasting a sleek and efficient design. Engineered with nylon rollers, it guarantees a remarkably smooth surface without the risk of damaging the corner bead. This versatile tool seamlessly attaches to any standard coarse thread painter's pole or broom handle (Sold Separately), ensuring convenience and compatibility. Experience effortless corner rolling with our reliable and user-friendly solution."
"simple","PT-MNBH","Mini Box Handle","Take control of your flat box with the Mini Handle","Flat Box Handle, Flat Boxes","The Platinum Drywall Tools ""Mini"" Flat Box Handle is a solid designed box handle that allows you to use your flat box in much tighter spaces. The high-quality anodized aluminum construction ensures a very long service life. Measuring only 13 inches in length, this handle will allow you to get into even the smallest of closets."
"simple","PT-AICA","4 Wheel Inside Angle / Corner Applicator","Applies compound evenly in cornersHelps speed up corner finishingContractor-grade construction","Corner Applicators","The Platinum 4-Wheel Inside Angle / Corner Applicator is a versatile tool that makes drywall taping and finishing easy and efficient. It is made with high-quality materials to ensure durability and long-lasting performance. The four-wheel design allows you to glide effortlessly over inside angles and corners, delivering a smooth and consistent finish. The Platinum 4-Wheel Inside Angle / Corner Applicator is compatible with various corner bead types and sizes, making it versatile for any drywall finishing job. Whether a professional contractor or a DIY enthusiast, this applicator is a must-have for achieving a professional-quality finish on your drywall projects."
"simple","PT-FA","4"" Flat Applicator","Durable Stainless Steel Runners Mud Reservoir for the perfect bead of material A 4"" Wide footprint is perfect for laying tape It fits onto a Compound Mud Tube or Angle Box","Uncategorized","The Platinum Drywall Tools 4"" Flat Applicator is made of one-piece, high-grade aluminum bodies for sturdiness and durability. Flat Applicators are used with a compound tube or a corner box to apply a ribbon for drywall compound to flat joints. Attractive platinum anodizing gives the tool protection from corrosion. Therefore, allowing to tool to have a long service life. Finish like a Pro with Platinum Drywall Tools."
"simple","PT-14FB","14"" Flat Finishing Box","Adjustable stainless steel blade It fits all major brands of drywall flat box handles Easy-open thumb latches allow for easy cleanup of the inside of the flat box Precision machined axle and wheels ride very smoothly on all Sheetrock® surfaces","Flat Boxes","The Platinum Drywall Tools 14"" Flat Finishing Box is designed to apply just the perfect amount of joint compound to drywall flat seams and butt joints. The highly durable anodized aluminum body is built tough to withstand everyday use. The adjustable blade dial will allow you to get the desired finish. Primarily, 14"" size is used on the finish coat."
"simple","PT-2NS","2"" Nail Spotter","Wheels located on a fixed axle for smooth operation The threaded adapter will fit on any standard corner roller handle Increases production over using traditional hand tools","Nail Spotter","Platinum 2"" Nail Spotter The Platinum 2"" Nail Spotter is engineered for professional drywall finishers who expect precision, durability, and speed. Designed as a compact mini flat box, it delivers fast, consistent coating over nail and screw heads—helping you finish jobs more efficiently with a flawless surface every time. Built from high-grade anodized aluminum, this spotter features a reliable urethane door seal, smooth-glide wheels, and a durable steel blade, ensuring long-lasting performance. Its simple, open design also makes it easy to clean, even after heavy daily use. The integrated threaded end fits any standard corner roller handle, giving you seamless compatibility with the tools you already own."
"simple","","10 Inch Flat Box Blade","Replacement part for cleaner performanceHelps maintain consistent finishesBuilt for compatibility and durability","","10 Inch Flat Box BladeThe 10 Inch Flat Box Blade from Platinum Drywall Tools is built for contractors who need dependable control, durable construction, and consistent results on the jobsite.Use this blade to improve workflow efficiency and maintain a professional finish across drywall projects."
"simple","","","","",""
"simple","","Corner Roller Replacement Wheel","Helps embed tape in cornersSmooth rolling actionBuilt for reliable daily use","","Corner Roller Replacement WheelThe Corner Roller Replacement Wheel from Platinum Drywall Tools is built for contractors who need dependable control, durable construction, and consistent results on the jobsite.Use this corner roller to improve workflow efficiency and maintain a professional finish across drywall projects."
"simple","","Drywall Corner Roller","Helps embed tape in cornersSmooth rolling actionBuilt for reliable daily use","Uncategorized","Drywall Corner RollerThe Drywall Corner Roller from Platinum Drywall Tools is built for contractors who need dependable control, durable construction, and consistent results on the jobsite.Use this corner roller to improve workflow efficiency and maintain a professional finish across drywall projects."
"simple","","Loading Pump Nut Replacement Part","Efficient compound loadingJobsite-ready constructionDesigned for drywall finishing crews","Parts, Parts > Pump Parts","The loading Pump Nut is used to hold the Gooseneck or box filler to the pump. Works with all other major brands."
