Brands,SKU,Name,Tags,meta:_dtb_seo_title,meta:_dtb_seo_description
Asgard,LP01-AD,Asgard Loading Pump (LP01-AD),"Asgard, loading pump, mud pump, LP01-AD, joint compound pump, O-ring seal pump, drywall finishing","Asgard Loading Pump with Integrated O-Ring - LP01-AD","High-volume Asgard Loading Pump for filling tapers and boxes. Features an innovative O-ring seal to eliminate paper gaskets and a quick-disassembly design."
Asgard,NS03-AD,"Asgard 3"" Nail Spotter (NS03-AD)","Asgard, 3 inch nail spotter, NS03-AD, fastener finisher, stainless steel nail spotter, drywall finishing","Asgard 3"" Stainless Steel Nail Spotter - NS03-AD","Efficiently finish fastener depressions with the Asgard 3"" Nail Spotter. Features a durable stainless steel body, EasyClean lid, and protective skid plate."
Asgard,PAFB-AD,Asgard Power Assist Finishing Box,"Asgard, power assist box, flat box, PAFB-AD, PA07-AD, PA10-AD, PA12-AD, spring loaded flat box","Asgard Power Assist Finishing Box - PAFB-AD Series","Minimize fatigue with the Asgard Power Assist Finishing Box. Spring-loaded mechanism provides automated pressure for smooth base and finish coats."
Asgard,TF-DVKN-31Q3,Asgard Taping Set (TF-DVKN-31Q3),"Asgard, taping set, automatic taper kit, TF-DVKN-31Q3, Mighty HAMMER taper, corner finishing set","Asgard High-Performance Taping Tool Set - TF-DVKN-31Q3","Professional Asgard set featuring the Mighty HAMMER Automatic Taper, loading pump, and corner tools. Optimized for speed and precision on high-volume jobs."
Asgard,XH-AD,Asgard Extendable Support Handle (XH-AD),"Asgard, extendable support handle, XH-AD, telescopic handle, 43-77 inch handle, corner roller handle, anti-rotation","Asgard 43""-77"" Extendable Support Handle - XH-AD","Versatile Asgard telescopic handle for corner rollers, angle boxes, and nail spotters. Adjusts from 43"" to 77"" with a secure D-shaped anti-rotation fitting."
Columbia Taping Tools,3WTDF,"Columbia 3"" Widetrack Direct Corner Flusher","Columbia, 3 inch flusher, widetrack flusher, 3WTDF, corner flusher, angle finishing, hand-ground flusher","Columbia 3"" Widetrack Direct Corner Flusher - 3WTDF","Columbia Widetrack Direct Corner Flushers are hand-ground on granite for absolute perfection. Includes wheels for smooth, single-pass angle finishing."
Columbia Taping Tools,3WTSF,"Columbia 3"" Standard Corner Flusher","Columbia, 3 inch flusher, standard flusher, 3WTSF, corner flusher, angle finishing, hand-ground flusher","Columbia 3"" Standard Corner Flusher - 3WTSF","Redefine your angle finishing with the Columbia 3"" Standard Corner Flusher. Hand-ground for precision and equipped with wheels for effortless operation."
Columbia Taping Tools,AH4,Columbia Angle Head Side Blade,"Columbia, angle head blade, replacement blade, AH4, corner finisher parts, automatic taper parts","Columbia Angle Head Side Blade Replacement - AH4","Restore cutting precision to your Columbia Angle Head with the AH4 OEM replacement blade. Ensures clean tape cutoff and prevents compound drag."
Columbia Taping Tools,AH6A,Columbia Angle Head Ball Holder Release Clip,"Columbia, release clip, angle head parts, AH6A, ball holder clip, OEM replacement parts","Columbia Angle Head Ball Holder Release Clip - AH6A","Genuine Columbia AH6A OEM retainer clip for automatic taping systems. Secures components in position to ensure reliable tool operation."
Columbia Taping Tools,AH8,Columbia Angle Head Retainer Clip,"Columbia, retainer clip, AH8, angle head parts, spring clip, OEM replacement parts","Columbia Angle Head Retainer Clip - AH8 | OEM Part","Genuine Columbia AH8 OEM spring clip for angle head assemblies. Prevents component shifting and disengagement during professional drywall finishing."
Columbia Taping Tools,AH9,Columbia Angle Head Retainer Clip,"Columbia, retainer clip, AH9, angle head parts, spring clip, OEM replacement parts","Columbia Angle Head Retainer Clip - AH9 | OEM Part","Restore your tool's structural integrity with the Columbia AH9 OEM retainer clip. Exact-fit replacement for Columbia automatic taping systems."
Columbia Taping Tools,AHA,Columbia Anglehead Adaptor,"Columbia, angle head adapter, AHA, one handle system, corner roller adapter, nail spotter adapter","Columbia One Handle Anglehead Adaptor - AHA","Seamlessly switch between corner rollers, nail spotters, and angle heads with the Columbia AHA Adaptor. Machined from U.S. billet aluminum."
Columbia Taping Tools,ANGLEHEADMAINTENANCEKITS,Anglehead Maintenance Kits,"Columbia, angle head repair kit, maintenance kit, ANGLEHEADMAINTENANCEKITS, corner finisher parts, OEM repair kit","Columbia Anglehead Maintenance Kits - ANGLEHEADMAINTENANCEKITS","Keep your corner finishers at peak performance with genuine Columbia Anglehead Maintenance Kits. Exact-fit OEM parts for long-lasting results."
Columbia Taping Tools,AUTOMATICFLATBOXES,Automatic Flat Boxes,"Columbia, automatic flat box, finishing box, spring loaded box, 8FFBA, 10FFBA, 12FFBA, Fat Boy box","Columbia Automatic Assist Flat Finishing Boxes","Columbia Automatic Flat Boxes feature an engaging axle that makes them 50% easier to push. Hand-made from billet aluminum for flawless flat joints."
Columbia Taping Tools,AUTOMATICTAPERMAINTENANCEKITS,Automatic Taper Maintenance Kits,"Columbia, taper repair kit, maintenance kit, AUTOMATICTAPERMAINTENANCEKITS, bazooka parts, OEM repair kit","Columbia Automatic Taper Maintenance Kits | OEM Parts","Restore your Columbia bazooka to original performance with genuine Automatic Taper Maintenance Kits. Exact-fit OEM components for professional reliability."
Columbia Taping Tools,BF,Columbia Box Filler,"Columbia, box filler, pump attachment, BF, TBBF, flat box filler, loading pump parts","Columbia Aluminum & Stainless Box Filler Attachment - BF","Tough and effective Columbia Box Filler for filling flat boxes, nail spotters, and corner boxes. Compatible with regular and Tallboy loading pumps."
Columbia Taping Tools,BH06,Columbia Box Handle Hinge Pin (180 Grip),"Columbia, hinge pin, box handle parts, BH06, pivot pin, 180 grip parts, OEM replacement","Columbia Box Handle Hinge Pin (180 Grip) - BH06","Genuine Columbia BH06 OEM hinge pin for 180-grip box handles. Maintains precise pivoting alignment to ensure even joint compound application."
Columbia Taping Tools,BH07,Columbia Box Handle Cam Follower,"Columbia, cam follower, box handle parts, BH07, drive mechanism, 180 grip parts, OEM replacement","Columbia Box Handle Cam Follower - BH07 | OEM Part","Precision Columbia BH07 OEM cam follower for box handle actuation systems. Restores motion accuracy for consistent joint compound output."
Columbia Taping Tools,BH1,Columbia Mounting Plate (180 Grip),"Columbia, mounting plate, box handle parts, BH1, 180 grip parts, structural bracket, OEM replacement","Columbia Box Handle Mounting Plate (180 Grip) - BH1","Genuine Columbia BH1 OEM structural mounting plate for 180-grip handles. Essential for maintaining dimensional accuracy and structural integrity."
Columbia Taping Tools,BH2,Columbia Box Handle Plate (180 Grip),"Columbia, handle plate, box handle parts, BH2, 180 grip parts, structural bracket, OEM replacement","Columbia Box Handle Plate (180 Grip) - BH2 | OEM Part","Restore your handle's load path with the Columbia BH2 OEM structural plate. Designed specifically for Columbia 180-grip automatic taping systems."
Columbia Taping Tools,BH4,Columbia Lower Brake Lever,"Columbia, brake lever, box handle parts, BH4, lower brake lever, OEM replacement parts","Columbia Lower Brake Lever Replacement - BH4","Genuine Columbia BH4 OEM lower brake lever. Exact-fit component ensures proper braking operation for Columbia finishing box handles."
Columbia Taping Tools,BH5,Columbia Upper Mounting Bracket (180 Grip),"Columbia, mounting bracket, box handle parts, BH5, 180 grip parts, structural bracket, OEM replacement","Columbia Upper Mounting Bracket (180 Grip) - BH5","Genuine Columbia BH5 OEM upper mounting bracket for 180-grip handles. Maintains structural integrity and correct fitment for professional results."
Columbia Taping Tools,C1H,Columbia 4' Extendable One Handle,"Columbia, extendable handle, one handle system, C1H, corner roller handle, nail spotter handle","Columbia 4' Extendable One Handle System - C1H","The Columbia C1H One Handle works universally with nail spotters, angle heads, and rollers. A versatile, lightweight solution for all your finishing tools."
Columbia Taping Tools,C1HEXT,Columbia 3'-5' Extendable One Handle,"Columbia, extendable handle, one handle system, C1HEXT, telescopic handle, corner tool handle","Columbia 3'-5' Extendable One Handle System - C1HEXT","Universal Columbia C1HEXT telescopic handle for all finishing tools. Adjusts from 3' to 5' to lighten your load while maintaining full control."
Columbia Taping Tools,C1HS,Columbia One – C1HS,"Columbia, extension handle, one handle system, C1HS, automatic taping parts, OEM replacement","Columbia One Extension Handle - C1HS | OEM Replacement","Genuine Columbia C1HS extension handle. Designed for use with Columbia automatic taping and finishing tools to extend reach on flat and corner jobs."
Columbia Taping Tools,CBNCR,Columbia Outside Bullnose Corner Roller,"Columbia, bullnose roller, outside corner roller, CBNCR, corner bead tool, 1.750 bullnose","Columbia Outside Bullnose Corner Roller - CBNCR","Speed up bullnose bead setting with the Columbia CBNCR Outside Corner Roller. Hand-made from aluminum and steel for 1.750"" bullnose profiles."
Columbia Taping Tools,CC,Columbia Corner Cobra Adjustable Roller,"Columbia, corner cobra, adjustable roller, CC, inside corner roller, outside corner roller, no-coat roller","Columbia Corner Cobra Adjustable Corner Roller - CC","The patented Columbia Corner Cobra works on inside and outside angles from 85 to 180 degrees. Perfect for setting No-Coat and structural beads faster."
Columbia Taping Tools,CEXT90,Columbia External 90 Mud Applicator,"Columbia, mud applicator, outside corner tool, CEXT90, corner bead applicator, billet aluminum","Columbia External 90° Mud Applicator - CEXT90","Machined from solid billet aluminum, the Columbia CEXT90 applies three consistent layers of mud to outside corner beads for accurate installation."
Columbia Taping Tools,CF1B,Columbia Direct Plate - Flusher,"Columbia, flusher plate, structural bracket, CF1B, corner flusher parts, OEM replacement","Columbia Direct Plate for Corner Flushers - CF1B","Genuine Columbia CF1B OEM structural plate for corner flushers. Essential for maintaining mounting reference and load path integrity."
Columbia Taping Tools,CF4L,Columbia Ball Spring Long Flusher,"Columbia, flusher spring, tension spring, CF4L, corner flusher parts, ball spring, OEM replacement","Columbia Ball Spring Long for Flushers - CF4L","Restore consistent tension to your corner flusher with the Columbia CF4L OEM ball spring. Prevents inconsistent operation and compound issues."
Columbia Taping Tools,CFB15,Columbia Door Hinge,"Columbia, door hinge, box parts, CFB15, angle box hinge, OEM replacement parts","Columbia Corner Box Door Hinge Replacement - CFB15","Genuine Columbia CFB15 OEM door hinge. Exact-fit replacement ensures proper door operation for Columbia automatic taping and finishing systems."
Columbia Taping Tools,CFB16,Columbia Nylatron Bushing,"Columbia, nylatron bushing, precision bushing, CFB16, box parts, flusher parts, OEM replacement","Columbia Precision Nylatron Bushing - CFB16","Genuine Columbia CFB16 OEM Nylatron bushing. Reduces rotational friction and maintains bore alignment in Columbia automatic taping assemblies."
Columbia Taping Tools,CFB1A,Columbia Hinge Seal,"Columbia, hinge seal, wiper seal, CFB1A, box parts, corner flusher parts, OEM replacement","Columbia Hinge Seal Replacement - CFB1A | OEM Part","Genuine Columbia CFB1A OEM sealing component. Prevents joint compound migration and protects internal mechanisms from corrosion and contamination."
Columbia Taping Tools,CFB28,"Columbia 8"" Roll Face","Columbia, roll face, 8 inch angle box parts, CFB28, corner box parts, OEM replacement","Columbia 8"" Corner Box Roll Face - CFB28 | OEM Part","Genuine Columbia CFB28 OEM 8-inch roll face. Exact-fit replacement component restores original performance to your Columbia corner finishing tools."
Columbia Taping Tools,CFB47,"Columbia 7"" Pressure Door","Columbia, pressure door, 7 inch flat box parts, CFB47, finishing box parts, OEM replacement","Columbia 7"" Finishing Box Pressure Door - CFB47","Genuine Columbia CFB47 OEM 7-inch pressure door. Restores proper operation and mud pressure to your Columbia automatic flat finishing boxes."
Columbia Taping Tools,CFB48,"Columbia 8"" Pressure Door","Columbia, pressure door, 8 inch flat box parts, CFB48, finishing box parts, OEM replacement","Columbia 8"" Finishing Box Pressure Door - CFB48","Genuine Columbia CFB48 OEM 8-inch pressure door. Exact-fit replacement for Columbia automatic taping and drywall finishing systems."
Columbia Taping Tools,CFB6,Columbia Mud Supply Valve Unit,"Columbia, supply valve, mud valve, CFB6, box parts, control valve, OEM replacement","Columbia Mud Supply Valve Unit - CFB6 | OEM Part","Genuine Columbia CFB6 OEM control valve. Ensures consistent compound flow and prevents over-application or internal tool contamination."
Columbia Taping Tools,CFB77,"Columbia 7"" Angle Box Door Gasket","Columbia, door gasket, 7 inch angle box parts, CFB77, wiper seal, OEM replacement","Columbia 7"" Angle Box Door Gasket - CFB77 | OEM Part","Genuine Columbia CFB77 OEM sealing gasket for 7-inch angle boxes. Prevents compound bypass and protects internal components from wear."
Columbia Taping Tools,CFB78,"Columbia 8"" Door Gasket for Angle Box","Columbia, door gasket, 8 inch angle box parts, CFB78, wiper seal, OEM replacement","Columbia 8"" Angle Box Door Gasket - CFB78 | OEM Part","Genuine Columbia CFB78 OEM sealing gasket for 8-inch angle boxes. Maintains a clean tool interior and ensures consistent compound pressure."
Columbia Taping Tools,CFB8,Columbia Handle Mount Casting,"Columbia, handle mount, casting, CFB8, box parts, mechanical linkage, OEM replacement","Columbia Handle Mount Casting Replacement - CFB8","Genuine Columbia CFB8 OEM handle mount casting. Provides the critical mechanical linkage for controlled compound pressure and application angle."
Columbia Taping Tools,CFB8A,Columbia ONE Angle Box Door Adaptor,"Columbia, angle box adapter, one handle system, CFB8A, door adapter, OEM replacement","Columbia One Angle Box Door Adaptor - CFB8A","Genuine Columbia CFB8A OEM door adaptor for the One Handle system. Ensures proper tool operation and compatibility with Columbia corner boxes."
Columbia Taping Tools,CFLT,Columbia Flat Applicator,"Columbia, flat applicator, mud head, CFLT, billet applicator, drywall finishing","Columbia Billet Flat Applicator Head - CFLT","Machined from solid billet aluminum with stainless runners, the Columbia CFLT glides along walls leaving the perfect amount of compound on flat surfaces."
Columbia Taping Tools,CHXL,Columbia 4-8' Long Extendible Handle,"Columbia, extendable handle, long handle, CHXL, telescopic handle, REACHLINE, 4-8 foot handle","Columbia 4-8' REACHLINE Long Extendible Handle - CHXL","The lightest and strongest 4-8' extendable handle on the market. Columbia CHXL features a hard-anodized tube and comfort grips for all-day use."
Columbia Taping Tools,CLOSETMONSTERFLATBOXHANDLE,Closet Monster Flat Box Handle,"Columbia, flat box handle, short handle, CLOSETMONSTER, 19 inch handle, closet tool","Columbia Closet Monster 19"" Flat Box Handle","The 19-inch Columbia Closet Monster is perfect for tight areas like closets. Lightweight, strong billet aluminum design with an adjustable head angle."
Columbia Taping Tools,CLT,Cam Lock Tube,"Columbia, cam lock tube, compound tube, CLT, fast set tube, hot mud tube","Columbia Cam Lock Compound Tube - CLT Series","The industry standard for fast-set compounds. Columbia Cam Lock Tubes feature brass cams and a stainless ring for a positive, leak-proof connection."
Columbia Taping Tools,CLTBF,Columbia Compound Tube Box Filler,"Columbia, box filler, compound tube parts, CLTBF, cam lock filler, mud tube adapter","Columbia Cam Lock Tube Box Filler Attachment - CLTBF","Easily fill flat finishing boxes without a pump using the Columbia CLTBF. Attaches directly to the head of Columbia Cam Lock Compound Tubes."
Columbia Taping Tools,CLTHA,Columbia Tomalock,"Columbia, tomalock, smoothing blade adapter, CLTHA, tomahawk adapter, one handle adapter","Columbia Tomalock Smoothing Blade Adapter - CLTHA","Billet-machined Columbia Tomalock adapter allows the One Handle system to work with Tomahawk Smoothing Blades. No plastic parts for maximum stability."
Columbia Taping Tools,CMH,"Columbia 18"" Closet Monster Flat Box Handle","Columbia, flat box handle, short handle, CMH, 18 inch handle, closet monster","Columbia 18"" Closet Monster Flat Box Handle - CMH","The 18-inch Columbia CMH Closet Monster is the strongest and lightest short handle available. Ideal for boxing tight spaces and small rooms."
Columbia Taping Tools,CMT,Compound Tubes,"Columbia, compound tube, mud tube, CMT, syringe, drywall applicator","Columbia Professional Compound Mud Tubes - CMT Series","High-quality, long-lasting Columbia CMT tubes are engineered for effortless compound application. Features a stainless steel ball and easy-push design."
Columbia Taping Tools,COBCR,Columbia Outside Corner Roller,"Columbia, outside corner roller, standard roller, COBCR, corner bead tool, 1.750 standard","Columbia Standard Outside Corner Roller - COBCR","Speed up your corner bead installation with the Columbia COBCR. Features a 1.750"" standard profile, hand-made from aluminum and steel components."
Columbia Taping Tools,COBCRE,European/Micro Outside Corner Roller,"Columbia, outside corner roller, micro roller, COBCRE, european roller, 1.170 micro","Columbia European/Micro Outside Corner Roller - COBCRE","The Columbia COBCRE features a 1.170"" micro profile for specialized outside corner work. Hand-made and machined in Canada for professional results."
Columbia Taping Tools,COBCRW,Columbia Wide Outside Corner Roller,"Columbia, outside corner roller, wide roller, COBCRW, corner bead tool, 1.930 wide","Columbia Wide Outside Corner Roller - COBCRW","The Columbia COBCRW provides a 1.930"" wide profile for faster tape-on bead setting. Hand-made with premium U.S. aluminum and steel components."
Columbia Taping Tools,COL-AH,Columbia Anglehead,"Columbia, angle head, corner finisher, 2AH, 25AH, 3AH, 35AH, billet aluminum","Columbia Professional Billet Anglehead - COL-AH Series","The pinnacle of corner finishing. Columbia Angleheads (2""-3.5"") run ""like ice"" to deliver a paint-ready finish in a single pass. Billet aluminum build."
Columbia Taping Tools,25AH,"Columbia 2.5"" Anglehead","Columbia, 2.5 inch angle head, corner finisher, 25AH, internal corner tool, billet aluminum","Columbia 2.5"" Professional Billet Anglehead - 25AH","Hand-made 2.5"" Columbia Anglehead for flawless internal corner finishing. Machined from billet aluminum for extreme durability and zero-drag operation."
Columbia Taping Tools,2AH,"Columbia 2"" Anglehead","Columbia, 2 inch angle head, corner finisher, 2AH, internal corner tool, billet aluminum","Columbia 2"" Professional Billet Anglehead - 2AH","Hand-made 2"" Columbia Anglehead for precision corner wiping. Billet aluminum construction ensures long-term job site reliability and a paint-ready finish."
Columbia Taping Tools,35AH,"Columbia 3.5"" Anglehead","Columbia, 3.5 inch angle head, corner finisher, 35AH, internal corner tool, billet aluminum","Columbia 3.5"" Professional Billet Anglehead - 35AH","The widest Columbia Anglehead at 3.5"". Delivers a smooth, feathered finish on internal corners. Machined in Canada from premium U.S. materials."
Columbia Taping Tools,3AH,"Columbia 3"" Anglehead","Columbia, 3 inch angle head, corner finisher, 3AH, internal corner tool, billet aluminum","Columbia 3"" Professional Billet Anglehead - 3AH","Columbia 3"" Anglehead engineered for zero-drag performance. Ideal for wiping behind rollers or skimming with a corner box. Hand-made Canadian precision."
Columbia Taping Tools,COL-AHBLADE,Columbia Angle Head Carbide Blade,"Columbia, angle head blade, carbide blade, AH32, AH325, AH33, AH335, replacement blade","Columbia Carbide Angle Head Replacement Blade","Premium carbide replacement blades for Columbia Angleheads (2""-3.5""). Restores factory-level precision and wear resistance for a sharp feathering edge."
Columbia Taping Tools,AH32,"Columbia 2"" Angle Head Carbide Blade","Columbia, 2 inch angle head blade, carbide blade, AH32, replacement blade, corner finisher parts","Columbia 2"" Angle Head Carbide Blade - AH32","Restore your 2"" Columbia Anglehead with the AH32 Carbide Blade. Engineered for extreme wear resistance and a sharp, paint-ready corner finish."
Columbia Taping Tools,AH325,"Columbia 2.5"" Angle Head Carbide Blade","Columbia, 2.5 inch angle head blade, carbide blade, AH325, replacement blade, corner finisher parts","Columbia 2.5"" Angle Head Carbide Blade - AH325","High-grade carbide replacement blade for 2.5"" Columbia Angleheads. Delivers a clean, sharp cut for professional-grade internal corner finishing."
Columbia Taping Tools,AH33,"Columbia 3"" Angle Head Carbide Blade","Columbia, 3 inch angle head blade, carbide blade, AH33, replacement blade, corner finisher parts","Columbia 3"" Angle Head Carbide Blade - AH33","OEM 3"" Carbide Blade for Columbia Angleheads. Designed for longevity and consistent performance in high-volume drywall finishing environments."
Columbia Taping Tools,AH335,"Columbia 3.5"" Angle Head Carbide Blade","Columbia, 3.5 inch angle head blade, carbide blade, AH335, replacement blade, corner finisher parts","Columbia 3.5"" Angle Head Carbide Blade - AH335","Premium 3.5"" Carbide replacement blade for genuine Columbia Angleheads. Restores precision feathering edges for professional results."
Columbia Taping Tools,COL-AHRBK,Columbia Anglehead Blade Maintenance Kit,"Columbia, angle head repair kit, maintenance kit, AHRBK2, AHRBK25, AHRBK3, AHRBK35, OEM repair kit","Columbia Anglehead Blade Maintenance Kit - COL-AHRBK","Complete OEM refresh kits for Columbia Angleheads (2""-3.5""). Includes all parts necessary to rebuild the blade assembly and restore factory performance."
Columbia Taping Tools,AHRBK2,"Columbia 2"" Anglehead Blade Maintenance Kit","Columbia, 2 inch angle head repair kit, maintenance kit, AHRBK2, corner finisher parts, OEM repair kit","Columbia 2"" Anglehead Blade Maintenance Kit - AHRBK2","Restore your 2"" Columbia Anglehead with the AHRBK2 OEM maintenance kit. Simplifies routine service to ensure a precise fit and paint-ready results."
Columbia Taping Tools,AHRBK25,"Columbia 2.5"" Anglehead Blade Maintenance Kit","Columbia, 2.5 inch angle head repair kit, maintenance kit, AHRBK25, corner finisher parts, OEM repair kit","Columbia 2.5"" Anglehead Blade Maintenance Kit - AHRBK25","Genuine Columbia OEM repair kit for 2.5"" angle heads. Restores precision feathering and extends tool life with high-quality replacement components."
Columbia Taping Tools,AHRBK3,"Columbia 3"" Anglehead Blade Maintenance Kit","Columbia, 3 inch angle head repair kit, maintenance kit, AHRBK3, corner finisher parts, OEM repair kit","Columbia 3"" Anglehead Blade Maintenance Kit - AHRBK3","Complete blade assembly refresh for 3"" Columbia Angleheads. Use genuine OEM parts to maintain peak performance and professional corner profiles."
Columbia Taping Tools,AHRBK35,"Columbia 3.5"" Anglehead Blade Maintenance Kit","Columbia, 3.5 inch angle head repair kit, maintenance kit, AHRBK35, corner finisher parts, OEM repair kit","Columbia 3.5"" Anglehead Blade Maintenance Kit - AHRBK35","Ensure professional corner results with the AHRBK35 maintenance kit for 3.5"" Columbia Angleheads. Includes all necessary OEM parts for a full rebuild."
Columbia Taping Tools,COL-AHSPRING,Columbia Angle Head Frame Tension Spring,"Columbia, angle head spring, tension spring, AH72, AH725, AH73, AH735, corner finisher parts","Columbia Angle Head Frame Tension Spring - COL-AHSPRING","Genuine Columbia OEM replacement springs for angle heads (2""-3.5""). Maintains optimal frame pressure for consistent contact and smooth corner feathering."
Columbia Taping Tools,AH72,"Columbia 2"" Angle Head Frame Tension Spring","Columbia, 2 inch angle head spring, tension spring, AH72, corner finisher parts, OEM replacement","Columbia 2"" Angle Head Frame Tension Spring - AH72","Restore factory performance to your 2"" Columbia Anglehead with the AH72 high-tensile steel spring. Ensures consistent pressure for a flawless finish."
