brand,wc_row_number,wc_type,wc_sku,wc_mpn,wc_parent,wc_name,wc_short_description_empty,wc_description_empty,wc_categories,wc_images_count,reference_match_status,reference_model,reference_name,reference_section,reference_page,reference_source,reference_url,reference_category,part_reference_name,part_reference_price,proposed_name,proposed_short_description,proposed_description,proposed_categories,proposed_images,can_update_name,can_update_short_description,can_update_description,can_update_categories,can_update_images,priority,optimization_reasons,notes
TapeTech,666,simple,17TTE,17TTE,,TapeTech Flex Tape Outside Corner Roller,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,2,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched by exact SKU/MPN; needs manual catalog check,Simple row intentionally not matched by broad product-family/context text
TapeTech,719,simple,240793,240793,,TapeTech CFS 25' Whip Hose,0,0,Drywall Finishing Tools > TapeTech > Continuous Flow System,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,720,simple,24D166,24D166,,TapeTech CFS Z-Swivel Attachment,0,0,Drywall Finishing Tools > TapeTech > Continuous Flow System,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,729,simple,257133,257133,,"CFS 1/2"" x 50' NPT Hose",0,0,Drywall Finishing Tools > TapeTech > Continuous Flow System,2,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,763,simple,400009F,400009F,,"Blade, Carbide, 2""",0,0,Drywall Finishing Tools > TapeTech > Parts,2,matched_by_mpn,400009F,"TapeTech 2"" Carbide Blade",Corner Finishers,22,TapeTech catalog page 22,,,,,"TapeTech 2"" Carbide Blade","TapeTech 2"" Carbide Blade",,,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/400009-2-carbide-blade/tapetech-2-carbide-blade-400009-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/400009-2-carbide-blade/tapetech-2-carbide-blade-400009-02.webp",1,0,0,0,0,update_candidate,official/reference name differs,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,773,variation,40XTT,40XTT,TT-EZCF,"TapeTech EasyRoll® Adjustable Corner Finisher - TapeTech, 2",1,1,,1,matched_by_mpn,40XTT,"TapeTech 2"" Angle Head",Corner Finishers,22,TapeTech catalog page 22,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Corner Finishers > Corner Finisher,,,"TapeTech 2"" Angle Head","TapeTech 2"" Angle Head Drywall Corner Finishing Tool 40XTT",,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Corner Finishers > Corner Finisher,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/17601/17601__1.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/17601/17601__2.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/17601/17601__3.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/17601/17601__4.webp",0,1,0,0,0,update_candidate,short description empty/duplicated and reference short description available,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,774,variation,42TT,42TT,TT-EZCF,"TapeTech EasyRoll® Adjustable Corner Finisher - TapeTech, 2-5",1,1,,1,matched_by_mpn,42TT,"TapeTech 2.5"" Angle Head",Corner Finishers,22,TapeTech catalog page 22,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Corner Finishers > Corner Finisher,,,"TapeTech 2.5"" Angle Head","TapeTech 2.5"" Angle Head 42TT",,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Corner Finishers > Corner Finisher,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/13865/13865__1.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/13865/13865__2.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/13865/13865__3.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/13865/13865__4.webp",0,1,0,0,0,update_candidate,short description empty/duplicated and reference short description available,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,775,variation,48TT,48TT,TT-EZCF,"TapeTech EasyRoll® Adjustable Corner Finisher - TapeTech, 3",1,1,,1,matched_by_mpn,48TT,"TapeTech 3"" EasyRoll® Angle Head",Corner Finishers,23,TapeTech catalog page 23,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Adjustable Corner Finishers > EasyRoll Adjustable Corner Finisher,,,"TapeTech 3"" EasyRoll® Angle Head","TapeTech 3"" EasyRoll® Angle Head Corner Finishing Tool 48TT",,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Adjustable Corner Finishers > EasyRoll Adjustable Corner Finisher,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/17603/17603__1.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/17603/17603__3.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/17603/17603__5.webp",0,1,0,0,0,update_candidate,short description empty/duplicated and reference short description available,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,776,variation,48XTT,48XTT,TT-EZCF,"TapeTech EasyRoll® Adjustable Corner Finisher - TapeTech, 3-5",1,1,,1,matched_by_mpn,48XTT,"TapeTech 3.5"" EasyRoll® Angle Head",Corner Finishers,23,TapeTech catalog page 23,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Adjustable Corner Finishers > EasyRoll Adjustable Corner Finisher,,,"TapeTech 3.5"" EasyRoll® Angle Head","TapeTech 3.5"" EasyRoll® Angle Head Corner Finishing Tool 48XTT",,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Adjustable Corner Finishers > EasyRoll Adjustable Corner Finisher,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/17605/17605__1.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/17605/17605__2.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/17605/17605__3.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/17605/17605__4.webp",0,1,0,0,0,update_candidate,short description empty/duplicated and reference short description available,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,777,simple,420009,420009,,"Blade, Carbide, 2.5"" C.F.",0,0,Drywall Finishing Tools > TapeTech > Parts,2,matched_by_mpn,420009,"TapeTech Blade, Carbide, 2.5"" CF",Corner Finishers,22,TapeTech catalog page 22,,,,,"TapeTech Blade, Carbide, 2.5"" CF","TapeTech Blade, Carbide, 2.5"" CF",,,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/420009-blade-carbide-2-5in-cf/tapetech-blade-carbide-2-5in-cf-420009-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/420009-blade-carbide-2-5in-cf/tapetech-blade-carbide-2-5in-cf-420009-02.webp",1,0,0,0,0,update_candidate,official/reference name differs,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,782,simple,450009F,450009F,,"Blade, Carbide, 3"" C.F.",0,0,Drywall Finishing Tools > TapeTech > Parts,2,matched_by_mpn,450009F,"TapeTech 3"" Carbide Blade",Corner Finishers,22,TapeTech catalog page 22,,,,,"TapeTech 3"" Carbide Blade","TapeTech 3"" Carbide Blade",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/cornerfinisher-blade-450009/tapetech-blade-450009-cornerfinisher-01.webp,1,0,0,0,0,update_candidate,official/reference name differs,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,807,simple,501A,501A,,TapeTech Taper Repair Kit,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,810,simple,501C12,501C12,,"TapeTech 12"" Flat Box Repair Kit 501C12",0,0,Drywall Finishing Tools > TapeTech > Finishing Boxes,4,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,816,simple,501F4A,501F4A,,"TapeTech 3"" EasyRoll Angle Head Repair Kit 501F4A",0,0,Drywall Finishing Tools > TapeTech > Parts,4,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,replacement part row not matched to official product catalog; needs manual parts/catalog check,Simple row intentionally not matched by broad product-family/context text
TapeTech,817,simple,501F4AX,501F4AX,,"TapeTech 3.5"" Angle Head Repair Kit 501F4AX",0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,4,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,824,simple,502A,502A,,TapeTech Taper Repair Kit,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,829,simple,502F4,502F4,,"TapeTech 3"" EasyRoll Angle Head Blade Kit 502F4",0,0,Drywall Finishing Tools > TapeTech > Parts,4,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,replacement part row not matched to official product catalog; needs manual parts/catalog check,Simple row intentionally not matched by broad product-family/context text
TapeTech,833,simple,506009,506009,,"Cone, Stainless Steel",0,0,Drywall Finishing Tools > TapeTech > Parts,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,replacement part row not matched to official product catalog; needs manual parts/catalog check,Simple row intentionally not matched by broad product-family/context text
TapeTech,837,simple,57355,57355,,Taper Tube Cleaning Brush,0,0,Drywall Finishing Tools > TapeTech > Cleaning & Maintenance,5,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,838,simple,57356,57356,,Pump Tube Cleaning Brush,0,0,Drywall Finishing Tools > TapeTech > Cleaning & Maintenance,4,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,857,simple,632026,632026,,"Spring, Nail Spotters, Low Force",0,0,Drywall Finishing Tools > TapeTech > Parts,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,replacement part row not matched to official product catalog; needs manual parts/catalog check,Simple row intentionally not matched by broad product-family/context text
TapeTech,859,simple,638001,638001,,"2"" Easyclean Nail Spotter Body, No-Logo",0,0,Drywall Finishing Tools > TapeTech > Parts,2,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,replacement part row not matched to official product catalog; needs manual parts/catalog check,Simple row intentionally not matched by broad product-family/context text
TapeTech,872,simple,688001,688001,,"3"" Easyclean Nail Spotter Body, No-Logo",0,0,Drywall Finishing Tools > TapeTech > Parts,2,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,replacement part row not matched to official product catalog; needs manual parts/catalog check,Simple row intentionally not matched by broad product-family/context text
TapeTech,900,simple,76TT,76TT,,TapeTech EasyClean® Loading Pump,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,12,matched_by_mpn,76TT,TapeTech EasyClean® Loading Pump,Loading Pumps,13,TapeTech catalog page 13,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Loading Pumps > EasyClean Pump,,,TapeTech EasyClean® Loading Pump,TapeTech EasyClean® Loading Pump 76TT,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Loading Pumps > EasyClean Pump,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/7638/7638_TapeTech76TT_001.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/7638/7638_TapeTech76TT_002.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/7638/7638_TapeTech76TT_005.webp",0,0,0,1,0,update_candidate,category can be refined to official mapping hierarchy,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,901,simple,76TT-CA,76TT-CA,,TapeTech EasyClean® Loading Pump for Canada,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,13,matched_by_mpn,76TT-CA,TapeTech EasyClean® Loading Pump 76TT-CA,Loading Pumps,13,TapeTech catalog page 13,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Loading Pumps > EasyClean Pump,,,TapeTech EasyClean® Loading Pump 76TT-CA,TapeTech EasyClean® Loading Pump 76TT-CA (Canada Only) Fills automatic drywall tools with joint compound through optional Gooseneck and Box Filler Fitting.,"TapeTech EasyClean® Loading Pump 76TT-CA (Canada Only) Fills automatic drywall tools with joint compound through optional Gooseneck and Box Filler Fitting. The TapeTech Taping Tools Pump works with all major brand attachments and automatic taping and finishing tools. This pump features an Easy Clean® quick release foot valve has a twist-lock design for removal without tools. New integrated gasket design provides a better seal and makes disposable paper gaskets obsolete. The new streamlined head design makes cylinder removal and cleaning a breeze. Specially designed to increase suction, the anodized tube is also light and durable. Requires Box Filler and/or Gooseneck for filling tools (sold separately). Features: Easy Clean® Quick Release Integrated Gasket Design. Easy Clean Up Quick Release Handle Pin Designed To Increase Suction. Anodized Tube For Durability. 15.5"" Length - Canada Only",Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Loading Pumps > EasyClean Pump,"https://www.shopamestools.com/Item_Images_AMES/14844_media_1.jpg, https://www.shopamestools.com/Item_Images_AMES/14844_media_2.jpg",1,0,0,1,0,update_candidate,official/reference name differs; category can be refined to official mapping hierarchy,
TapeTech,902,simple,76XLTT,76XLTT,,TapeTech Extra Long EasyClean® Loading Pump,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,6,matched_by_mpn,76XLTT,TapeTech Extra Long EasyClean Loading Pump,Loading Pumps,13,TapeTech catalog page 13,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Loading Pumps > Extra Long EasyClean Pump,,,TapeTech Extra Long EasyClean Loading Pump,TapeTech Extra Long EasyClean Loading Pump 76XLTT,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Loading Pumps > Extra Long EasyClean Pump,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14476/14476__1.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14476/14476__2.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14476/14476__3.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14476/14476__4.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14476/14476__5.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14476/14476__6.webp",0,0,0,1,0,update_candidate,category can be refined to official mapping hierarchy,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,927,simple,857355,857355,,Gooseneck Cleaning Brush,0,0,Drywall Finishing Tools > TapeTech > Cleaning & Maintenance,3,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched by exact SKU/MPN; needs manual catalog check,Simple row intentionally not matched by broad product-family/context text
TapeTech,928,simple,85T,85T,,TapeTech Gooseneck Adapter,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,4,matched_by_mpn,85T,TapeTech Gooseneck,Loading Pumps,13,TapeTech catalog page 13,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Loading Pumps > Gooseneck,,,TapeTech Gooseneck,TapeTech Gooseneck,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Loading Pumps > Gooseneck,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12197/12197_TapeTechGooseneck_001.webp,1,0,0,1,0,update_candidate,official/reference name differs; category can be refined to official mapping hierarchy,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,929,simple,85XLTT,85XLTT,,TapeTech Extra Long Gooseneck Adapter,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,3,matched_by_mpn,85XLTT,TapeTech Extra Long Gooseneck for 76XLTT Pump,Loading Pumps,13,TapeTech catalog page 13,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Loading Pumps > Gooseneck,,,TapeTech Extra Long Gooseneck for 76XLTT Pump,TapeTech XL Gooseneck for 76XLTT Pump,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Loading Pumps > Gooseneck,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14477/14477__1.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14477/14477__2.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14477/14477__3.webp",1,0,0,1,0,update_candidate,official/reference name differs; category can be refined to official mapping hierarchy,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,930,simple,861014,861014,,Gooseneck Spacer,0,0,Drywall Finishing Tools > TapeTech > Parts,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,replacement part row not matched to official product catalog; needs manual parts/catalog check,Simple row intentionally not matched by broad product-family/context text
TapeTech,949,variable,CAVH-TT,CAVH-TT,,TapeTech Cove Applicator Head,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,0,matched_by_family_name,"CH55TT, CH75TT, CH83TT, CH90TT",Cove Applicator Head,Applicator Heads,17,TapeTech catalog page 17,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Applicator Heads > Cove Applicator Head,,,,,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Applicator Heads > Cove Applicator Head,,0,0,0,1,0,update_candidate,category can be refined to official mapping hierarchy,"reference match is family/context level, not an exact SKU/MPN row match"
TapeTech,956,simple,90T,90T,,TapeTech Filler Adapter,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,6,matched_by_mpn,90T,TapeTech Box Filler,Loading Pumps,13,TapeTech catalog page 13,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Loading Pumps > Filler Adapter,,,TapeTech Box Filler,TapeTech Box Filler 90TT,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Loading Pumps > Filler Adapter,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12391/12391__1.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12391/12391__2.webp",1,0,0,1,0,update_candidate,official/reference name differs; category can be refined to official mapping hierarchy,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
