brand,official_sku,normalized_sku,product_name,alternate_names,section,catalog_item_type,launch_candidate,source_pdf,source_pdf_pages,source_catalog_pages,source_item_nos,source_lines,extraction_methods,source_validation,price,price_source,notes,normalized_match_key,unmatched_reason
TapeTech,76TT-CA,76TT-CA,EasyClean Pump,,Pumps,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,76TT-CA,76TT - EasyClean® Pump 76XLTT - Extra Long EasyClean® Pump 76TT-CA - EasyClean® Pump,pdf_text,sku_found_in_pdf_text,,,,TapeTech:76TTCA,No matching TSWFast row by brand and normalized SKU
TapeTech,76XLTT,76XLTT,Extra Long EasyClean Pump,,Pumps,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,76XLTT,76TT - EasyClean® Pump 76XLTT - Extra Long EasyClean® Pump 76TT-CA - EasyClean® Pump,pdf_text,sku_found_in_pdf_text,,,,TapeTech:76XLTT,No matching TSWFast row by brand and normalized SKU
TapeTech,85T,85T,Gooseneck,,Pumps,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,85T & 85XLTT,85T & 85XLTT - Gooseneck 90T - Filler Adapter GSR-TT - Gooseneck Riser,pdf_text,sku_found_in_pdf_text,,,,TapeTech:85T,No matching TSWFast row by brand and normalized SKU
TapeTech,90T,90T,Filler Adapter,,Pumps,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,90T,85T & 85XLTT - Gooseneck 90T - Filler Adapter GSR-TT - Gooseneck Riser,pdf_text,sku_found_in_pdf_text,,,,TapeTech:90T,No matching TSWFast row by brand and normalized SKU
TapeTech,03TT,03TT,EasyClean Automatic Mini-Taper,,Tapers,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,7,15,03TT,03TT - EasyClean® Automatic Mini-Taper ATX01TT - Automatic Taper Extension,pdf_text,sku_found_in_pdf_text,,,,TapeTech:03TT,No matching TSWFast row by brand and normalized SKU
TapeTech,ATX01TT,ATX01TT,Automatic Taper Extension,,Tapers,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,7,15,ATX01TT,03TT - EasyClean® Automatic Mini-Taper ATX01TT - Automatic Taper Extension,pdf_text,sku_found_in_pdf_text,,,,TapeTech:ATX01TT,No matching TSWFast row by brand and normalized SKU
TapeTech,15TTE,15TTE,Inside Corner Roller,,Corner Rollers,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,8,16,15TTE,15TTE - Inside Corner Roller 17TT - Outside Corner Roller 17TTE - Outside Corner Roller,pdf_text,sku_found_in_pdf_text,,,,TapeTech:15TTE,No matching TSWFast row by brand and normalized SKU
TapeTech,16TT90,16TT90,Inside Corner,,Applicator Heads,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,9,17,16TT90,accelerate installation of paper-faced corner bead for external (outside) drywall corners. Attach the 16TT90 Applicator Head to a Corner Applicator (CA07TT or,pdf_text,sku_found_in_pdf_text,,,,TapeTech:16TT90,No matching TSWFast row by brand and normalized SKU
TapeTech,CH55TT,CH55TT,Cove Applicator Head,,Applicator Heads,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,9,17,CH55TT,CH55TT - Cove Applicator Head CH75TT - Cove Applicator Head,pdf_text,sku_found_in_pdf_text,,,,TapeTech:CH55TT,No matching TSWFast row by brand and normalized SKU
TapeTech,CH75TT,CH75TT,Cove Applicator Head,,Applicator Heads,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,9,17,CH75TT,CH55TT - Cove Applicator Head CH75TT - Cove Applicator Head,pdf_text,sku_found_in_pdf_text,,,,TapeTech:CH75TT,No matching TSWFast row by brand and normalized SKU
TapeTech,CH83TT,CH83TT,Cove Applicator Head,,Applicator Heads,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,9,17,CH83TT,CH83TT - Cove Applicator Head CH90TT - Cove Applicator Head,pdf_text,sku_found_in_pdf_text,,,,TapeTech:CH83TT,No matching TSWFast row by brand and normalized SKU
TapeTech,CH90TT,CH90TT,Cove Applicator Head,,Applicator Heads,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,9,17,CH90TT,CH83TT - Cove Applicator Head CH90TT - Cove Applicator Head,pdf_text,sku_found_in_pdf_text,,,,TapeTech:CH90TT,No matching TSWFast row by brand and normalized SKU
TapeTech,NS02TT,NS02TT,"2"" Nail Spotter",,Nail Spotters,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,10,18,NS02TT,"NS02TT - 2"" Nail Spotter NS03TT - 3"" Nail Spotter NSW01 - Nailspotter Wheel Kit",pdf_text,sku_found_in_pdf_text,,,,TapeTech:NS02TT,No matching TSWFast row by brand and normalized SKU
TapeTech,NS03TT,NS03TT,"3"" Nail Spotter",,Nail Spotters,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,10,18,NS03TT,"NS02TT - 2"" Nail Spotter NS03TT - 3"" Nail Spotter NSW01 - Nailspotter Wheel Kit",pdf_text,sku_found_in_pdf_text,,,,TapeTech:NS03TT,No matching TSWFast row by brand and normalized SKU
TapeTech,NSW01,NSW01,Nailspotter Wheel Kit,,Nail Spotters,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,10,18,NSW01,"NS02TT - 2"" Nail Spotter NS03TT - 3"" Nail Spotter NSW01 - Nailspotter Wheel Kit",pdf_text,sku_found_in_pdf_text,,,,TapeTech:NSW01,No matching TSWFast row by brand and normalized SKU
TapeTech,MRX01TT,MRX01TT,Extension,,MudRunner Pro,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,13,21,MRX01TT,add the MRX01TT MudRunner extension (sold separately).,pdf_text,sku_found_in_pdf_text,,,,TapeTech:MRX01TT,No matching TSWFast row by brand and normalized SKU
TapeTech,48XTT,48XTT,"3.5"" EasyRoll Adjustable Corner Finisher",,Corner Finishers,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,15,23,48XTT,"48TT - 3"" EasyRoll® Adjustable Corner Finisher 48XTT - 3 ½"" EasyRoll® Adjustable Corner Finisher",pdf_text,sku_found_in_pdf_text,,,,TapeTech:48XTT,No matching TSWFast row by brand and normalized SKU
TapeTech,EZ07TT,EZ07TT,"7"" EasyClean Box",,EasyClean Boxes,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,17,25,EZ07TT,"EZ07TT - 7"" EasyClean® Box EZ10TT - 10"" EasyClean® Box",pdf_text,sku_found_in_pdf_text,,,,TapeTech:EZ07TT,No matching TSWFast row by brand and normalized SKU
TapeTech,EZ10TT,EZ10TT,"10"" EasyClean Box",,EasyClean Boxes,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,17,25,EZ10TT,"EZ07TT - 7"" EasyClean® Box EZ10TT - 10"" EasyClean® Box",pdf_text,sku_found_in_pdf_text,,,,TapeTech:EZ10TT,No matching TSWFast row by brand and normalized SKU
TapeTech,EZ12TT,EZ12TT,"12"" EasyClean Box",,EasyClean Boxes,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,17,25,EZ12TT,"EZ12TT - 12"" EasyClean® Box EZ15TT - 15"" EasyClean® Box",pdf_text,sku_found_in_pdf_text,,,,TapeTech:EZ12TT,No matching TSWFast row by brand and normalized SKU
TapeTech,EZ15TT,EZ15TT,"15"" EasyClean Box",,EasyClean Boxes,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,17,25,EZ15TT,"EZ12TT - 12"" EasyClean® Box EZ15TT - 15"" EasyClean® Box",pdf_text,sku_found_in_pdf_text,,,,TapeTech:EZ15TT,No matching TSWFast row by brand and normalized SKU
TapeTech,EHC07,EHC07,"7"" MaxxBox High Capacity Box",,MaxxBox High Capacity Boxes,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,19,27,EHC07,"EHC07 - 7"" MaxxBox® High Capacity Box EHC10 - 10"" MaxxBox® High Capacity Box EHC12 - 12"" MaxxBox® High Capacity Box",pdf_text,sku_found_in_pdf_text,,,,TapeTech:EHC07,No matching TSWFast row by brand and normalized SKU
TapeTech,EHC10,EHC10,"10"" MaxxBox High Capacity Box",,MaxxBox High Capacity Boxes,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,19,27,EHC10,"EHC07 - 7"" MaxxBox® High Capacity Box EHC10 - 10"" MaxxBox® High Capacity Box EHC12 - 12"" MaxxBox® High Capacity Box",pdf_text,sku_found_in_pdf_text,,,,TapeTech:EHC10,No matching TSWFast row by brand and normalized SKU
TapeTech,EHC12,EHC12,"12"" MaxxBox High Capacity Box",,MaxxBox High Capacity Boxes,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,19,27,EHC12,"EHC07 - 7"" MaxxBox® High Capacity Box EHC10 - 10"" MaxxBox® High Capacity Box EHC12 - 12"" MaxxBox® High Capacity Box",pdf_text,sku_found_in_pdf_text,,,,TapeTech:EHC12,No matching TSWFast row by brand and normalized SKU
TapeTech,PAHC10,PAHC10,"10"" Power Assist MaxxBox",,Power Assist MaxxBox,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,21,29,PAHC10,"PAHC07 - 7"" Power Assist® MaxxBox® PAHC10 - 10"" Power Assist® MaxxBox® PAHC12 - 12"" Power Assist® MaxxBox®",pdf_text,sku_found_in_pdf_text,,,,TapeTech:PAHC10,No matching TSWFast row by brand and normalized SKU
TapeTech,PAHC12,PAHC12,"12"" Power Assist MaxxBox",,Power Assist MaxxBox,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,21,29,PAHC12,"PAHC07 - 7"" Power Assist® MaxxBox® PAHC10 - 10"" Power Assist® MaxxBox® PAHC12 - 12"" Power Assist® MaxxBox®",pdf_text,sku_found_in_pdf_text,,,,TapeTech:PAHC12,No matching TSWFast row by brand and normalized SKU
TapeTech,FBH2642TT-CF,FBH2642TT-CF,Carbon Fiber Box Handle (extendable),,Carbon Fiber Box Handles,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,23,31,FBH2642TT-CF,FBH2642TT-CF,pdf_text,sku_found_in_pdf_text,,,,TapeTech:FBH2642TTCF,No matching TSWFast row by brand and normalized SKU
TapeTech,FBH4272TT-CF,FBH4272TT-CF,Carbon Fiber Box Handle (extendable),,Carbon Fiber Box Handles,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,23,31,FBH4272TT-CF,FBH4272TT-CF,pdf_text,sku_found_in_pdf_text,,,,TapeTech:FBH4272TTCF,No matching TSWFast row by brand and normalized SKU
TapeTech,8134TT,8134TT,"34"" EasyFinish Handle",,Box Handles,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,24,32,8134TT,"8134TT - 34"" EasyFinish™ Handle 8142TT - 42"" EasyFinish™ Handle 8154TT - 54"" EasyFinish™ Handle 8172TT - 72"" EasyFinish™ Handle",pdf_text,sku_found_in_pdf_text,,,,TapeTech:8134TT,No matching TSWFast row by brand and normalized SKU
TapeTech,8154TT,8154TT,"54"" EasyFinish Handle",,Box Handles,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,24,32,8154TT,"8134TT - 34"" EasyFinish™ Handle 8142TT - 42"" EasyFinish™ Handle 8154TT - 54"" EasyFinish™ Handle 8172TT - 72"" EasyFinish™ Handle",pdf_text,sku_found_in_pdf_text,,,,TapeTech:8154TT,No matching TSWFast row by brand and normalized SKU
TapeTech,8172TT,8172TT,"72"" EasyFinish Handle",,Box Handles,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,24,32,8172TT,"8134TT - 34"" EasyFinish™ Handle 8142TT - 42"" EasyFinish™ Handle 8154TT - 54"" EasyFinish™ Handle 8172TT - 72"" EasyFinish™ Handle",pdf_text,sku_found_in_pdf_text,,,,TapeTech:8172TT,No matching TSWFast row by brand and normalized SKU
TapeTech,CAA-TT,CAA-TT,Corner Applicator Adapter,,Support Handles,accessory,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,28,36,CAA-TT,Corner Applicator Adapter (CAA-TT) securely positioning the handle,pdf_text,sku_found_in_pdf_text,,,,TapeTech:CAATT,No matching TSWFast row by brand and normalized SKU
TapeTech,CFA-TT,CFA-TT,Corner Finisher Adapter,,Support Handles,accessory,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,28,36,CFA-TT,CAA-TT - Corner Applicator Adapter NSA-TT - Nail Spotter Adapter CFA-TT - Corner Finisher Adapter,pdf_text,sku_found_in_pdf_text,,,,TapeTech:CFATT,No matching TSWFast row by brand and normalized SKU
TapeTech,FHTT,FHTT,Fiberglass Handle,,Support Handles,accessory,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,28,36,FHTT,FHTT - Fiberglass Handle,pdf_text,sku_found_in_pdf_text,,,,TapeTech:FHTT,No matching TSWFast row by brand and normalized SKU
TapeTech,HAWK001-PS,HAWK001-PS,"13"" x 13"" Aluminum Hawk",,Tools of the Trade,hand_tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,36,44,HAWK001-PS,"HAWK001-PS - 13"" x 13ʺ Aluminum Hawk HAWK002-PS - 13"" x 13ʺ Premium Anodized Hawk",pdf_visual_table,sku_found_in_pdf_text,,,,TapeTech:HAWK001PS,No matching TSWFast row by brand and normalized SKU
TapeTech,HAWK002-PS,HAWK002-PS,"13"" x 13"" Premium Anodized Hawk",,Tools of the Trade,hand_tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,36,44,HAWK002-PS,"HAWK001-PS - 13"" x 13ʺ Aluminum Hawk HAWK002-PS - 13"" x 13ʺ Premium Anodized Hawk",pdf_visual_table,sku_found_in_pdf_text,,,,TapeTech:HAWK002PS,No matching TSWFast row by brand and normalized SKU
TapeTech,MP12SSTT,MP12SSTT,"12"" Stainless Steel Mud Pan",,Tools of the Trade,hand_tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,36,44,MP12SSTT,MP14SSTT MP12SSTT,pdf_visual_table,sku_found_in_pdf_text,,,,TapeTech:MP12SSTT,No matching TSWFast row by brand and normalized SKU
TapeTech,MP14SSTT,MP14SSTT,"14"" Stainless Steel Mud Pan",,Tools of the Trade,hand_tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,36,44,MP14SSTT,MP14SSTT MP12SSTT,pdf_visual_table,sku_found_in_pdf_text,,,,TapeTech:MP14SSTT,No matching TSWFast row by brand and normalized SKU
