severity,category,line,id,type,sku,brand,name,detail,recommendation
high,bad_seo_canonical_nonvariation,467,12829,simple,FA289,Columbia,"Split Pin 1/4"" X 2""",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,794,13157,simple,1,Dura-Stilts,Leg Band w/ Pads,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,795,13158,simple,10,Dura-Stilts,Adjustable Heel Piece,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,796,13159,simple,1000,Dura-Stilts,Strap-on Adapters - Exterior,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,797,13160,simple,1092,Dura-Stilts,NYLON FOOT PLATE KIT (C) (2 PACK),Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,798,13161,simple,11,Dura-Stilts,Nylon Leg Bearing,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,799,13162,simple,1127,Dura-Stilts,Bolt Nut Washer & Leg Bearing Dura-Pack,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,800,13163,simple,12,Dura-Stilts,"1/4"" Flat Washer",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,801,13164,simple,13,Dura-Stilts,"1/4"" - 20 Locknut",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,802,13165,simple,14,Dura-Stilts,"1/4"" - 20 Hexnut",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,804,13167,simple,15,Dura-Stilts,Spring Adjuster,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,805,13168,simple,16,Dura-Stilts,Spring w/ Bearings,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,806,13169,simple,161,Dura-Stilts,2440 Upper Coil Spring w/ Green Bearings,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,807,13170,simple,1644,Dura-Stilts,Coil Spring Part Pack,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,808,13171,simple,16441,Dura-Stilts,Upper/Lower Spring Kit,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,809,13172,simple,18,Dura-Stilts,Nylon Spring Bearing,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,810,13173,simple,19,Dura-Stilts,"#8 Self Threading Screw - 3/8""",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,811,13174,simple,2,Dura-Stilts,Leg Band Spacer,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,812,13175,simple,20,Dura-Stilts,Spring Divider #20,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,813,13176,simple,201,Dura-Stilts,Leg Band w/ Pads & Screws Part Pack,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,814,13177,simple,204,Dura-Stilts,Leg Strap and Buckle,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,815,13178,simple,21,Dura-Stilts,Large Leg Band Support Washer,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,816,13179,simple,210,Dura-Stilts,Adjustable Heel Bracket w/ Screws Part Pack,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,817,13180,simple,22,Dura-Stilts,1/4x7 1/8 Stud Bolt Threaded Both Ends,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,818,13181,simple,23A,Dura-Stilts,"1"" O.D. Lower Strut Tube for DS1422 Stilts",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,819,13182,simple,23B,Dura-Stilts,Lower Strut Tube - 1 in O.D.,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,820,13183,simple,23C,Dura-Stilts,Lower Strut Tube - 1 in O.D.,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,821,13184,simple,24,Dura-Stilts,"1/4-20x1/2"" Mach Bolt",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,822,13185,simple,245,Dura-Stilts,Complete Spring Assembly Part Pack,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,823,13186,simple,26A,Dura-Stilts,Floor Plate,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,824,13187,simple,26B,Dura-Stilts,Floor Plate w/ Soles,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,825,13188,simple,27,Dura-Stilts,"1/4-20""x3 1/8 Cap Screw",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,826,13189,simple,278,Dura-Stilts,Arch Strap & Toe Strap Buckle Part Pack,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,827,13190,simple,28,Dura-Stilts,1/4-20x1 1/2 Cap Screw With Square Nut,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,828,13191,simple,29,Dura-Stilts,Tube Clamp,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,829,13192,simple,3,Dura-Stilts,2 in Dura-Stilts Flat Head Machine Screw w/ Nut,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,830,13193,simple,30,Dura-Stilts,Large Tube Clamp,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,831,13194,simple,31,Dura-Stilts,Clamp Bracket,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,832,13195,simple,32,Dura-Stilts,1/4-20x1 1/2 Cap Screw With Hex Nut,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,833,13196,simple,33,Dura-Stilts,Strut Tube Cap/Plug,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,834,13197,simple,35,Dura-Stilts,Strap Mounting Screw w/ Nylon Washer,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,835,13198,simple,37,Dura-Stilts,"No. 8x3/8"" Screws For Soles",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,836,13199,simple,4,Dura-Stilts,Leg Strap & Buckle,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,837,13200,simple,42,Dura-Stilts,Wing Bolt,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,838,13201,simple,44,Dura-Stilts,Lower Coil Spring,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,839,13202,simple,441,Dura-Stilts,2440 Lower Coil Spring Bearing,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,840,13203,simple,442,Dura-Stilts,Wing Bolt Part Pack,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,841,13204,simple,446,Dura-Stilts,Sole w/ Screws,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,842,13205,simple,45,Dura-Stilts,Entire Spring Assembly,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,843,13206,simple,46A,Dura-Stilts,Sole w/ Screw,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,844,13207,simple,47B,Dura-Stilts,Adjustable Forward leg for DS 1830,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,845,13208,simple,47C,Dura-Stilts,D24 Forward Leg,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,846,13209,simple,48,Dura-Stilts,Large Nylon Extension Tube Sleeve,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,847,13210,simple,4849,Dura-Stilts,Nylon Extension Tube Sleeve Part Pack,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,848,13211,simple,49,Dura-Stilts,Small Nylon Extension Tube Sleeve,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,849,13212,simple,50A1,Dura-Stilts,ADJ LEFT REARLEG DS1422 (SILVER),Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,850,13213,simple,50A2,Dura-Stilts,DS1422 Right Rear Adjustable Leg,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,851,13214,simple,50B1,Dura-Stilts,Adj Left Rear Leg DS1830 (silver),Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,852,13215,simple,50B2,Dura-Stilts,Adjustable Right Rear Leg DS1830 (Silver),Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,853,13216,simple,50C1,Dura-Stilts,Adjustable Left Rear Leg #2440,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,854,13217,simple,50C2,Dura-Stilts,Adjustable Right Rear Leg #2440,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,855,13218,simple,514,Dura-Stilts,"30"" Extension Tube for DSS3460US",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,856,13219,simple,51A,Dura-Stilts,EXTENTION TUBE 14-22,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,857,13220,variable,DSDURASTILTSEXTENSIONTUBE,Dura-Stilts,Dura-Stilts Extension Tube,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,858,13221,simple,56,Dura-Stilts,"1-1/8"" O.D. Upper Unistrut Tube",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,859,13222,simple,561,Dura-Stilts,"14""-22"" Forward Adjustable Leg",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,860,13223,simple,562,Dura-Stilts,"18""-30"" Forward Adjustable Leg",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,861,13224,simple,563,Dura-Stilts,"24""-40"" Forward Adjustable Leg",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,862,13225,simple,57138,Dura-Stilts,Left Rear Adjustable Leg,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,863,13226,simple,5A,Dura-Stilts,"for DURA III 18""-30"" - 1 1/8"" O.D. Upper Strut Tube",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,864,13227,simple,5B,Dura-Stilts,"Upper Strut Tube for DURA III 24""-40"" - 1 1/8 in O.D.",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,865,13228,simple,6,Dura-Stilts,Truss Head Screw w/ Nut,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,866,13229,simple,7,Dura-Stilts,Arch Strap w/ Buckle,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,867,13230,simple,8,Dura-Stilts,Short Toe Strap w/ Buckle,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,868,13231,simple,90,Dura-Stilts,Complete Tube Assembly,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,869,13232,simple,PTAICA,Platinum Drywall Tools,Platinum Wheel Inside Angle / Corner Applicator,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,870,13233,simple,PTBF,Platinum Drywall Tools,Platinum Box Filler Attachment,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,871,13234,variable,PTBH,Platinum Drywall Tools,Platinum Flat Box Handle,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,872,13235,simple,PTCA8,Platinum Drywall Tools,"Platinum 8"" Corner Applicator",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,873,13236,simple,PTCAH50,Platinum Drywall Tools,"Platinum 50"" Corner Box Handle",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,874,13237,variable,PTCF,Platinum Drywall Tools,Platinum Angle Head Corner Finisher with Wheels,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,875,13238,simple,PTCFH50,Platinum Drywall Tools,"Platinum 50"" Angle Head Handle",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,876,13239,simple,PTCP,Platinum Drywall Tools,Platinum Drywall Pump w/Filler,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,877,13240,simple,PTCR,Platinum Drywall Tools,Platinum Inside Corner Roller,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,878,13241,simple,PTCRE,Platinum Drywall Tools,Platinum ECO Inside Corner Roller,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,879,13242,simple,PTCRH50,Platinum Drywall Tools,"Platinum 50"" Corner Roller Handle",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,880,13243,variable,PTCT,Platinum Drywall Tools,Platinum Compound Tube,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,881,13244,simple,PTEBH,Platinum Drywall Tools,"Platinum Extendable Flat Box Handle 40"" – 64""",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,882,13245,simple,PTEXT3IN11,Platinum Drywall Tools,Platinum Extendable Angle Head Handle,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,883,13246,simple,PTFA,Platinum Drywall Tools,"Platinum 4"" Flat Applicator",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,884,13247,variable,PTFB,Platinum Drywall Tools,Platinum Flat Finishing Box,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,885,13248,simple,PTFIN,Platinum Drywall Tools,Platinum Drywall Starter Finishing Set,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,886,13249,simple,PTICA,Platinum Drywall Tools,Platinum Inside 90 Degree Applicator,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,887,13250,simple,PTMNBH,Platinum Drywall Tools,Platinum Mini Box Handle,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,888,13251,variable,PTNS,Platinum Drywall Tools,Platinum Nail Spotter,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,889,13252,simple,PTOCA,Platinum Drywall Tools,Platinum Outside 90 Degree Applicator,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,890,13253,simple,PTOCR,Platinum Drywall Tools,Platinum Outside 90 Degree Corner Roller,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,891,13254,variable,PTSSCF,Platinum Drywall Tools,Platinum Stainless Steel Corner Flusher,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,892,13255,simple,PTTP,Platinum Drywall Tools,Platinum Semi Automatic Drywall Taper,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,893,13256,simple,SS1001,SurPro,Stilt Hardware Kit,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,894,13257,simple,SS1002B,SurPro,Single Sided Stilts Strap Kit,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,895,13258,simple,SS1003,SurPro,Super Grip Floor Plate Kit,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,896,13259,simple,SS1004O,SurPro,Main Body Spring Kit,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,897,13260,simple,SS1005FB,SurPro,Wraparound Leg Band Kit w/ Black Strap,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,898,13261,simple,SS1005P,SurPro,Plastic Leg Band Kit for Single Sided Stilts,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,899,13262,simple,SS1006,SurPro,Key & Lock Side Pole Clamp & Bracket Kit,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,900,13263,simple,SS1007,SurPro,Nylon Sleeve Kit,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,901,13264,simple,SS1008,SurPro,Wing Bolt Kit,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,902,13265,simple,SS1010L,SurPro,Double Sided Stilts Leg Band Kit,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,903,13266,simple,SS1010R,SurPro,Double Sided Right Leg Band Kit,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,904,13267,simple,SS1011B,SurPro,Stilts Strap Kit w/ Black Laces,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,905,13268,simple,SS1012,SurPro,Foot Plate Kit,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,906,13269,simple,SS124,SurPro,Stilts Lower Side Pole Bolt Kit,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,907,13270,simple,SS132,SurPro,Stilts Side Pole Clam Bolt Kit,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,908,13271,simple,SS134,SurPro,Stilts Leg Band Bolt Kit,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,909,13272,simple,SS2004,SurPro,Stilt Socks w/ All Models-Large,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,910,13273,simple,SS2005,SurPro,Stilt Socks w/ All Models-XL,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,911,13274,simple,SS2007,SurPro,Floor Plate w/ Super Grip Soles Kit,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,912,13275,simple,03TT,TapeTech,TapeTech EasyClean® Automatic Mini - Taper,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,913,13276,simple,050019,TapeTech,Disengaging Cam,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,914,13277,simple,050023F,TapeTech,Spacer Bar,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,915,13278,simple,050027,TapeTech,04TT Automatic Taper Replacement Needle Holder Lock,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,916,13279,simple,050034F,TapeTech,Disengaging Rod,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,917,13280,simple,050041F,TapeTech,Disengaging Rod Bearing,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,918,13281,simple,050043F,TapeTech,Anvil,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,919,13282,simple,050058,TapeTech,Control Valve,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,920,13283,simple,050063,TapeTech,Cut Off Cover,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,921,13284,simple,050064F,TapeTech,Automatic Taper Valve,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,922,13285,simple,050070F,TapeTech,Axle Creaser Wheel,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,923,13286,simple,050073,TapeTech,TapeTech Automatic Taper Creaser Wheel,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,924,13287,simple,050083F,TapeTech,Cable Drum,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,925,13288,simple,050086F,TapeTech,Bushing Head,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,926,13289,simple,050109F,TapeTech,Automatic Taper Hub,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,927,13290,simple,050110F,TapeTech,Driver Shaft,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,928,13291,simple,050113F,TapeTech,Cutter Block Tube,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,929,13292,simple,050123,TapeTech,Related Products,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,930,13293,simple,050128F,TapeTech,Chain Roller Bushing,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,931,13294,simple,050132F,TapeTech,Cut-Off Spring,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,932,13295,simple,050141,TapeTech,Left Chain Support,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,933,13296,simple,050145,TapeTech,Creaser Chain,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,934,13297,simple,050150F,TapeTech,Hub,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,935,13298,simple,050152F,TapeTech,Spacer Rod,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,936,13299,simple,050154,TapeTech,Bearing Bracket,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,937,13300,simple,050163,TapeTech,Main Chain Guide,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
