ID,Type,SKU,Name,sku_norm,reason
,variation,CF30COMBO,"TapeTech Combo Corner Flusher - 3""",CF30COMBO,no-exact-candidate-match
,variation,CF35COMBO,"TapeTech Combo Corner Flusher - 3.5""",CF35COMBO,no-exact-candidate-match
,variation,CF40COMBO,"TapeTech Combo Corner Flusher - 4""",CF40COMBO,no-exact-candidate-match
,variable,TT-CORNER-APPLICATOR-WITH-FHTT-HANDLE,TapeTech Corner Applicator with FHTT Fiberglass Handle,TTCORNERAPPLICATORWITHFHTTHANDLE,no-exact-candidate-match
,variation,CA07FHTT,"TapeTech Corner Applicator with FHTT Fiberglass Handle - 7""",CA07FHTT,no-exact-candidate-match
,variation,CA08FHTT,"TapeTech Corner Applicator with FHTT Fiberglass Handle - 8""",CA08FHTT,no-exact-candidate-match
,variable,TT-DIRECT-CORNER-FLUSHER,TapeTech Direct Corner Flusher,TTDIRECTCORNERFLUSHER,no-exact-candidate-match
,variation,CF25TT,"TapeTech Direct Corner Flusher - 2.5""",CF25TT,no-exact-candidate-match
,variation,CF30TT,"TapeTech Direct Corner Flusher - 3""",CF30TT,no-exact-candidate-match
,variation,CF35TT,"TapeTech Direct Corner Flusher - 3.5""",CF35TT,no-exact-candidate-match
,variation,CF40TT,"TapeTech Direct Corner Flusher - 4""",CF40TT,no-exact-candidate-match
,variable,TT-EASYCLEAN-NAIL-SPOTTER-WITH-FHTT-HANDLE,TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle,TTEASYCLEANNAILSPOTTERWITHFHTTHANDLE,no-exact-candidate-match
,variation,NS02FHTT,"TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 2""",NS02FHTT,no-exact-candidate-match
,variation,NS03FHTT,"TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 3""",NS03FHTT,no-exact-candidate-match
,variable,TT-COMPOUND-ROLLER-WITH-FRAME,TapeTech Premium Compound Roller with Frame,TTCOMPOUNDROLLERWITHFRAME,no-exact-candidate-match
,variation,CROLL04CG,"TapeTech Premium Compound Roller with Frame - 4""",CROLL04CG,no-exact-candidate-match
,variation,CROLL09CG,"TapeTech Premium Compound Roller with Frame - 9""",CROLL09CG,no-exact-candidate-match
,variation,CROLL12CG,"TapeTech Premium Compound Roller with Frame - 12""",CROLL12CG,no-exact-candidate-match
,simple,450009F,"3"" Angle Head Carbide Blade",450009F,no-exact-candidate-match
,simple,CA07XHTT,"TapeTech 7"" Angle Box with Extendable XHTT Handle",CA07XHTT,no-exact-candidate-match
,simple,CA08TTXHTT,"TapeTech 8"" Angle Box with XHTT Extendable Handle",CA08TTXHTT,no-exact-candidate-match
,simple,15TTEXHTT,TapeTech Corner Roller with Extendable XHTT Handle,15TTEXHTT,no-exact-candidate-match
,simple,15TTEWHANDLE,TapeTech Corner Roller with Handle,15TTEWHANDLE,no-exact-candidate-match
,simple,FHTTCAATT,TapeTech Fiberglass Angle Box Handle (FHTT/CAA),FHTTCAATT,no-exact-candidate-match
,simple,FHTTCFA,TapeTech Fiberglass Angle Head Handle (FHTT/CFA),FHTTCFA,no-exact-candidate-match
,simple,14TT,TapeTech MudRunner®,14TT,no-exact-candidate-match
,simple,NS02WX1HDL,"TapeTech 2"" Nail Spotter with X1 Extension Handle",NS02WX1HDL,no-exact-candidate-match
,simple,FHTTNSA,TapeTech Fiberglass Nail Spotter Handle (FHTT/NSA),FHTTNSA,no-exact-candidate-match
