Brand,Name+Variant,Size/Length,Dimensions,Weight_Dry_LBS,Weight_Dry_KG,Materials,Key_Specifications,Compatible_Parts_SKUs,Warranty_Years
Columbia Taping Tools,Cam Lock Tube - Standard 32" (CLT32),32" Length,"32" x 2.5" Diameter",1.15,0.52,Machined Aluminum,"Quick-release cam lock mechanism",N/A,5
Columbia Taping Tools,Cam Lock Tube - Standard 42" (CLT42),42" Length,"42" x 2.5" Diameter",1.35,0.61,Machined Aluminum,"Quick-release cam lock mechanism",N/A,5
Columbia Taping Tools,Cam Lock Tube - Standard 55" (CLT55),55" Length,"55" x 2.5" Diameter",1.60,0.73,Machined Aluminum,"Quick-release cam lock mechanism",N/A,5
Columbia Taping Tools,Flat Box - Standard 5.5" (5.5FFB),5.5" Width,"5.5" x 8" x 4"",1.50,0.68,"Billet Aluminum, Stainless Steel","Manual sweep, Bead wheel axle standard","FFBR-9-5.5, FFBA-36",5
Columbia Taping Tools,Flat Box - Standard 7" (7FFB),7" Width,"7" x 8" x 4"",1.75,0.79,"Billet Aluminum, Stainless Steel","Manual sweep, Bead wheel axle standard","FFBR-9-7, FFBA-36",5
Columbia Taping Tools,Flat Box - Standard 8" (8FFB),8" Width,"8" x 8" x 4"",2.00,0.91,"Billet Aluminum, Stainless Steel","Manual sweep, Bead wheel axle standard","FFBR-9-8, FFBA-36",5
Columbia Taping Tools,Flat Box - Standard 10" (10FFB),10" Width,"10" x 8" x 4"",2.50,1.13,"Billet Aluminum, Stainless Steel","Manual sweep, Bead wheel axle standard","FFBR-9-10, FFBA-36",5
Columbia Taping Tools,Flat Box - Standard 12" (12FFB),12" Width,"12" x 8" x 4"",3.00,1.36,"Billet Aluminum, Stainless Steel","Manual sweep, Bead wheel axle standard","FFBR-9-12, FFBA-36",5
Columbia Taping Tools,Flat Box - Standard 14" (14FFB),14" Width,"14" x 8" x 4"",3.50,1.59,"Billet Aluminum, Stainless Steel","Manual sweep, Bead wheel axle standard","FFBR-9-14, FFBA-36",5
Columbia Taping Tools,Flat Box - Fat Boy 8" (8FBB),8" Width,"8" x 8" x 5"",2.25,1.02,"Billet Aluminum, Stainless Steel","+40% Mud Capacity, Deeper chamber","FFBR-9-8, FFBA-36",5
Columbia Taping Tools,Flat Box - Fat Boy 10" (10FBB),10" Width,"10" x 8" x 5"",2.75,1.25,"Billet Aluminum, Stainless Steel","+40% Mud Capacity, Deeper chamber","FFBR-9-10, FFBA-36",5
Columbia Taping Tools,Flat Box - Fat Boy 12" (12FBB),12" Width,"12" x 8" x 5"",3.25,1.47,"Billet Aluminum, Stainless Steel","+40% Mud Capacity, Deeper chamber","FFBR-9-12, FFBA-36",5
Columbia Taping Tools,Flat Box - Automatic 8" (8FFBA),8" Width,"8" x 8" x 4"",2.50,1.13,"Billet Aluminum, Spring-Loaded Axle","Spring-loaded axle, Easy Push, -50% fatigue","FFBR-9-8, FFBA-36",5
Columbia Taping Tools,Flat Box - Automatic 10" (10FFBA),10" Width,"10" x 8" x 4"",3.00,1.36,"Billet Aluminum, Spring-Loaded Axle","Spring-loaded axle, Easy Push, -50% fatigue","FFBR-9-10, FFBA-36",5
Columbia Taping Tools,Flat Box - Automatic 12" (12FFBA),12" Width,"12" x 8" x 4"",3.50,1.59,"Billet Aluminum, Spring-Loaded Axle","Spring-loaded axle, Easy Push, -50% fatigue","FFBR-9-12, FFBA-36",5
Columbia Taping Tools,Flat Box - Automatic 14" (14FFBA),14" Width,"14" x 8" x 4"",4.00,1.81,"Billet Aluminum, Spring-Loaded Axle","Spring-loaded axle, Easy Push, -50% fatigue","FFBR-9-14, FFBA-36",5
Columbia Taping Tools,Flat Box - Auto Fat Boy 8" (8FBBA),8" Width,"8" x 8" x 5"",2.75,1.25,"Billet Aluminum, Spring-Loaded Axle","High capacity + Auto assist, Heavy-duty springs","FFBR-9-8, FFBA-36",5
Columbia Taping Tools,Flat Box - Auto Fat Boy 10" (10FBBA),10" Width,"10" x 8" x 5"",3.25,1.47,"Billet Aluminum, Spring-Loaded Axle","High capacity + Auto assist, Heavy-duty springs","FFBR-9-10, FFBA-36",5
Columbia Taping Tools,Flat Box - Auto Fat Boy 12" (12FBBA),12" Width,"12" x 8" x 5"",3.75,1.70,"Billet Aluminum, Spring-Loaded Axle","High capacity + Auto assist, Heavy-duty springs","FFBR-9-12, FFBA-36",5
Columbia Taping Tools,Flat Box - Inside Track 8" (8ITFB),8" Width,"8" x 8" x 4"",2.25,1.02,Billet Aluminum,"Wheels inside side plates, Clears obstacles","FFBR-9-8, FFBA-36",5
Columbia Taping Tools,Flat Box - Inside Track 10" (10ITFB),10" Width,"10" x 8" x 4"",2.75,1.25,Billet Aluminum,"Wheels inside side plates, Clears obstacles","FFBR-9-10, FFBA-36",5
Columbia Taping Tools,Flat Box - Inside Track 12" (12ITFB),12" Width,"12" x 8" x 4"",3.25,1.47,Billet Aluminum,"Wheels inside side plates, Clears obstacles","FFBR-9-12, FFBA-36",5
Columbia Taping Tools,Angle Head - Standard 2" (2AH),2" Width,"2" x 4" x 3"",0.75,0.34,"Billet Aluminum, Welded Stainless Steel Wings",".002" side blade offset, Wheels included","AHR-BK-2, AHR-K",5
Columbia Taping Tools,Angle Head - Standard 2.5" (2.5AH),2.5" Width,"2.5" x 4" x 3"",0.85,0.39,"Billet Aluminum, Welded Stainless Steel Wings",".002" side blade offset, Wheels included","AHR-BK-2.5, AHR-K",5
Columbia Taping Tools,Angle Head - Standard 3" (3AH),3" Width,"3" x 4" x 3"",1.00,0.45,"Billet Aluminum, Welded Stainless Steel Wings",".002" side blade offset, Wheels included","AHR-BK-3, AHR-K",5
Columbia Taping Tools,Angle Head - Standard 3.5" (3.5AH),3.5" Width,"3.5" x 4" x 3"",1.15,0.52,"Billet Aluminum, Welded Stainless Steel Wings",".002" side blade offset, Wheels included","AHR-BK-3.5, AHR-K",5
Columbia Taping Tools,Corner Flusher - Standard 2.5" (2.5SF),2.5" Width,"2.5" x 5" x 4"",0.50,0.23,"Billet Aluminum Cone, Stainless Steel Valve","Hand-ground granite plate, Solid SS valve",Size-specific_Blade,5
Columbia Taping Tools,Corner Flusher - Standard 3" (3SF),3" Width,"3" x 5" x 4"",0.65,0.29,"Billet Aluminum Cone, Stainless Steel Valve","Hand-ground granite plate, Solid SS valve",Size-specific_Blade,5
Columbia Taping Tools,Corner Flusher - Standard 3" Wide (3WTSF),3" Width Wide,"3" x 6" x 4"",0.70,0.32,"Billet Aluminum Cone, Stainless Steel Valve","Wide track option, Solid SS valve",Size-specific_Blade,5
Columbia Taping Tools,Corner Flusher - Standard 3.5" (3.5SF),3.5" Width,"3.5" x 5" x 4"",0.85,0.39,"Billet Aluminum Cone, Stainless Steel Valve","Hand-ground granite plate, Solid SS valve",Size-specific_Blade,5
Columbia Taping Tools,Corner Flusher - Standard 4" (4SF),4" Width,"4" x 5" x 4"",1.00,0.45,"Billet Aluminum Cone, Stainless Steel Valve","Hand-ground granite plate, Solid SS valve",Size-specific_Blade,5
Columbia Taping Tools,Corner Flusher - Direct 2.5" (2.5DF),2.5" Width,"2.5" x 5" x 4"",0.50,0.23,"Billet Aluminum, Stainless Steel","Direct feed design, No separate box needed",Size-specific_Blade,5
Columbia Taping Tools,Corner Flusher - Direct 3" (3DF),3" Width,"3" x 5" x 4"",0.65,0.29,"Billet Aluminum, Stainless Steel","Direct feed design, No separate box needed",Size-specific_Blade,5
Columbia Taping Tools,Corner Flusher - Direct 3" Wide (3WTDF),3" Width Wide,"3" x 6" x 4"",0.70,0.32,"Billet Aluminum, Stainless Steel","Direct feed design, Wide track",Size-specific_Blade,5
Columbia Taping Tools,Corner Flusher - Direct 3.5" (3.5DF),3.5" Width,"3.5" x 5" x 4"",0.85,0.39,"Billet Aluminum, Stainless Steel","Direct feed design, No separate box needed",Size-specific_Blade,5
Columbia Taping Tools,Corner Flusher - Direct 4" (4DF),4" Width,"4" x 5" x 4"",1.00,0.45,"Billet Aluminum, Stainless Steel","Direct feed design, No separate box needed",Size-specific_Blade,5
Columbia Taping Tools,Corner Flusher - Combo 2.5" (2.5CSF),2.5" Width,"2.5" x 5" x 4"",0.60,0.27,"Billet Aluminum, Stainless Steel","Flush + Finish in one pass",Size-specific_Blade,5
Columbia Taping Tools,Corner Flusher - Combo 3" (3CSF),3" Width,"3" x 5" x 4"",0.75,0.34,"Billet Aluminum, Stainless Steel","Flush + Finish in one pass",Size-specific_Blade,5
Columbia Taping Tools,Corner Flusher - Combo 3" Wide (3WTCSF),3" Width Wide,"3" x 6" x 4"",0.80,0.36,"Billet Aluminum, Stainless Steel","Flush + Finish in one pass, Wide track",Size-specific_Blade,5
Columbia Taping Tools,Corner Flusher - Combo 3.5" (3.5CSF),3.5" Width,"3.5" x 5" x 4"",0.90,0.41,"Billet Aluminum, Stainless Steel","Flush + Finish in one pass",Size-specific_Blade,5
Columbia Taping Tools,Corner Box - Flusher Box 7" (7CFB),7" Width,"7" x 6" x 5"",1.50,0.68,Billet Aluminum Cone,"Angled cone for tight corners, Rust-proof","Size-specific_Blade, Gaskets",5
Columbia Taping Tools,Corner Box - Flusher Box 8" (8CFB),8" Width,"8" x 6" x 5"",1.75,0.79,Billet Aluminum Cone,"Angled cone for tight corners, Rust-proof","Size-specific_Blade, Gaskets",5
Columbia Taping Tools,Corner Roller - Standard Internal (CR),Internal 90°,"4" x 3" x 2"",0.75,0.34,"Hardened Steel, Delrin Wheels","Split wheel design, Adjustable head",CRA-2,5
Columbia Taping Tools,Corner Cobra - Standard Bead (CC),Inside/Outside,"6" x 4" x 3"",1.50,0.68,"Hardened Steel, Aluminum","Pivoting head 85°-180°, Inside/Outside",CC-RK,5
Columbia Taping Tools,OC Roller - Standard Standard (COBCR),Standard Bead,"5" x 3" x 2"",1.00,0.45,Hardened Steel,"Profiles standard metal bead",Wheel_Replacement,5
Columbia Taping Tools,OC Roller - Bullnose Standard (CBNCR),Bullnose Bead,"5" x 3" x 2"",1.00,0.45,Hardened Steel,"Profiles bullnose bead",Wheel_Replacement,5
Columbia Taping Tools,OC Roller - Euro Standard (COBCRE),Euro/Micro Bead,"5" x 3" x 2"",1.00,0.45,Hardened Steel,"Profiles thin euro bead",Wheel_Replacement,5
Columbia Taping Tools,OC Roller - Wide Standard (COBCRW),Wide Bead,"5" x 3" x 2"",1.00,0.45,Hardened Steel,"Profiles wide structural bead",Wheel_Replacement,5
Columbia Taping Tools,Mud Pump - Hot Mud Standard (HMP),Standard,"20" x 8" x 6"",9.00-11.00,4.08-4.99,"Anodized Aluminum Cylinder, Stainless Shaft","Air-tight seal, 20° angled handle, Top disconnect","MPR-1, MP-24",5
Columbia Taping Tools,Mud Pump - Tall Boy Standard (TBMP),Extended,"28" x 8" x 6"",12.00,5.44,"Anodized Aluminum, Stainless Steel","Standing operation, Fits 30-gal pails","MPR-1, MP-24",5
Columbia Taping Tools,Box Filler - Standard Standard (BF),Standard,"12" x 6" x 4"",3.00,1.36,"Aluminum, Stainless Steel","Patented design, Fast fill, Cam lock option","Gaskets, Seals",5
Columbia Taping Tools,Box Filler - Tall Boy Standard (TBBF),Extended,"18" x 6" x 4"",4.00,1.81,"Aluminum, Stainless Steel","Stand-up operation for box filling","Gaskets, Seals",5
Columbia Taping Tools,Gooseneck - Standard Standard (GN),Curved,"10" x 4" x 3"",1.00,0.45,Aluminum,"Flexible spout for hard-to-reach fills",N/A,5
Columbia Taping Tools,Gooseneck - Tall Boy Standard (TBGN),Curved,"14" x 4" x 3"",1.00,0.45,Aluminum,"Tall Boy version for extended reach",N/A,5
Columbia Taping Tools,Nail Spotter - Standard 2" (2NS),2" Width,"6" x 4" x 3"",0.80,0.36,"Billet Aluminum, Stainless Steel","Hinged door, Adjustable thumb tension","HNS7-2, HNS-12A",5
Columbia Taping Tools,Nail Spotter - Standard 3" (3NS),3" Width,"7" x 4" x 3"",1.00,0.45,"Billet Aluminum, Stainless Steel","Hinged door, Adjustable thumb tension","HNS7-3, HNS-13",5
Columbia Taping Tools,Nail Spotter - Wheel Kit 2" (HNSA-5-2),2" Width,N/A,N/A,N/A,"Delrin/Steel","Adds wheels to standard 2" spotter",Wheel_Replacements,5
Columbia Taping Tools,Nail Spotter - Wheel Kit 3" (HNSA-5-3),3" Width,N/A,N/A,N/A,"Delrin/Steel","Adds wheels to standard 3" spotter",Wheel_Replacements,5
Columbia Taping Tools,Smoothing Blade - Tomahawk 7" (TSB-7),7" Width,"7" x 3" x 1"",0.50,0.23,"Billet Aluminum, Stainless Blade","Zero Plastic, Replaceable blades",Size-specific_Blade,5
Columbia Taping Tools,Smoothing Blade - Tomahawk 10" (TSB-10),10" Width,"10" x 3" x 1"",0.75,0.34,"Billet Aluminum, Stainless Blade","Zero Plastic, Replaceable blades",Size-specific_Blade,5
Columbia Taping Tools,Smoothing Blade - Tomahawk 12" (TSB-12),12" Width,"12" x 3" x 1"",0.85,0.39,"Billet Aluminum, Stainless Blade","Zero Plastic, Replaceable blades",Size-specific_Blade,5
Columbia Taping Tools,Smoothing Blade - Tomahawk 14" (TSB-14),14" Width,"14" x 3" x 1"",1.00,0.45,"Billet Aluminum, Stainless Blade","Zero Plastic, Replaceable blades",Size-specific_Blade,5
Columbia Taping Tools,Smoothing Blade - Tomahawk 18" (TSB-18),18" Width,"18" x 3" x 1"",1.25,0.57,"Billet Aluminum, Stainless Blade","Zero Plastic, Replaceable blades",Size-specific_Blade,5
Columbia Taping Tools,Smoothing Blade - Tomahawk 24" (TSB-24),24" Width,"24" x 3" x 1"",1.50,0.68,"Billet Aluminum, Stainless Blade","Zero Plastic, Replaceable blades",Size-specific_Blade,5
Columbia Taping Tools,Smoothing Blade - Tomahawk 32" (TSB-32),32" Width,"32" x 3" x 1"",2.00,0.91,"Billet Aluminum, Stainless Blade","Zero Plastic, Replaceable blades",Size-specific_Blade,5
Columbia Taping Tools,Smoothing Blade - Tomahawk 40" (TSB-40),40" Width,"40" x 3" x 1"",2.50,1.13,"Billet Aluminum, Stainless Blade","Zero Plastic, Replaceable blades",Size-specific_Blade,5
Columbia Taping Tools,Smoothing Blade - Tomahawk 48" (TSB-48),48" Width,"48" x 3" x 1"",3.00,1.36,"Billet Aluminum, Stainless Blade","Zero Plastic, Replaceable blades",Size-specific_Blade,5
Columbia Taping Tools,Handle - One Handle Fixed (C1H),Fixed,"12" x 2" x 2"",0.50,0.23,Billet Aluminum,"Universal fit, Reduces tool count",N/A,5
Columbia Taping Tools,Handle - One Extend 3-5ft (C1HEXT),3' - 5',36" - 60" x 2" x 2",1.50,0.68,Aluminum,"Hydraulic-free, Twist lock",Locking_Mechanism,5
Columbia Taping Tools,Handle - Long Extend 4-8ft (CHXL),4' - 8',48" - 96" x 2" x 2",2.00,0.91,Aluminum,"Extra reach for high walls",Locking_Mechanism,5
Columbia Taping Tools,Handle - 180 Grip 3ft (3BH),3 Foot,"36" x 3" x 3"",2.00,0.91,Aluminum,"Continuous braking 180°, Ergonomic","Brake_Pads, Pins",5
Columbia Taping Tools,Handle - 180 Grip 4ft (4BH),4 Foot,"48" x 3" x 3"",2.50,1.13,Aluminum,"Continuous braking 180°, Ergonomic","Brake_Pads, Pins",5
Columbia Taping Tools,Handle - 180 Grip 5ft (5BH),5 Foot,"60" x 3" x 3"",3.00,1.36,Aluminum,"Continuous braking 180°, Ergonomic","Brake_Pads, Pins",5
Columbia Taping Tools,Handle - 180 Grip 6ft (6BH),6 Foot,"72" x 3" x 3"",3.50,1.59,Aluminum,"Continuous braking 180°, Ergonomic","Brake_Pads, Pins",5
Columbia Taping Tools,Handle - Matrix Standard (MH),29" - 50",29" - 50" x 3" x 3",3.00,1.36,Billet Aluminum,"All-mechanical, 90° grip",Locking_Pins,5
Columbia Taping Tools,Handle - Matrix Short (MHS),29" - 50",29" - 50" x 3" x 3",3.00,1.36,Billet Aluminum,"Short version, All-mechanical",Locking_Pins,5
Columbia Taping Tools,Handle - Matrix Long (MHL),50" - 76",50" - 76" x 3" x 3",4.00,1.81,Billet Aluminum,"Long version, All-mechanical",Locking_Pins,5
Columbia Taping Tools,Handle - Closet Monster Fixed (CMH),~19 Inch,"19" x 3" x 3"",1.00,0.45,Aluminum,"Short handle, Adjustable wingnut angle","Wingnut, Pins",5
Columbia Taping Tools,Sander - Head Only Complete (CS),Replacement,"8" x 8" x 3"",2.00,0.91,Billet Aluminum,"No Flip technology",Screen_Attachments,5
Columbia Taping Tools,Mud Applicator - L-Trim Standard (FMH),L-Trim,"6" x 4" x 3"",0.50,0.23,"UHMW Plastic / Aluminum","L-Trim applicator",Blade_Replacements,5
Columbia Taping Tools,Mud Applicator - Inside 90 Standard (IA90),Inside 90°,"6" x 4" x 3"",0.50,0.23,"UHMW Plastic / Aluminum","Inside 90° applicator",Blade_Replacements,5
Columbia Taping Tools,Mud Applicator - Outside 90 Standard (OA90),Outside 90°,"6" x 4" x 3"",0.50,0.23,"UHMW Plastic / Aluminum","Outside 90° applicator",Blade_Replacements,5
