"Type","SKU","Parent SKU","Slug","Name","Published","Visibility in catalog","Short description","Description","Regular price","In stock?","Stock","Categories","Tags","Brands","Images","Parent","Position","Attribute 1 name","Attribute 1 value(s)","Attribute 2 name","Attribute 2 value(s)","Attribute 3 name","Attribute 3 value(s)","Attribute 4 name","Attribute 4 value(s)","Attribute 5 name","Attribute 5 value(s)","meta:product_family","meta:series","meta:model","meta:search_keywords","meta:synonyms","meta:compatible_with","meta:replacement_for","meta:seo_title","meta:seo_description","meta:seo_canonical","meta:seo_robots","meta:seo_focus_keyword","meta:seo_secondary_keywords","meta:schema_brand","meta:schema_mpn","meta:schema_condition"
"simple","9196","","level-5-cf-buttom-clip-3-5in-4in","Level5 CF Buttom Clip 3.5in & 4in","1","visible","CF Buttom Clip 3.5in & 4in","<p>CF Buttom Clip 3.5in & 4in</p> <p>Compatible with: 4-734</p>","15.29","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF Buttom Clip 3.5in & 4in","","9196","Level 5 CF Buttom Clip 3.5in & 4in - [9196], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9196","","","","Level5 CF Buttom Clip 3.5in & 4in -","CF Buttom Clip 3.5in & 4in","","index,follow","Level 5 CF Buttom Clip 3.5in & 4in - [9196]","","Level 5","9196","NewCondition"
"simple","9807","","level-5-cf-3-5in-body","Level5 CF 3.5in Body","1","visible","CF 3.5in Body","<p>CF 3.5in Body</p> <p>Compatible with: 4-734</p>","129.99","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF 3.5in Body","","9807","Level 5 CF 3.5in Body - [9807], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9807","","","","Level5 CF 3.5in Body -","CF 3.5in Body","","index,follow","Level 5 CF 3.5in Body - [9807]","","Level 5","9807","NewCondition"
"simple","9803","","level-5-cf-3-5in-left-frame","Level5 CF 3.5in Left Frame","1","visible","CF 3.5in Left Frame","<p>CF 3.5in Left Frame</p> <p>Compatible with: 4-734</p>","27.44","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF 3.5in Left Frame","","9803","Level 5 CF 3.5in Left Frame - [9803], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9803","","","","Level5 CF 3.5in Left Frame -","CF 3.5in Left Frame","","index,follow","Level 5 CF 3.5in Left Frame - [9803]","","Level 5","9803","NewCondition"
"simple","9525","","level-5-cf-3-5in-4in-skids","Level5 CF 3.5in & 4in Skids","1","visible","CF 3.5in & 4in Skids","<p>CF 3.5in & 4in Skids</p> <p>Compatible with: 4-734</p>","22.04","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF 3.5in & 4in Skids","","9525","Level 5 CF 3.5in & 4in Skids - [9525], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9525","","","","Level5 CF 3.5in & 4in Skids -","CF 3.5in & 4in Skids","","index,follow","Level 5 CF 3.5in & 4in Skids - [9525]","","Level 5","9525","NewCondition"
"simple","9815","","level-5-cf-3-5in-blade","Level5 CF 3.5in Blade","1","visible","CF 3.5in Blade","<p>CF 3.5in Blade</p> <p>Compatible with: 4-734</p>","40.94","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF 3.5in Blade","","9815","Level 5 CF 3.5in Blade - [9815], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9815","","","","Level5 CF 3.5in Blade -","CF 3.5in Blade","","index,follow","Level 5 CF 3.5in Blade - [9815]","","Level 5","9815","NewCondition"
"simple","9501","","level-5-spring-tension-pin-cf","Level5 Spring Tension Pin - CF","1","visible","Spring Tension Pin -CF","<p>Spring Tension Pin -CF</p> <p>Compatible with: 4-734</p>","7.19","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 Spring Tension Pin","","9501","Level 5 Spring Tension Pin -CF - [9501], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9501","","","","Level5 Spring Tension Pin - CF -","Spring Tension Pin -CF","","index,follow","Level 5 Spring Tension Pin -CF - [9501]","","Level 5","9501","NewCondition"
"simple","9197","","level-5-cf-top-clip-3-5in-4in","Level5 CF Top Clip 3.5in & 4in","1","visible","CF Top Clip 3.5in & 4in","<p>CF Top Clip 3.5in & 4in</p> <p>Compatible with: 4-734</p>","8.54","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF Top Clip 3.5in & 4in","","9197","Level 5 CF Top Clip 3.5in & 4in - [9197], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9197","","","","Level5 CF Top Clip 3.5in & 4in -","CF Top Clip 3.5in & 4in","","index,follow","Level 5 CF Top Clip 3.5in & 4in - [9197]","","Level 5","9197","NewCondition"
"simple","9522","","level-5-cf-spring-small","Level5 CF Spring (Small)","1","visible","CF Spring (Small)","<p>CF Spring (Small)</p> <p>Compatible with: 4-734</p>","11.24","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF Spring (Small)","","9522","Level 5 CF Spring (Small) - [9522], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9522","","","","Level5 CF Spring (Small) -","CF Spring (Small)","","index,follow","Level 5 CF Spring (Small) - [9522]","","Level 5","9522","NewCondition"
"simple","9523","","level-5-cf-3-5in-spring-big","Level5 CF 3.5in Spring (Big)","1","visible","CF 3.5in Spring (Big)","<p>CF 3.5in Spring (Big)</p> <p>Compatible with: 4-734</p>","12.59","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF 3.5in Spring (Big)","","9523","Level 5 CF 3.5in Spring (Big) - [9523], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9523","","","","Level5 CF 3.5in Spring (Big) -","CF 3.5in Spring (Big)","","index,follow","Level 5 CF 3.5in Spring (Big) - [9523]","","Level 5","9523","NewCondition"
"simple","9817","","level-5-cf-3-5in-right-frame","Level5 CF 3.5in Right Frame","1","visible","CF 3.5in Right Frame","<p>CF 3.5in Right Frame</p> <p>Compatible with: 4-734</p>","27.44","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF 3.5in Right Frame","","9817","Level 5 CF 3.5in Right Frame - [9817], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9817","","","","Level5 CF 3.5in Right Frame -","CF 3.5in Right Frame","","index,follow","Level 5 CF 3.5in Right Frame - [9817]","","Level 5","9817","NewCondition"
"simple","7546","","level-5-4in-cf-body","Level5 4in CF Body","1","visible","4in CF Body","<p>4in CF Body</p> <p>Compatible with: 4-735</p>","","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 4in CF Body","","7546","Level 5 4in CF Body - [7546], Level 5, Drywall Finishing Tools > Level 5 > Parts, 7546","","","","Level5 4in CF Body -","4in CF Body","","index,follow","Level 5 4in CF Body - [7546]","","Level 5","7546","NewCondition"
"simple","7544","","level-5-4in-cf-left-frame","Level5 4in CF Left Frame","1","visible","4in CF Left Frame","<p>4in CF Left Frame</p> <p>Compatible with: 4-735</p>","100.0","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 4in CF Left Frame","","7544","Level 5 4in CF Left Frame - [7544], Level 5, Drywall Finishing Tools > Level 5 > Parts, 7544","","","","Level5 4in CF Left Frame -","4in CF Left Frame","","index,follow","Level 5 4in CF Left Frame - [7544]","","Level 5","7544","NewCondition"
"simple","9816","","level-5-4in-blade-corner-finisher","Level5 4in Blade - Corner Finisher","1","visible","4in Blade-Corner Finisher","<p>4in Blade-Corner Finisher</p> <p>Compatible with: 4-735</p>","47.69","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 4in Blade","","9816","Level 5 4in Blade-Corner Finisher - [9816], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9816","","","","Level5 4in Blade - Corner Finisher -","4in Blade-Corner Finisher","","index,follow","Level 5 4in Blade-Corner Finisher - [9816]","","Level 5","9816","NewCondition"
"simple","9526","","level-5-4in-small-spring-cf","Level5 4in Small Spring - CF","1","visible","4in Small Spring- CF","<p>4in Small Spring- CF</p> <p>Compatible with: 4-735</p>","11.24","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 4in Small Spring","","9526","Level 5 4in Small Spring- CF - [9526], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9526","","","","Level5 4in Small Spring - CF -","4in Small Spring- CF","","index,follow","Level 5 4in Small Spring- CF - [9526]","","Level 5","9526","NewCondition"
"simple","9527","","level-5-4in-large-spring-cf","Level5 4in Large Spring - CF","1","visible","4in Large Spring - CF","<p>4in Large Spring - CF</p> <p>Compatible with: 4-735</p>","12.59","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 4in Large Spring","","9527","Level 5 4in Large Spring - CF - [9527], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9527","","","","Level5 4in Large Spring - CF -","4in Large Spring - CF","","index,follow","Level 5 4in Large Spring - CF - [9527]","","Level 5","9527","NewCondition"
"simple","7545","","level-5-4in-right-frame","Level5 4in Right Frame","1","visible","4in Right Frame","<p>4in Right Frame</p> <p>Compatible with: 4-735</p>","100.0","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 4in Right Frame","","7545","Level 5 4in Right Frame - [7545], Level 5, Drywall Finishing Tools > Level 5 > Parts, 7545","","","","Level5 4in Right Frame -","4in Right Frame","","index,follow","Level 5 4in Right Frame - [7545]","","Level 5","7545","NewCondition"
"simple","9183","","level-5-cf-3in-body","Level5 CF 3in Body","1","visible","CF 3in Body","<p>CF 3in Body</p> <p>Compatible with: 4-733</p>","","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF 3in Body","","9183","Level 5 CF 3in Body - [9183], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9183","","","","Level5 CF 3in Body -","CF 3in Body","","index,follow","Level 5 CF 3in Body - [9183]","","Level 5","9183","NewCondition"
"simple","9193","","level-5-cf-3in-left-frame","Level5 CF 3in Left Frame","1","visible","CF 3in Left Frame","<p>CF 3in Left Frame</p> <p>Compatible with: 4-733</p>","94.0","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF 3in Left Frame","","9193","Level 5 CF 3in Left Frame - [9193], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9193","","","","Level5 CF 3in Left Frame -","CF 3in Left Frame","","index,follow","Level 5 CF 3in Left Frame - [9193]","","Level 5","9193","NewCondition"
"simple","9188","","level-5-cf-3in-blade","Level5 CF 3in Blade","1","visible","CF 3in Blade","<p>CF 3in Blade</p> <p>Compatible with: 4-733</p>","34.19","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF 3in Blade","","9188","Level 5 CF 3in Blade - [9188], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9188","","","","Level5 CF 3in Blade -","CF 3in Blade","","index,follow","Level 5 CF 3in Blade - [9188]","","Level 5","9188","NewCondition"
"simple","9520","","level-5-cf-spring-small","Level5 CF Spring (small)","1","visible","CF Spring (small)","<p>CF Spring (small)</p> <p>Compatible with: 4-733</p>","5.39","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF Spring (small)","","9520","Level 5 CF Spring (small) - [9520], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9520","","","","Level5 CF Spring (small) -","CF Spring (small)","","index,follow","Level 5 CF Spring (small) - [9520]","","Level 5","9520","NewCondition"
"simple","9521","","level-5-cf-3in-spring-big","Level5 CF 3in Spring (Big)","1","visible","CF 3in Spring (Big)","<p>CF 3in Spring (Big)</p> <p>Compatible with: 4-733</p>","5.99","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF 3in Spring (Big)","","9521","Level 5 CF 3in Spring (Big) - [9521], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9521","","","","Level5 CF 3in Spring (Big) -","CF 3in Spring (Big)","","index,follow","Level 5 CF 3in Spring (Big) - [9521]","","Level 5","9521","NewCondition"
"simple","9194","","level-5-cf-3in-right-frame","Level5 CF 3in Right Frame","1","visible","CF 3in Right Frame","<p>CF 3in Right Frame</p> <p>Compatible with: 4-733</p>","94.0","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF 3in Right Frame","","9194","Level 5 CF 3in Right Frame - [9194], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9194","","","","Level5 CF 3in Right Frame -","CF 3in Right Frame","","index,follow","Level 5 CF 3in Right Frame - [9194]","","Level 5","9194","NewCondition"
"simple","9317","","level-5-c-a-cone","Level5 C.A. Cone","1","visible","C.A. Cone","<p>C.A. Cone</p> <p>Compatible with: 4-701</p>","121.94","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Applicator Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 C.A. Cone","","9317","Level 5 C.A. Cone - [9317], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9317","","","","Level5 C.A. Cone -","C.A. Cone","","index,follow","Level 5 C.A. Cone - [9317]","","Level 5","9317","NewCondition"
"simple","7520","","level-5-02-rubber","Level5 02 Rubber","1","visible","02 Rubber","<p>02 Rubber</p> <p>Compatible with: 4-701</p>","3.14","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Applicator Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 02 Rubber","","7520","Level 5 02 Rubber - [7520], Level 5, Drywall Finishing Tools > Level 5 > Parts, 7520","","","","Level5 02 Rubber -","02 Rubber","","index,follow","Level 5 02 Rubber - [7520]","","Level 5","7520","NewCondition"
"simple","7521","","level-5-10-rubber","Level5 10 Rubber","1","visible","10 Rubber","<p>10 Rubber</p> <p>Compatible with: 4-701</p>","0.89","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Applicator Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 10 Rubber","","7521","Level 5 10 Rubber - [7521], Level 5, Drywall Finishing Tools > Level 5 > Parts, 7521","","","","Level5 10 Rubber -","10 Rubber","","index,follow","Level 5 10 Rubber - [7521]","","Level 5","7521","NewCondition"
"simple","7522","","level-5-flat-black-rubber","Level5 Flat Black Rubber","1","visible","Flat Black Rubber","<p>Flat Black Rubber</p> <p>Compatible with: 4-701</p>","8.54","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Applicator Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 Flat Black Rubber","","7522","Level 5 Flat Black Rubber - [7522], Level 5, Drywall Finishing Tools > Level 5 > Parts, 7522","","","","Level5 Flat Black Rubber -","Flat Black Rubber","","index,follow","Level 5 Flat Black Rubber - [7522]","","Level 5","7522","NewCondition"
"simple","8261","","level-5-10-32-x1-2in-bhc-screw","Level5 #10 - 32 X1/2in , BHC Screw","1","visible","#10-32 X1/2in , BHC Screw","<p>#10-32 X1/2in , BHC Screw</p> <p>Compatible with: 4-701</p>","1.79","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Applicator Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 #10","","8261","Level 5 #10-32 X1/2in , BHC Screw - [8261], Level 5, Drywall Finishing Tools > Level 5 > Parts, 8261","","","","Level5 #10 - 32 X1/2in , BHC Screw -","#10-32 X1/2in , BHC Screw","","index,follow","Level 5 #10-32 X1/2in , BHC Screw - [8261]","","Level 5","8261","NewCondition"
