Brand,SKU / Part No.,Tool Name,Category,Description
TapeTech,TTTCF25TT,2.5" Corner Flusher - Semi-Automatic,Semi-Automatic Taping Tools,"Dual-purpose direct and indirect corner flusher. Applies joint compound to or smooths compound already in internal corners. Fits all TapeTech corner tools including compound tubes, 88TTF and HF handles, 35TT and 50TT corner applicators, and 14TT MudRunner."
TapeTech,TTTCF30TT,3" Corner Flusher - Semi-Automatic,Semi-Automatic Taping Tools,"Dual-purpose direct and indirect corner flusher. Applies joint compound to or smooths compound already in internal corners. Fits all TapeTech corner tools including compound tubes, 88TTF and HF handles, 35TT and 50TT corner applicators, and 14TT MudRunner."
TapeTech,TTTCF35TT,3.5" Corner Flusher - Semi-Automatic,Semi-Automatic Taping Tools,"Dual-purpose direct and indirect corner flusher. Applies joint compound to or smooths compound already in internal corners. Fits all TapeTech corner tools including compound tubes, 88TTF and HF handles, 35TT and 50TT corner applicators, and 14TT MudRunner."
TapeTech,TTTCF40TT,4" Corner Flusher - Semi-Automatic,Semi-Automatic Taping Tools,"Dual-purpose direct and indirect corner flusher. Applies joint compound to or smooths compound already in internal corners. Fits all TapeTech corner tools including compound tubes, 88TTF and HF handles, 35TT and 50TT corner applicators, and 14TT MudRunner."
Columbia Tools,—,Columbia One Predator Taper,Automatic Tapers,"Flagship carbon fiber automatic taper — the first carbon fiber taper on the market (introduced 2018). Significantly lighter, dent-proof, and temperature-neutral. Simultaneously applies tape and joint compound to all drywall joints."
Columbia Tools,—,Automatic Taper,Automatic Tapers,"Standard aluminum automatic taper that simultaneously applies tape and joint compound to all drywall flat and corner joints. Handmade from U.S. billet aluminum and steel components; machined in Canada."
Columbia Tools,—,Sawed Off Taper,Automatic Tapers,"Compact automatic taper designed for low-clearance and tight-space applications where a full-length taper cannot be used. Applies tape and compound simultaneously."
Columbia Tools,—,Semi Automatic Taper,Semi-Automatic Taping Tools,"Semi-automatic tape-and-compound applicator designed to bridge the gap between hand tools and fully automatic tapers. Ideal for general contractors and users entering the world of automatic taping tools."
Columbia Tools,5.5FFB,Flat Box 5.5",Flat Boxes,"Specialty 5.5-inch flat finishing box for tight and narrow joints. Handmade from U.S. billet aluminum and steel components, machined in Canada. Features manual sweeping grip and bead wheel for corner bead work."
Columbia Tools,7FFB,Flat Box 7",Flat Boxes,"7-inch flat finishing box. Dispenses and feathers joint compound on flat joints in one pass. Handmade from U.S. billet aluminum and steel. Features manual sweeping grip and bead wheel."
Columbia Tools,8FFB,Flat Box 8",Flat Boxes,"8-inch flat finishing box. Dispenses and feathers joint compound on flat joints in one pass. Handmade from U.S. billet aluminum and steel. Features manual sweeping grip and bead wheel."
Columbia Tools,10FFB,Flat Box 10",Flat Boxes,"10-inch flat finishing box — one of the most popular sizes. Dispenses and feathers joint compound in one pass. Handmade U.S. billet aluminum and steel; machined in Canada. Manual sweeping grip and bead wheel."
Columbia Tools,12FFB,Flat Box 12",Flat Boxes,"12-inch flat finishing box for wide flat joint finishing. Dispenses and feathers compound in one pass. Handmade U.S. billet aluminum and steel; machined in Canada. Manual sweeping grip and bead wheel."
Columbia Tools,14FFB,Flat Box 14",Flat Boxes,"14-inch flat finishing box — Columbia's widest flat box. Premium finishing for extra-wide joints. Handmade U.S. billet aluminum and steel; machined in Canada. Manual sweeping grip and bead wheel."
Columbia Tools,8FBB,Fat Boy Box 8",Flat Boxes,"High-capacity 8-inch finishing box. Largest compound reservoir on the market for less frequent refilling. Bead wheel protects axle when running on corner bead. Handmade U.S. billet aluminum and steel."
Columbia Tools,10FBB,Fat Boy Box 10",Flat Boxes,"High-capacity 10-inch finishing box. Largest compound reservoir on the market for less frequent refilling. Bead wheel protects axle when running on corner bead. Handmade U.S. billet aluminum and steel."
Columbia Tools,12FBB,Fat Boy Box 12",Flat Boxes,"High-capacity 12-inch finishing box. Largest compound reservoir on the market for less frequent refilling. Bead wheel protects axle when running on corner bead. Handmade U.S. billet aluminum and steel."
Columbia Tools,—,Automatic Flat Boxes,Flat Boxes,"Automatic finishing boxes that allow compound delivery without stopping to manually refill. Designed for high-production environments."
Columbia Tools,—,2" Anglehead,Angle Heads,"2-inch angle head (corner finisher) that feathers compound on both sides of an internal corner in one pass. Spring-loaded for slightly out-of-square corners. Attaches to 7"/8" Throttle Box or Throttle Tube."
Columbia Tools,—,2.5" Anglehead,Angle Heads,"2.5-inch angle head (corner finisher) that feathers compound on both sides of an internal corner in one pass. Spring-loaded for slightly out-of-square corners. Attaches to 7"/8" Throttle Box or Throttle Tube."
Columbia Tools,—,3" Anglehead,Angle Heads,"3-inch angle head (corner finisher) that feathers compound on both sides of an internal corner in one pass. Spring-loaded for slightly out-of-square corners. Attaches to 7"/8" Throttle Box or Throttle Tube."
Columbia Tools,—,3.5" Anglehead,Angle Heads,"3.5-inch angle head (corner finisher) that feathers compound on both sides of an internal corner in one pass. Spring-loaded for slightly out-of-square corners. Attaches to 7"/8" Throttle Box or Throttle Tube."
Columbia Tools,—,2" Nailspotter,Nail Spotters,"Fills nail and screw dimples in drywall while removing excess compound in one stroke. Compatible with Columbia One Handle system. Precision-machined in Canada from U.S. billet aluminum."
Columbia Tools,—,3" Nailspotter,Nail Spotters,"Fills nail and screw dimples in drywall while removing excess compound in one stroke. Compatible with Columbia One Handle system. Precision-machined in Canada from U.S. billet aluminum."
Columbia Tools,—,Corner Cobra,Corner Rollers,"Premium inside corner roller designed for embedding tape into internal corners with speed and precision. Advanced design provides superior control for high-production corner work."
Columbia Tools,—,Inside Corner Roller,Corner Rollers,"Embeds tape into internal (inside) drywall corners. Used with an applicator or throttle box to quickly seat tape into compound-loaded corners."
Columbia Tools,—,Standard Outside Corner Roller,Corner Rollers,"Embeds and presses paper-faced corner bead compound into standard 90° outside corners. Compatible with Columbia One Handle."
Columbia Tools,—,Bullnose Outside Corner Roller,Corner Rollers,"Specialized roller for embedding and finishing bullnose (rounded) outside corner bead. Compatible with Columbia One Handle."
Columbia Tools,—,Wide Outside Corner Roller,Corner Rollers,"Wide-profile roller for embedding and finishing wide-flange outside corner bead profiles. Compatible with Columbia One Handle."
Columbia Tools,—,European/Micro Outside Corner Roller,Corner Rollers,"Slim-profile roller designed for European-style and micro-bead outside corner profiles. Compatible with Columbia One Handle."
Columbia Tools,—,8" Throttle Box,Corner Applicators (Corner Tools),"Columbia's primary corner applicator/box. Delivers joint compound to angle heads for internal corner finishing. Throttle design provides precision control over compound flow. Compatible with Columbia One Handle."
Columbia Tools,—,7" Throttle Box,Corner Applicators (Corner Tools),"7-inch corner applicator/box delivering joint compound to angle heads for internal corner finishing. Throttle flow control. Compatible with Columbia One Handle."
Columbia Tools,—,Throttle Tube,Corner Applicators (Corner Tools),"New-release compound tube with integrated throttle control. Delivers compound to angle heads and corner tools. Provides more precise flow control than standard compound tubes."
Columbia Tools,—,Standard Corner Flusher,Corner Flushers,"Indirect corner flusher that smooths pre-applied joint compound in internal corners. Multiple blade widths available. Compatible with Columbia One Handle and standard corner tools."
Columbia Tools,—,Direct Corner Flusher,Corner Flushers,"Direct-application corner flusher that both applies and smooths compound in internal corners in one pass. Compatible with all Columbia corner tool handles."
Columbia Tools,—,Combo Flusher,Corner Flushers,"Combination direct and indirect corner flusher. Offers the versatility to apply compound and smooth it within the same tool. Compatible with Columbia corner tool handle system."
Columbia Tools,CTTCS,Sander Head,Sanders,"Fully machined billet aluminum sander head featuring No Flip Technology for smooth wall tracking. Uses standard paint-pole thread for universal handle compatibility. Machined in Canada."
Columbia Tools,—,The Phantom Sander,Sanders,"Advanced drywall sanding tool designed for dust-controlled or wet sanding applications. Lightweight and ergonomic design for large-area sanding efficiency."
Columbia Tools,—,External Corner Applicator,Applicators,"Applies joint compound to external (outside) corners for paper-faced corner bead installation. Works with Columbia One Handle system."
Columbia Tools,—,Inside Corner Applicator,Applicators,"Applies joint compound inside corners for tape embedding. Works with Columbia One Handle system and semi-automatic taper setup."
Columbia Tools,—,Two Way Internal Corner Applicator,Applicators,"Applies compound in both directions of an internal corner simultaneously. Increases speed and consistency of compound application for internal corners."
Columbia Tools,—,Flat Applicators,Applicators,"Applies joint compound to flat drywall joints in preparation for tape embedding. Used with semi-automatic taper setups and hand-taping workflows."
Columbia Tools,CTTC1H,Columbia One Handle 4',Handles,"Universal 4-foot fixed-length aluminum handle compatible with nail spotters, angle heads, rollers, corner boxes, and (with Tomalock adaptor) flat boxes. Handmade from U.S. billet aluminum; hard anodized tube with comfort grips."
Columbia Tools,—,Columbia One Handle 18",Handles,"Universal 18-inch fixed-length aluminum handle for close-quarters work. Compatible with nail spotters, angle heads, rollers, and corner boxes. Handmade from U.S. billet aluminum."
Columbia Tools,CTTC1HEXT,Columbia One Handle 3'-5' Extendable,Handles,"Universal extendable handle (3 to 5 feet) compatible with the full Columbia tool ecosystem. Hard anodized tube with comfort grips. Described as thickest, strongest, and lightest handle on the market."
Columbia Tools,—,The Matrix Box Handles (Short 29"-39"),Handles,"Short-range extendable flat box handle (29-39 inches) for standard-height finishing work. Designed specifically for use with Columbia flat finishing boxes."
Columbia Tools,—,The Matrix Box Handles (Standard 40"-60"),Handles,"Standard extendable flat box handle (40-60 inches) for most ceiling and wall flat joint finishing. Designed for Columbia flat boxes."
Columbia Tools,—,The Matrix Box Handles (Long 56"-76"),Handles,"Long-reach extendable flat box handle (56-76 inches) for high ceilings and vaulted spaces. Designed for Columbia flat boxes."
Columbia Tools,—,Long Extendible Handle,Handles,"Extra-long extendable handle for reaching high walls and ceilings with corner tools and angle heads. Compatible with Columbia One Handle system tools."
Columbia Tools,—,Closet Monster Flat Box Handle,Handles,"Compact flat box handle designed for finishing in tight spaces, closets, and confined areas where standard handles cannot maneuver. Works with Columbia flat finishing boxes."
Columbia Tools,—,Twist Lock Handle,Handles,"Flat box handle with twist-lock mechanism for secure attachment and quick-release capability. Designed for Columbia finishing boxes."
Columbia Tools,—,Flat Box Handle,Handles,"Standard flat box handle for use with Columbia flat finishing boxes and fat boy boxes. Provides sweeping control for feathering box edges off joints."
Columbia Tools,—,Hydra-Reach Flat Box Handle,Handles,"Specialized flat box handle with extended reach for difficult-to-access joints. Compatible with Columbia flat and fat boy finishing boxes."
Columbia Tools,—,Predator Compound Tube 42" (PCMT42),Handles / Predator Carbon Fiber Family,"Carbon fiber compound tube — 18% lighter than aluminum equivalent. Dent-proof, temperature-neutral. Part of Columbia's Predator carbon fiber tool family introduced to reduce finisher fatigue."
Columbia Tools,—,Predator Cam-Lock Tube 42" (PCLT42),Handles / Predator Carbon Fiber Family,"Carbon fiber cam-lock tube — 23% lighter than aluminum equivalent. Secure cam-lock mechanism for quick attachment/removal. Dent-proof and temperature-stable."
Columbia Tools,—,Predator Hot Mud Pump (PHMP),Pumps / Predator Carbon Fiber Family,"Carbon fiber hot mud pump — 10% lighter than standard aluminum version. Designed for use with fast-setting compounds. Part of the Predator carbon fiber family."
Columbia Tools,—,Predator Columbia One Handle Extendable 3-5' (PC1HEXT),Handles / Predator Carbon Fiber Family,"Carbon fiber extendable Columbia One Handle — 14% lighter than aluminum. Dent-proof, temperature-neutral, and warm to the touch in cold weather. Compatible with full Columbia tool ecosystem."
Columbia Tools,—,Predator Columbia One Handle (PC1H),Handles / Predator Carbon Fiber Family,"Carbon fiber fixed-length Columbia One Handle — 35% lighter than aluminum equivalent. Dent-proof and temperature-stable. Compatible with full Columbia tool ecosystem."
Columbia Tools,—,Predator Columbia Handle XL 4-8' (PCHXL),Handles / Predator Carbon Fiber Family,"Carbon fiber XL-length handle (4 to 8 feet) — 11% lighter than aluminum. For high-ceiling work with Columbia tools. Dent-proof and temperature-neutral."
Columbia Tools,—,Predator Matrix Handle Short 29"-39" (PMHS),Handles / Predator Carbon Fiber Family,"Carbon fiber short matrix flat box handle — 6% lighter than aluminum. Designed for standard-height flat joint finishing with Columbia flat boxes."
Columbia Tools,—,Predator Matrix Handle Standard 40"-60" (PMH),Handles / Predator Carbon Fiber Family,"Carbon fiber standard matrix flat box handle — 8% lighter than aluminum. Designed for most ceiling and wall applications with Columbia flat boxes."
Columbia Tools,—,Predator Matrix Handle Long 56"-76" (PMHL),Handles / Predator Carbon Fiber Family,"Carbon fiber long matrix flat box handle — 11% lighter than aluminum. Designed for high-ceiling and vaulted-space finishing with Columbia flat boxes."
Columbia Tools,—,Tall Boy Mud Pump,Pumps,"Tall-body mud pump designed for filling from standard 5-gallon drywall compound buckets without tilting. Ideal for high-volume production finishing. Compatible with Columbia gooseneck and box filler attachments."
Columbia Tools,—,Mud Pump,Pumps,"Standard compound-loading pump for filling automatic tapers (via gooseneck) and all finishing boxes, corner tools, and nail spotters (via box filler). Core tool of any automatic taping system."
Columbia Tools,—,Gooseneck,Pumps / Goosenecks,"Attaches to Columbia mud pump to fill automatic tapers with joint compound. Features integrated foot for stability during filling."
Columbia Tools,—,Box Filler,Pumps / Box Fillers,"Attaches to Columbia mud pump to fill flat boxes, fat boy boxes, corner tools, and nail spotters with joint compound."
Columbia Tools,—,Columbia x Graco PowerFill 3.5,Pumps,"Columbia-branded collaboration with Graco — electric-powered compound pump system. Delivers joint compound at high volume to filling boxes and automatic tapers for maximum production efficiency."
Columbia Tools,—,The Tactical Set,Toolsets,"Columbia Tools curated toolset for professional finishers. Includes a comprehensive selection of Columbia taping and finishing tools as a complete package. (Exact contents vary by configuration.)"
Columbia Tools,—,The Commando Set,Toolsets,"Mid-to-high level Columbia toolset package with a broad range of finishing and corner tools. Designed for versatile production finishing. (Exact contents vary by configuration.)"
Columbia Tools,—,The Predator Tactical Set,Toolsets,"Columbia Predator carbon fiber edition toolset. Includes key Predator-line carbon fiber tools combined with standard Columbia tools for a lightweight, high-performance finishing package."
Columbia Tools,—,The Warrior Set,Toolsets,"Columbia toolset package targeting production-level professional finishers. Broad tool coverage for complete wall and ceiling finishing workflows. (Exact contents vary by configuration.)"
Columbia Tools,—,The Sabre Set,Toolsets,"Columbia curated toolset designed for professional finishers needing a streamlined, efficient selection of core tools. (Exact contents vary by configuration.)"
Columbia Tools,—,Fat Boy Smoothing Blade Set,Toolsets,"Columbia toolset featuring Fat Boy finishing boxes paired with smoothing blades. Designed for finishers who prioritize high-capacity compound delivery and surface smoothing."
Columbia Tools,—,Starter Set (Suggested),Suggested Toolsets,"Includes: Mud Pump, Box Filler, 10-inch Fat Boy Box, 12-inch Flat Box, Corner Roller, 2.5-inch Standard Flusher, 3-inch Standard Flusher, 42-inch Compound Tube, Inside Corner Applicator, Flat Applicator, One Columbia One Handle, One Box Handle, Angle Head Adaptor."
Columbia Tools,—,Flat Box Set (Suggested),Suggested Toolsets,"Entry-level set for those starting with automatic finishing tools. Includes: Mud Pump, Box Filler, 10-inch Fat Boy Box, 12-inch Flat Box, and 42-inch Flat Box Handle."
Columbia Tools,—,Basic Set (Suggested),Suggested Toolsets,"Includes: Automatic Taper, Mud Pump, Box Filler, Gooseneck, 8-inch Corner Box, Corner Roller, 3-inch Angle Head, 10-inch Fat Boy Box, 12-inch Flat Box, Extendible Box Handle, Two Columbia One Handles, One Columbia One Extendible Handle, and Angle Head Adaptor."
Columbia Tools,—,Finishing Set (Suggested),Suggested Toolsets,"Includes: Mud Pump, Box Filler, 8-inch Corner Box, Corner Roller, 3-inch Angle Head, 10-inch Fat Boy Box, 12-inch Flat Box, Extendible Box Handle, Two Columbia One Handles, One Columbia One Extendible Handle, and Angle Head Adaptor."
Columbia Tools,—,Complete Pro Set (Suggested),Suggested Toolsets,"Includes: Automatic Taper, Mud Pump, Gooseneck, Box Filler, 10-inch Fat Boy Box, 12-inch Flat Box, 3-inch Angle Head, 3.5-inch Angle Head, 8-inch Corner Box, Corner Roller, 2-inch Nail Spotter, 3-inch Nail Spotter, Two Columbia One Handles, Two Columbia One Extendible Handles, Extendible Box Handle, and Angle Head Adaptor."
Columbia Tools,—,Full Semi Automatic Set (Suggested),Suggested Toolsets,"Includes: Semi Automatic Taper, 42-inch Compound Tube, 2.5-inch Standard Flusher, 3-inch Standard Flusher, Corner Roller, Inside Corner Applicator, Flat Applicator, External 90-degree Applicator, One Columbia One Handle, One Columbia One Extendible Handle, and Angle Head Adaptor."
