
Product Name,Categories,SKU,Description,Image URLs
Inside 90 Degree Applicator,Corner Applicators,PT-ICA,"Introducing the Platinum Drywall Tools Inside Applicator Head, a game-changer in the world of drywall finishing. Designed to deliver flawless results, this high-quality tool is crafted for the effortless application of joint compounds on interior corners. Crafted with precision and durability in mind, this applicator head ensures smooth and consistent coverage, allowing you to achieve professional-grade finishes. Its robust construction guarantees long-lasting performance. This applicator head seamlessly attaches to standard compound tubes or corner boxes , providing compatibility and flexibility for your convenience. Whether you’re a seasoned professional or a DIY enthusiast, this tool is essential to your drywall toolkit. Take your drywall finishing to the next level with the Platinum Drywall Tools Inside Applicator Head.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/isa33.webp?fit=800%2C800&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/inside.webp?fit=800%2C800&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/INMSS33.webp?fit=800%2C800&ssl=1
2.5″ Angle Head with Wheels,Angle Heads,PT-CF2.5,"Platinum Tools Corner Finisher/Angle Heads have a classic, high-quality cast-aluminum design that evenly finishes both sides of inside corners in a single pass. Whether running behind the Corner Roller or skimming on a Corner Box, these tools deliver a nice, sharp corner. They run smoothly and leave a finish ready to paint after a light sanding.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/2.5%E2%80%B3-Angle-Head.jpg?fit=1280%2C1280&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/2.5%E2%80%B3-angle-head-04.jpg?fit=1280%2C1280&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/2.5%E2%80%B3-angle-head-03.jpg?fit=1280%2C1280&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/2.5%E2%80%B3-angle-head-01.jpg?fit=1280%2C1280&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/2.5%E2%80%B3-angle-head-02.jpg?fit=1280%2C1280&ssl=1
3.5″ Angle Head Corner Finisher with Wheels,Angle Heads,PT-CF3.5,"Platinum Tools Corner Finisher/Angle Heads have a classic, high-quality cast-aluminum design that evenly finishes both sides of inside corners in a single pass. Whether you are running behind the Corner Roller or skimming on a Corner Box these tools deliver great a nice, sharp corner. They run very smooth and leave a finish that is ready to paint after a light sanding.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/platinum-3-5-.webp?fit=800%2C800&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/pt-35.webp?fit=800%2C800&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/pt-35-1-.webp?fit=800%2C800&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/platinum-35.webp?fit=800%2C800&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/plat-35.webp?fit=800%2C800&ssl=1
Semi Automatic Drywall Taper,Automatic Tapers,PT-TP,"The Platinum Drywall Tools Semi-Automatic Drywall Taper is an excellent solution for the professional or first-time taper that wants to speed up their taping process. Once you thread the tape through the Semi-Automatic taper, you attach it to a 5-Gallon bucket filled with thinned taping mud. As you pull the tape, it will apply an even amount of mud to one side of the tape. There is an adjustment wing nut to adjust the desired amount of mud to be applied. Taping with the Semi-Auto Taper is much faster than the traditional method of taping by hand.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/platinum-semi.webp?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/platinum-semi-4.webp?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/platinum-semi-1.webp?fit=1200%2C1200&ssl=1
3″ Nail Spotter,Nail Spotter,PT-3NS,"← Back Thank you for your response. ✨ Name (required) Email (required) Website Message Submit Δ document.getElementById( ""ak_js_1"" ).setAttribute( ""value"", ( new Date() ).getTime() ); The Platinum 3″ Nail Spotter features a high-grade anodized aluminum body, urethane door seal, smooth glide wheels, and carbide steel blade for long service life. Customers find this nail spotter very easy to run and clean. It acts like a mini flat box designed to coat nail and screw holes. The threaded end will fit on any standard corner roller handle.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/3-ns.webp?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/plat-nail-3.webp?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/nail-3-2.webp?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/nail-3-1.webp?fit=1200%2C1200&ssl=1
Extendable Flat Box Handle 40″ &#8211; 64″,Flat Box Handle,PT-EBH,"Platinum Extendable Flat Box Handle 40″–64″ The Platinum Extendable Flat Box Handle is tough for professional drywall finishers demanding durability and precision. Crafted from lightweight anodized aluminum , this handle delivers superior strength without adding unnecessary weight. With its adjustable length from 40″ to 64″ , you can easily reach high walls and ceilings while maintaining complete control of your flat box. The secure locking mechanism ensures stability at any length, giving you a smooth, consistent finish every time. This handle is compatible with all major brands of flat boxes and is a reliable and versatile addition to any drywall finisher’s toolkit.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/IMG_2307-copy-scaled.webp?fit=1457%2C2560&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/IMG_2308-copy-scaled.webp?fit=2376%2C2560&ssl=1
Platinum Drywall Starter Finishing Set,Tool Sets,PT-FIN,"Professional Quality Finishing Set for finishing drywall flats and corners 2 Flat Boxes,Corner Roller, Angle Box, Angle Head, Pump, Box Filler Valve and Handles",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/Starter-Set.webp?fit=1600%2C1600&ssl=1
Extendable Angle Head Handle,Angle Heads,PT-EXT3IN1-1,"Platinum Drywall Tools Extendable Angle Head Handle 45-70″ With the Platinum Drywall Tools Angle Head Extendable Handle, you can easily reach high work and tight spaces. Constructed of high-grade, lightweight aluminum with comfortable grips. The handle extends from 45-70″ and is built to last.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/s-l1600.webp?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/s-l1600-1.webp?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/3in1.webp?fit=800%2C800&ssl=1
Box Filler Attachment,Box Filler,PT-BF,"Platinum Drywall Tools Flat Box Filler The Platinum Drywall Tools Box Filler attaches to all major brands of drywall compound pumps. It is used to fill flat boxes , corner applicators , and nail spotters. These handcrafted box fillers are very durable and built to last. They will bolt onto all major brands of drywall loading pumps and fill all brands of drywall tools.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/platinum-Filler1.jpg?fit=1200%2C1200&ssl=1
Platinum 3.5 Corner Flusher,Corner Flusher,PT-3.5CF,"Platinum Drywall Tools 3.5 Inch Corner Flusher Platinum Drywall Tools 3.5″ Corner Flusher is the perfect choice for your base coat or finish coat. Made from surgical stainless spring steel that holds its form, this flusher was built to last! Will fit all major brands of angle head or flusher handles.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/platinum-2-5-flusher-1-1.webp?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/25-flusher-2-1.webp?fit=1600%2C1600&ssl=1
Corner Flusher 2.5″,Corner Flusher,PT-2.5CF,"Platinum Drywall Tools 2.5″ Corner Flusher is the perfect choice for your base coat or finish coat. The Platinum Flusher is constructed from surgical stainless spring steel, due to this it holds its form very well. Will fit all major brands of angle head or flusher handles.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/platinum-2-5-flusher-1.jpg?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/25-flusher-2.webp?fit=1600%2C1600&ssl=1
50″ Corner Roller Handle,Corner Rollers,PT-CRH50,This Platinum Drywall Tools Corner Roller Handle is a heavy-duty anodized aluminum handle. It is 50″ long. Features a very comfortable rubber grip at the end and an adjustable ball grip for greater control. These handles are definitely built to last.,https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/conrer-roller-handle.jpg?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/corner-roller-1.webp?fit=1600%2C1600&ssl=1
50″ Corner Box Handle,Corner Applicators,PT-CAH50,This Platinum Drywall Tools Corner Box Handle is a heavy-duty anodized aluminum handle. It is 50″ long. Features a very comfortable rubber grip at the end and an adjustable ball grip for greater control. These handles are definitely built to last.,https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/corner-box-handle-1-1.jpg?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/corner-box-handle-1.webp?fit=1600%2C1600&ssl=1
8″ Flat Finishing Box,Flat Boxes,PT-8FB,"Platinum Drywall Tools 8″ Flat Box The Platinum Drywall Tools 8″ Flat Finishing Box is designed to apply just the perfect amount of joint compound to drywall flat seams and butt joints. The highly durable anodized aluminum body is built tough to withstand everyday use. With the adjustable blade dial, it will allow you to get the exact finish desired. Primarily that 8″ size is used on the fill coat. Keep your tools clean and lubricated for optimal performance.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/8-box1.webp?fit=800%2C800&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/8-box2.webp?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/8-box-4.webp?fit=800%2C800&ssl=1
12″ Flat Finishing Box,Flat Boxes,PT-FB12,"Platinum 12″ Flat Fi nishing Box The Platinum 12″ Flat Finishing Box delivers smooth, consistent drywall finishes quickly and precisely. Designed for professionals, this tool automatically dispenses the perfect amount of joint compound while feathering the edges of flat and butt joints — all in a single pass. Featuring an adjustable crown dial , you can easily control the compound applied for each coat, making transitions from first to final coats precise and straightforward. The pivoting axle helps compensate for uneven drywall surfaces, ensuring a flawless finish every time. This second-generation design includes a removable door plate , eliminating the old-style hinge found on earlier models like the Level5. This makes cleaning and maintenance faster and easier. All wear parts are compatible with most major brands , giving you premium performance at a lower cost.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/71PP0LQt52L._AC_SL1500_-copy.jpg?fit=1500%2C1500&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/12_box_1_3__88376.webp?fit=1280%2C1280&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/platinum_12_box_3__33567.webp?fit=1280%2C1280&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/PlatinumTools-2024-029-scaled.jpg?fit=2560%2C1708&ssl=1
Outside 90° Corner Roller,Corner Rollers,PT-OCR,Platinum Outside 90 Degree Corner Roller The Platinum Outside 90 Degree Corner Roller is designed to squeeze out excess drywall compound from underneath paper-faced corner bead. The nylon rollers roll very smooth and make a very strong bond to the drywall/Sheetrock. This is a must have if you are running paper faced corner bead.,https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/ocr1.jpg?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/orc2.webp?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/orc3.webp?fit=1600%2C1600&ssl=1
Gooseneck,Gooseneck,GN,"The Platinum Drywall Tools Gooseneck is a precision-engineered attachment designed for use with compound pumps to fill automatic tapers with joint compound efficiently and effectively. Manufactured from high-grade stainless steel , this gooseneck is designed for long-term durability, corrosion resistance, and consistent performance on the jobsite. Equipped with a taper rest featuring rubber protective sleeves , the design helps prevent premature wear, marring, and scratching of your automatic taper during filling. The universal configuration ensures broad compatibility , fitting nearly all major brands of compound pumps and automatic tapers on the market. Engineered for professional drywall finishers who demand reliability, longevity, and seamless integration, the Platinum Gooseneck delivers dependable performance where it matters most. Platinum Drywall Tools — engineered for professionals who expect equipment to work as hard as they do.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/platinum-gooseneck.webp?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/Gooseneck.webp?fit=1200%2C1200&ssl=1
Inside Corner Roller,Corner Rollers,PT-CR,"Platinum Drywall Tools Inside Corner Roller The Platinum Drywall Tools Inside Corner Roller is precision designed for embedding paper tape into inside 90 degree corners. Immediately after applying the mud and tape into the corner, you will use this tool by rolling it over the tape. This process forces the excess joint compound out from under the tape and properly beds the corner. As a result, it creates a beautiful sharp inside corner. Use a corner flusher or angle head, immediately after rolling to clean up the excess compound. ( sold separately )",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/corner-roller-1-1.jpg?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/corner-roller-2.webp?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/corner-roller-3-.webp?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/Inside-corner-roller1.webp?fit=1200%2C1200&ssl=1
54″ Flat Box Handle,Flat Box Handle,PT-BH54,"Platinum Drywall Tools 54″ Flat Box Handle The Platinum Drywall Tools 54″ Flat Box Handle is built to last. It is very lightweight and made of anodized aluminum. Features an adjustable grip for greater comfort. The braking mechanism offers a full motion of braking capabilities, unlike some of the older style handles on the market. The 54″ Flat Box Handle size is great for high ceiling and walls.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/PLATINUM-54.webp?fit=500%2C500&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/42-handle1-1.webp?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/42-handle2-1.webp?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/42-handle3-1.webp?fit=1600%2C1600&ssl=1
42″ Flat Box Handle,Flat Boxes,PT-BH42,"Platinum Drywall Tools 42″ Flat Box Handle = The Platinum 42″ Flat Box Handle is built for professional drywall finishers who demand precision, strength, and reliability. Crafted from lightweight anodized aluminum , this handle provides exceptional durability while minimizing fatigue during long finishing sessions. Its fixed 42-inch length perfectly balances reach and control, making it ideal for walls, ceilings, and tight working areas. The handle’s ergonomic grip and secure attachment design ensure smooth operation and consistent results when used with any major brand of flat box.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/42-handle1.jpg?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/42-handle.webp?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/42-handle2.webp?fit=1600%2C1600&ssl=1
34″ Flat Box Handle,"Flat Box Handle, Flat Boxes",PT-BH34,"Platinum Drywall Tools 34″ Flat Box Handle The Platinum Drywall Tools 34″ Flat Box Handle is built tough for professional drywall finishers who demand performance, comfort, and durability. Constructed from lightweight anodized aluminum , this handle is designed to withstand years of jobsite use while minimizing fatigue. Its adjustable ergonomic grip provides maximum comfort and control, while the advanced braking mechanism delivers full-motion braking—offering superior control compared to older handle designs. At 34 inches , this handle is perfect for working on low ceilings and walls , giving you precision where space is limited. This handle is compatible with most major brands of flat boxes and is a dependable and versatile addition to any finisher’s toolkit.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/platinum-34-box-hanlde.jpg?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/42-handle3.webp?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/42-handle2.webp?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/42-handle.webp?fit=1600%2C1600&ssl=1
10″ Flat Finishing Box,Flat Boxes,PT-10FB,The Platinum 10″ Flat Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The Platinum Finishing Box helps produce professional results every time. The adjustable crown setting dial allows the user to easily adjust the joint compound amount applied over the tape on the drywall joint. This is very helpful when progressing from the first finishing application to the second or third application. The pivoting axle helps compensate when the drywall or Sheetrock® on one side of the joint is higher than the other. All wear parts fit most competitive brands at significantly lower prices versus the competition. A flat box handle is required for use.,https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/10_flat_box3__47812.jpg?fit=1280%2C1280&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/10_flat_box3__47812.webp?fit=1280%2C1280&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/10_pt__90890.webp?fit=1280%2C1280&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/10_flat_box2__69691.webp?fit=1280%2C1280&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/10_flat_box_1__16797.webp?fit=1280%2C1280&ssl=1
8″ Corner Applicator,Corner Applicators,PT-CA8,Platinum 8″ Corner Applicator The Platinum 8″ Corner Applicator is used the apply joint compound to internal corners with the use of an Angle Head . We went with the higher capacity 8″ box that allows for longer runs and higher productivity. Built super tough and lightweight out of anodized aluminum. Standard Corner Box Handle is 50″ long so that you can reach higher ceilings. Will fit all major brands of a ngle heads .,https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/Platinum-Corner-Box.webp?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/platinum-corner-box-1.webp?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/platinum-corner-box-2.webp?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/platinum-corner-box-with-handle.webp?fit=1600%2C1600&ssl=1
50″ Angle Head Handle,Angle Heads,PT-CFH50,This Platinum Drywall Tools Angle Head Handle is a heavy-duty anodized aluminum handle. It is 50″ long. Features a very comfortable rubber grip at the end and an adjustable ball grip for greater control. These handles are definitely built to last.,https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/angle-head-handle.webp?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/platinum-angle-head-handle.webp?fit=1600%2C1600&ssl=1
3″ Angle Head Corner Finisher with Wheels,Angle Heads,PT-3CF,"Platinum 3″ Angle Head The Platinum Tools 3″ Angle Head has a classic design that evenly finishes both sides of inside corners in a single pass. It runs very smooth and leave a finish that is ready to paint with very little sanding. Constructed of stainless steel and aluminum components, this mechanical flusher will have a very long service life. The 3″ is the most commonly used size of corner finisher used by drywall professionals. It is suitable for both the glazing coat and the finish coat. Will fit on all major brands of angle head handles , compound tubes and corner boxes .",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/3-angle.webp?fit=800%2C800&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/3-anglr-4.webp?fit=800%2C800&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/3-angle-3.webp?fit=800%2C800&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/3-angle-2.webp?fit=800%2C800&ssl=1
