platinum_schematic_id,platinum_tool_name,platinum_hotspot_label,recommended_part_name,write_to_platinum_name,platinum_sku_policy,level5_reference_tool,level5_reference_label,level5_reference_part_number,match_status,confidence,source_note,audit_note
platinum-compound-pump,Platinum Compound Pump,30,Chain Assembly (W/ 1 S Hook),yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,30,7358,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,55,UNRESOLVED,no,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,,unmapped_platinum_only_label,unresolved,No matching Level5 label found,Platinum label is above Level5 current/scraped pump reference range or not present in accessible Level5 part list. Requires visual/manual OEM validation.
platinum-compound-pump,Platinum Compound Pump,56,UNRESOLVED,no,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,,unmapped_platinum_only_label,unresolved,No matching Level5 label found,Platinum label is above Level5 current/scraped pump reference range or not present in accessible Level5 part list. Requires visual/manual OEM validation.
platinum-compound-pump,Platinum Compound Pump,58,UNRESOLVED,no,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,,unmapped_platinum_only_label,unresolved,No matching Level5 label found,Platinum label is above Level5 current/scraped pump reference range or not present in accessible Level5 part list. Requires visual/manual OEM validation.
platinum-compound-pump,Platinum Compound Pump,59,UNRESOLVED,no,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,,unmapped_platinum_only_label,unresolved,No matching Level5 label found,Platinum label is above Level5 current/scraped pump reference range or not present in accessible Level5 part list. Requires visual/manual OEM validation.
platinum-compound-pump,Platinum Compound Pump,45,Pin,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,45,7621,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,60,UNRESOLVED,no,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,,unmapped_platinum_only_label,unresolved,No matching Level5 label found,Platinum label is above Level5 current/scraped pump reference range or not present in accessible Level5 part list. Requires visual/manual OEM validation.
platinum-compound-pump,Platinum Compound Pump,29,S-Hook,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,29,7168,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,22,1/4-20 x 5/8 Socket Head Screw,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,22,7325,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,31,Discharge Tube,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,31,7356,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,32,Piston Rod,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,32,7321,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,25,Gasket,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,25,7362,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,1,Pump Foot Bracket,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,1,9751,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,46,Pump Tube Foot,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,46,9330,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,48,Screen for New Pump,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,48,9348,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,47,Screw,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,47,7558,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,49,Pump Foot Valve Assembly,no,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,49,9331,same_label_manifest_only,medium,scraped Level5 manifest only; absent from current frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,50,UNRESOLVED,no,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,,unmapped_platinum_only_label,unresolved,No matching Level5 label found,Platinum label is above Level5 current/scraped pump reference range or not present in accessible Level5 part list. Requires visual/manual OEM validation.
platinum-compound-pump,Platinum Compound Pump,51,UNRESOLVED,no,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,,unmapped_platinum_only_label,unresolved,No matching Level5 label found,Platinum label is above Level5 current/scraped pump reference range or not present in accessible Level5 part list. Requires visual/manual OEM validation.
platinum-compound-pump,Platinum Compound Pump,52,UNRESOLVED,no,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,,unmapped_platinum_only_label,unresolved,No matching Level5 label found,Platinum label is above Level5 current/scraped pump reference range or not present in accessible Level5 part list. Requires visual/manual OEM validation.
platinum-compound-pump,Platinum Compound Pump,18,Pump Head,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,18,9635,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,3,Screw,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,3,7551,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,4,Wrench Bracket,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,4,7554,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,20,Gland,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,20,7323,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,2,Wrench,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,2,7550,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,43,Metal Washer,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,43,7556,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,38,3/8-16 Lock Nut,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,38,7343,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,39,8-32 x 3/16 BH Screw,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,39,7625,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,40,New Pump Latches,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,40,9623,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,35,Piston Cups,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,35,7328,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,42,AT Wing Nut,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,42,9916,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,7,Black Plastic Washer (Link),yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,7,7553,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,27,Special Nut,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,27,7353,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,26,Filler Body,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,26,7355,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,24,5-16-24 x 1 7/16 Std Screw,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,24,7352,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,44,Foot Valve Spacer,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,44,7557,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,28,Filler O-Ring,no,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,28,7350,same_label_same_tool_family,medium,scraped Level5 manifest; frontend JSON name is placeholder,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,6,Pump Link,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,6,9334,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,33,Valve Disc,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,33,7329,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,34,Retainer,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,34,7359,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,5,1/4-20 Lock Nut,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,5,7364,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-outside-corner-roller,Platinum Outside Corner Roller,7,Trust Washer,no,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-corner-roller-4-707,7,7200,category_only_blocked_direct_mapping,low,Potential same-label Level5 reference shown for review only,Blocked: Platinum tool is outside corner roller; Level5 reference is inside/general corner roller. Numeric label inheritance is unsafe without visual/OEM confirmation.
platinum-outside-corner-roller,Platinum Outside Corner Roller,10,Swivel Coupling Pin,no,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-corner-roller-4-707,10,7199,category_only_blocked_direct_mapping,low,Potential same-label Level5 reference shown for review only,Blocked: Platinum tool is outside corner roller; Level5 reference is inside/general corner roller. Numeric label inheritance is unsafe without visual/OEM confirmation.
platinum-outside-corner-roller,Platinum Outside Corner Roller,9,Corner Roller Body,no,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-corner-roller-4-707,9,7421,category_only_blocked_direct_mapping,low,Potential same-label Level5 reference shown for review only,Blocked: Platinum tool is outside corner roller; Level5 reference is inside/general corner roller. Numeric label inheritance is unsafe without visual/OEM confirmation.
platinum-outside-corner-roller,Platinum Outside Corner Roller,5,Roller Bushing,no,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-corner-roller-4-707,5,7202,category_only_blocked_direct_mapping,low,Potential same-label Level5 reference shown for review only,Blocked: Platinum tool is outside corner roller; Level5 reference is inside/general corner roller. Numeric label inheritance is unsafe without visual/OEM confirmation.
platinum-outside-corner-roller,Platinum Outside Corner Roller,8,8-32 x 5/16 Setscrew,no,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-corner-roller-4-707,8,7069,category_only_blocked_direct_mapping,low,Potential same-label Level5 reference shown for review only,Blocked: Platinum tool is outside corner roller; Level5 reference is inside/general corner roller. Numeric label inheritance is unsafe without visual/OEM confirmation.
platinum-outside-corner-roller,Platinum Outside Corner Roller,1,1/4-20x1-1/4in HH Screw,no,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-corner-roller-4-707,1,7203,category_only_blocked_direct_mapping,low,Potential same-label Level5 reference shown for review only,Blocked: Platinum tool is outside corner roller; Level5 reference is inside/general corner roller. Numeric label inheritance is unsafe without visual/OEM confirmation.
platinum-outside-corner-roller,Platinum Outside Corner Roller,6,Washer,no,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-corner-roller-4-707,6,7221,category_only_blocked_direct_mapping,low,Potential same-label Level5 reference shown for review only,Blocked: Platinum tool is outside corner roller; Level5 reference is inside/general corner roller. Numeric label inheritance is unsafe without visual/OEM confirmation.
