"old_parent_sku","old_parent_name","new_simple_parent_sku","new_simple_sku","new_simple_name","child_count"
"COL-COLUMBIA-CAM-LOCK-TAPER-CAP-ASSEMBLY","Columbia Cam Lock Taper Cap Assembly","COL-COLUMBIA-CAM-LOCK-TAPER-CAP-ASSEMBLY-PREDATOR","CPTA87-CL","Columbia Cam Lock Taper Cap Assembly - Predator","2"
"COL-COLUMBIA-CORNER-FLUSHER-BOX-REPAIR-PARTS","Columbia Corner Flusher Box Repair Parts","COL-CFB10-5-16-18-X-3-4-THUMB-SCREW","CFB10","CFB10 - 5/16-18 x 3/4"" Thumb Screw","30"
"COL-COLUMBIA-CORNER-ROLLER-REPAIR-PARTS","Columbia Corner Roller Repair Parts","COL-CR12-SWIVEL-COUPLING-PIN","CR12","CR12 - Swivel Coupling Pin","10"
"COL-COLUMBIA-FAT-BOY-HINGE-BOX-END-PLATE-NEW-STYLE","Columbia Fat Boy Hinge Box End Plate (New Style)","COL-COLUMBIA-FAT-BOY-HINGE-BOX-END-PLATE-NEW-STYLE-LEFT-SIDE","HFBB3","Columbia Fat Boy Hinge Box End Plate (New Style) - Left Side","2"
"COL-COLUMBIA-FLAT-FINISHING-BOX-REPAIR-PARTS","Columbia Flat Finishing Box Repair Parts","COL-FA231-6-32-X-3-8-HEX-BOLT-FA231-COLUMBIA-FLAT-FINI","FA231__COLUMBIA-FLAT-FINISHING-BOX-REPAIR-PARTS","FA231 - 6-32 x 3/8"" Hex Bolt","52"
"COL-COLUMBIA-HINGED-NAIL-SPOTTER-WHEEL-CONVERSION-KIT","Columbia Hinged Nail Spotter Wheel Conversion Kit","COL-COLUMBIA-HINGED-NAIL-SPOTTER-WHEEL-CONVERSION-KIT-2","HNSA-5-2","Columbia Hinged Nail Spotter Wheel Conversion Kit - 2""","2"
"COL-COLUMBIA-HINGED-NAILSPOTTER-REPAIR-PARTS","Columbia Hinged Nailspotter Repair Parts","COL-FA218-4-40-X-3-8-FLAT-SLOT","FA218","FA218 - 4-40 x 3/8"" Flat Slot","29"
"COL-COLUMBIA-HOT-MUD-PUMP-REPAIR-PARTS","Columbia Hot Mud Pump Repair Parts","COL-FA249-8-32X3-16-SET-SCREW","FA249__COLUMBIA-HOT-MUD-PUMP-REPAIR-PARTS","FA249 - 8-32X3/16"" Set Screw","44"
"COL-COLUMBIA-HYDRA-REACH-BOX-HANDLE-REPAIR-PARTS","Columbia Hydra-Reach Box Handle Repair Parts","COL-BH1-MOUNTING-PLATE-BH1-COLUMBIA-HYDRA-REACH","BH1__COLUMBIA-HYDRA-REACH-BOX-HANDLE-REPAIR-PARTS","BH1 - Mounting Plate","29"
"COL-COLUMBIA-MATRIX-HANDLE-REPAIR-PARTS","Columbia Matrix Handle Repair Parts","COL-FA229-6-LOCK-WASHER-FA229-COLUMBIA-MATRIX-HA","FA229__COLUMBIA-MATRIX-HANDLE-REPAIR-PARTS","FA229 - #6 Lock Washer","42"
"COL-COLUMBIA-TOMAHAWK-REPLACEMENT-SKIMMING-BLADE","Columbia Tomahawk Replacement Skimming Blade","COL-COLUMBIA-TOMAHAWK-REPLACEMENT-SKIMMING-BLADE-10","SB2-10","Columbia Tomahawk Replacement Skimming Blade - 10""","9"
"LVL5-LEVEL-5-AUTOMATIC-TAPER-REPAIR-KIT","Level 5 Automatic Taper Repair Kit","LVL5-4-815-TAPER-REPAIR-KIT","4-815","4-815 - Taper Repair Kit","9"
"LVL5-LEVEL-5-CLASSIC-FLAT-BOX-REPAIR-PARTS","Level 5 Flat Box Repair Parts","LVL5-4-805-7-FLAT-BOX-SEAL","4-805","4-805 - 7"" Flat Box Seal","13"
"LVL5-LEVEL-5-COMPOUND-PUMP-REPAIR-PARTS","Level 5 Compound Pump Repair Parts","LVL5-LEVEL-5-COMPOUND-PUMP-REPAIR-PARTS-4-801-REBUILD-KIT","4-801","Level 5 Compound Pump Repair Parts - 4-801 - Rebuild Kit","4"
"LVL5-LEVEL-5-CORNER-FINISHER-BLADE-KIT","Level 5 Corner Finisher Blade Kit","LVL5-LEVEL-5-CORNER-FINISHER-BLADE-KIT-4-842-2-5","4-842","Level 5 Corner Finisher Blade Kit - 4-842 - 2.5""","3"
"LVL5-LEVEL-5-CORNER-FINISHER-MAINTENANCE-KIT","Level 5 Corner Finisher Maintenance Kit","LVL5-LEVEL-5-CORNER-FINISHER-MAINTENANCE-KIT-4-854-2-5","4-854","Level 5 Corner Finisher Maintenance Kit - 4-854 - 2.5""","4"
"LVL5-LEVEL-5-CORNER-FINISHER-REBUILD-KIT","Level 5 Corner Finisher Rebuild Kit","LVL5-LEVEL-5-CORNER-FINISHER-REBUILD-KIT-4-850-2-5","4-850","Level 5 Corner Finisher Rebuild Kit - 4-850 - 2.5""","4"
"TT-TAPETECH-CORNER-FINISHER-BLADE-KIT","TapeTech Corner Finisher Blade Kit","TT-TAPETECH-CORNER-FINISHER-BLADE-KIT-2","PIP502F2","TapeTech Corner Finisher Blade Kit - 2""","5"
"TT-TAPETECH-CORNER-FINISHER-REPAIR-KIT","TapeTech Corner Finisher Repair Kit (No Wheels)","TT-TAPETECH-CORNER-FINISHER-REPAIR-KIT-NO-WHEELS-2-5","PIP501F25A","TapeTech Corner Finisher Repair Kit (No Wheels) - 2.5""","3"
"TT-TAPETECH-EASYROLL-CONVERSION-KIT-A","TapeTech EasyRoll® Conversion Kit A","TT-TAPETECH-EASYROLL-CONVERSION-KIT-A-10","PIPEZROLL10-A","TapeTech EasyRoll® Conversion Kit A - 10""","3"
"TT-TAPETECH-EZ-ROLL-ADJUSTABLE-CORNER-FINISHER-KIT","TapeTech EZ Roll Adjustable Corner Finisher Kit","TT-TAPETECH-EZ-ROLL-ADJUSTABLE-CORNER-FINISHER-KIT-3-EASYROLL","PIP501F4A","TapeTech EZ Roll Adjustable Corner Finisher Kit - 3"" EasyRoll","2"
"TT-TAPETECH-FLAT-BOX-REPAIR-KIT","TapeTech Flat Box Repair Kit","TT-TAPETECH-FLAT-BOX-REPAIR-KIT-10","PIP501C10","TapeTech Flat Box Repair Kit - 10""","3"
"TT-TAPETECH-REPLACEMENT-FINISHING-KNIFE-BLADE-2-PACK","TapeTech Replacement Finishing Knife Blade (2 pack)","TT-TAPETECH-REPLACEMENT-FINISHING-KNIFE-BLADE-2-PACK-12","PFB12","TapeTech Replacement Finishing Knife Blade (2 pack) - 12""","8"
